source_k,year,dir,sweep_time,trigger_time,clean_m1,fraction,broken_m5_level,trigger_close,limit_entry,sl_exec,risk,fill_time,outcome,resolved_at_h,mfe_abs,mae_abs,mfe_r,mae_r,d1_atr,risk_d1,m30_atr,risk_m30,mirror5,m30_exp,m30_owner,h1_owner,m1_direct_transfer,direct_transfer,owner_agree,both_branch
1.5,2023,-1,2023-01-27 15:32:00,2023-01-27 16:00:00,True,0.25,1930.5,1928.81,1929.2325,1935.1299999999999,5.897499999999809,2023-01-27 16:01:00,BE,2023-01-31 17:58:00,28.282500000000255,5.337500000000091,4.795676133955264,0.9050445103858014,23.625714285714317,0.24962208247671186,3.176428571428541,1.8566449291656875,0,1.1024705687282341,1,-1,True,True,False,False
1.5,2023,1,2023-01-31 14:09:00,2023-01-31 14:35:00,True,0.25,1903.24,1903.55,1903.5924999999997,1900.83,2.762499999999818,2023-01-31 14:36:00,TP5,2023-01-31 15:48:00,14.4675000000002,1.7124999999996362,5.2371040723986075,0.6199095022623525,23.876428571428587,0.11569988332784105,4.071428571428571,0.6785087719297799,0,1.401454797367494,-1,-1,True,True,False,False
1.5,2023,-1,2023-02-06 02:59:00,2023-02-06 03:05:00,True,0.25,1865.75,1864.92,1865.1275,1870.1399999999999,5.012499999999818,2023-02-06 03:06:00,SL,2023-02-06 03:22:00,0.0,5.242499999999836,0.0,1.0458852867830477,28.99285714285715,0.17288741069228242,3.8621428571428686,1.2978546328832485,0,1.4421608925425728,1,-1,True,True,False,False
1.5,2023,1,2023-03-13 09:04:00,2023-03-13 09:35:00,True,0.25,1874.41,1875.94,1875.6775,1871.53,4.147500000000036,2023-03-13 09:49:00,TP5,2023-03-13 14:29:00,22.482500000000073,1.4175000000000182,5.420735382760669,0.34177215189873555,21.138571428571417,0.19620531188754659,4.43857142857142,0.9344222722883911,0,3.168301170515665,-1,1,True,True,False,False
1.5,2023,1,2023-04-26 20:34:00,2023-04-26 21:00:00,True,0.25,1988.16,1988.35,1988.4225,1983.3,5.122499999999945,2023-04-26 21:03:00,SL,2023-04-27 15:44:00,14.857500000000073,6.582499999999982,2.9004392386530466,1.2850170815031825,28.39428571428568,0.1804060173073036,6.136428571428594,0.8347689442439643,0,1.2398172820708102,-1,-1,True,True,False,False
1.5,2023,-1,2023-05-12 16:48:00,2023-05-12 17:20:00,True,0.25,2016.17,2014.84,2015.1725,2022.6699999999998,7.497499999999945,2023-05-12 20:04:00,TP5,2023-05-17 16:56:00,38.3125,7.0775000000001,5.110036678893001,0.9439813271090566,29.554999999999968,0.25367958044323985,4.779999999999989,1.5685146443514568,0,1.7528237951807204,1,1,True,True,False,False
1.5,2023,1,2023-05-26 03:50:00,2023-05-26 04:00:00,True,0.25,1940.44,1940.87,1940.8824999999997,1936.75,4.132499999999709,2023-05-26 04:04:00,BE,2023-05-26 17:44:00,16.36750000000029,0.5624999999997726,3.960677555959212,0.1361161524500453,23.803571428571395,0.17360840210051315,2.1114285714285512,1.9572056833557672,0,1.0022844089091894,-1,-1,True,True,False,False
1.5,2023,-1,2023-06-08 17:32:00,2023-06-08 17:45:00,True,0.25,1965.97,1965.46,1965.5875,1970.62,5.0324999999998,2023-06-08 17:46:00,SL,2023-06-09 15:31:00,4.8575000000003,7.5724999999997635,0.9652260307998993,1.5047193243914683,24.183571428571423,0.20809581475026498,3.7500000000000164,1.3419999999999408,0,2.7418465778594627,1,1,True,True,False,False
1.5,2023,-1,2023-06-12 22:56:00,2023-06-12 23:45:00,True,0.25,1957.08,1956.91,1956.9525,1958.87,1.9174999999997908,2023-06-12 23:49:00,SL,2023-06-13 02:00:00,0.0,2.2574999999999363,0.0,1.1773142112126116,24.434999999999995,0.07847350112542628,2.767857142857175,0.6927741935483034,0,0.9885535900104114,-1,-1,True,True,True,False
1.5,2023,-1,2023-06-19 11:25:00,2023-06-19 12:50:00,True,0.25,1952.69,1952.31,1952.405,1958.83,6.4249999999999545,2023-06-19 16:00:00,TP5,2023-06-21 16:40:00,33.17500000000018,4.464999999999918,5.163424124513684,0.6949416342412373,25.26142857142856,0.25434032686761127,2.225714285714243,2.8867137355584434,0,0.583280876243235,-1,-1,True,True,True,False
1.5,2023,1,2023-06-26 08:30:00,2023-06-26 08:35:00,True,0.25,1925.2,1926.11,1926.0024999999998,1923.94,2.0624999999997726,2023-06-26 09:08:00,SL,2023-06-26 09:29:00,0.6275000000002819,2.0924999999997453,0.30424242424259446,1.0145454545454429,22.687142857142867,0.0909105220074202,1.9442857142856838,1.0608008817045287,0,0.7634073672806038,1,1,False,False,True,False
1.5,2023,1,2023-06-27 02:36:00,2023-06-27 03:30:00,True,0.25,1922.81,1923.42,1923.4075,1921.02,2.3875000000000455,2023-06-27 03:42:00,SL,2023-06-27 14:21:00,7.002500000000055,2.527499999999918,2.9329842931936843,1.058638743455443,22.699999999999996,0.10517621145374652,1.4164285714285663,1.685577407967764,0,1.3812909260991513,-1,1,True,True,False,False
1.5,2023,-1,2023-06-27 10:05:00,2023-06-27 11:15:00,True,0.25,1927.17,1926.2,1926.4425,1929.85,3.4074999999998,2023-06-27 11:16:00,SL,2023-06-27 15:37:00,6.732500000000073,3.4574999999997544,1.9757887013941213,1.0146735143066639,22.699999999999996,0.15011013215858152,2.340714285714317,1.4557522123892757,0,1.3812909260991513,1,1,True,True,False,False
1.5,2023,-1,2023-06-27 15:38:00,2023-06-27 15:50:00,True,0.25,1925.46,1925.12,1925.205,1930.58,5.375,2023-06-27 15:54:00,SL,2023-06-27 16:36:00,0.7550000000001091,5.585000000000036,0.14046511627909009,1.0390697674418672,22.699999999999996,0.23678414096916303,2.799285714285751,1.920132686909901,0,0.8913707215169497,-1,-1,True,True,True,False
