sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,entry,sl_exec,risk,win1,resolved_i,resolved_at,mfe_r,mae_r,win1_costless,year,source_k,m30_exp,m30_owner,h1_owner,delivery_state,broken_m5_level,penetration,acceptance_margin,strong_acceptance,m1_clean_path,m1_direct_transfer,m1_change_count,d1_atr,prior_k,prior_trigger_time,prior_resolved_at,prior_liq_price,prior_sl,episode_id
2023-06-27 16:36:00,-1,1930.46,2023-06-27 15:30:00,2023-06-27 16:00:00,1389,1,1930.67,2023-06-27 17:00:00,1923.58,1,34294,1923.58,1930.79,7.210000000000036,1,171312,2023-06-27 17:06:00,1.0707350901525643,0.0679611650485446,1,2023,1.5,0.8913707215169497,-1,-1,True,1923.87,0.21000000000003638,0.2899999999999636,True,True,True,1,22.699999999999996,1.5,2023-06-27 15:50:00,2023-06-27 16:36:00,1930.41,1930.58,-1:2023-06-26T13:00:00
2023-06-27 16:36:00,-1,1930.46,2023-06-27 15:30:00,2023-06-27 16:00:00,907,1,1930.67,2023-06-27 17:00:00,1923.58,1,34294,1923.58,1930.79,7.210000000000036,1,171312,2023-06-27 17:06:00,1.0707350901525643,0.0679611650485446,1,2023,2.0,0.8913707215169497,-1,-1,True,1923.87,0.21000000000003638,0.2899999999999636,True,True,True,1,22.699999999999996,2.0,2023-06-27 15:50:00,2023-06-27 16:36:00,1930.41,1930.58,-1:2023-06-26T13:00:00
2023-07-06 11:37:00,1,1916.37,2023-07-06 04:15:00,2023-07-06 04:45:00,1468,1,1916.23,2023-07-06 12:30:00,1919.12,-1,36142,1919.2399999999998,1916.23,3.0099999999997635,1,180593,2023-07-06 13:29:00,1.0730897009968436,0.8604651162790347,1,2023,1.5,2.0086526576019983,1,1,True,1919.03,0.13999999999987267,0.08999999999991815,False,False,False,3,18.8414285714286,1.5,2023-07-05 21:05:00,2023-07-05 21:14:00,1919.05,1919.01,1:2023-07-05T11:00:00
2023-07-11 13:19:00,-1,1938.31,2023-07-11 09:30:00,2023-07-11 10:15:00,1507,1,1938.48,2023-07-11 13:50:00,1935.88,1,36986,1935.88,1938.6,2.7199999999998,1,184843,2023-07-11 15:23:00,1.0257352941177926,0.6507352941176047,1,2023,1.5,1.4033846153846123,1,1,True,1936.32,0.17000000000007276,0.4399999999998272,True,True,False,2,19.781428571428574,1.5,2023-07-11 04:40:00,2023-07-11 05:57:00,1927.84,1927.9899999999998,-1:2023-07-05T14:30:00
2023-07-11 13:19:00,-1,1938.31,2023-07-11 09:30:00,2023-07-11 10:15:00,977,1,1938.48,2023-07-11 13:50:00,1935.88,1,36986,1935.88,1938.6,2.7199999999998,1,184843,2023-07-11 15:23:00,1.0257352941177926,0.6507352941176047,1,2023,2.0,1.4033846153846123,1,1,True,1936.32,0.17000000000007276,0.4399999999998272,True,True,False,2,19.781428571428574,2.0,2023-07-11 04:40:00,2023-07-11 05:57:00,1927.84,1927.9899999999998,-1:2023-07-05T14:30:00
2023-07-11 13:19:00,-1,1938.31,2023-07-11 09:30:00,2023-07-11 10:15:00,729,1,1938.48,2023-07-11 13:50:00,1935.88,1,36986,1935.88,1938.6,2.7199999999998,1,184843,2023-07-11 15:23:00,1.0257352941177926,0.6507352941176047,1,2023,2.5,1.4033846153846123,1,1,True,1936.32,0.17000000000007276,0.4399999999998272,True,True,False,2,19.781428571428574,2.5,2023-07-11 04:40:00,2023-07-11 05:57:00,1927.84,1927.9899999999998,-1:2023-07-05T14:30:00
2023-08-04 15:30:00,1,1930.32,2023-08-03 16:00:00,2023-08-03 17:30:00,1710,4,1925.24,2023-08-04 15:35:00,1935.24,-1,41975,1935.38,1925.24,10.1400000000001,1,209733,2023-08-04 16:36:00,1.1193293885601379,0.16962524654832448,1,2023,1.5,1.1279799247176823,-1,-1,True,1933.06,5.079999999999927,2.1800000000000637,False,True,False,0,19.621428571428574,1.5,2023-08-03 06:55:00,2023-08-03 08:00:00,1933.99,1933.88,1:2023-08-02T16:00:00
2023-08-04 15:30:00,1,1930.32,2023-08-03 16:00:00,2023-08-03 21:00:00,1110,2,1925.24,2023-08-04 15:35:00,1935.24,-1,41975,1935.38,1925.24,10.1400000000001,1,209733,2023-08-04 16:36:00,1.1193293885601379,0.16962524654832448,1,2023,2.0,1.1279799247176823,-1,-1,True,1933.06,5.079999999999927,2.1800000000000637,False,True,False,0,19.621428571428574,2.0,2023-08-03 06:55:00,2023-08-03 08:00:00,1933.99,1933.88,1:2023-08-02T16:00:00
2023-10-04 21:40:00,1,1816.66,2023-10-04 09:30:00,2023-10-04 10:00:00,2190,1,1816.54,2023-10-04 22:15:00,1818.75,-1,53892,1818.9,1816.54,2.3600000000001273,1,269196,2023-10-04 22:34:00,1.0042372881354928,0.11864406779668855,1,2023,1.5,1.8406458406458226,-1,1,True,1818.73,0.12000000000011823,0.01999999999998181,False,True,True,1,18.387857142857115,1.5,2023-10-04 03:40:00,2023-10-04 04:35:00,1821.83,1821.82,1:2023-09-29T16:00:00
2023-10-04 21:40:00,1,1816.66,2023-10-04 09:30:00,2023-10-04 10:30:00,1422,1,1816.54,2023-10-04 22:15:00,1818.75,-1,53892,1818.9,1816.54,2.3600000000001273,1,269196,2023-10-04 22:34:00,1.0042372881354928,0.11864406779668855,1,2023,2.0,1.8406458406458226,-1,1,True,1818.73,0.12000000000011823,0.01999999999998181,False,True,True,1,18.387857142857115,2.0,2023-10-04 03:40:00,2023-10-04 04:35:00,1821.83,1821.82,1:2023-09-29T16:00:00
2023-10-04 21:40:00,1,1816.66,2023-10-04 09:30:00,2023-10-04 10:45:00,1072,1,1816.54,2023-10-04 22:15:00,1818.75,-1,53892,1818.9,1816.54,2.3600000000001273,1,269196,2023-10-04 22:34:00,1.0042372881354928,0.11864406779668855,1,2023,2.5,1.8406458406458226,-1,1,True,1818.73,0.12000000000011823,0.01999999999998181,False,True,True,1,18.387857142857115,2.5,2023-10-04 03:40:00,2023-10-04 04:35:00,1821.83,1821.82,1:2023-09-29T16:00:00
2024-04-11 11:51:00,1,2326.15,2024-04-10 21:45:00,2024-04-11 00:00:00,3650,1,2325.7,2024-04-11 12:35:00,2332.92,-1,90354,2333.11,2325.7,7.410000000000309,1,451481,2024-04-11 15:30:00,1.1443994601888885,0.6356275303643508,1,2024,1.5,1.7415005020800398,-1,-1,True,2332.68,0.45000000000027285,0.24000000000023647,False,True,True,1,37.49428571428569,1.5,2024-04-11 10:25:00,2024-04-11 11:11:00,2333.9,2333.85,1:2024-04-11T03:30:00
2024-11-06 08:38:00,1,2701.69,2024-10-18 11:30:00,2024-10-18 12:15:00,5146,1,2701.42,2024-11-06 09:10:00,2718.07,-1,131317,2718.2400000000002,2701.42,16.820000000000164,0,656204,2024-11-06 13:55:00,0.920332936979751,1.179548156956002,0,2024,1.5,1.0994226165328964,-1,1,True,2715.13,0.2699999999999818,2.9400000000000546,True,False,False,3,30.53499999999992,1.5,2024-11-06 03:30:00,2024-11-06 05:29:00,2732.96,2732.56,1:2024-11-05T06:30:00
2024-11-06 08:38:00,1,2701.69,2024-10-18 11:30:00,2024-10-18 12:15:00,3426,1,2701.42,2024-11-06 09:10:00,2718.07,-1,131317,2718.2400000000002,2701.42,16.820000000000164,0,656204,2024-11-06 13:55:00,0.920332936979751,1.179548156956002,0,2024,2.0,1.0994226165328964,-1,1,True,2715.13,0.2699999999999818,2.9400000000000546,True,False,False,3,30.53499999999992,2.0,2024-11-06 03:30:00,2024-11-06 05:29:00,2732.96,2732.56,1:2024-11-05T06:30:00
2024-11-06 08:38:00,1,2701.69,2024-10-18 11:30:00,2024-10-18 12:30:00,2530,1,2701.42,2024-11-06 09:10:00,2718.07,-1,131317,2718.2400000000002,2701.42,16.820000000000164,0,656204,2024-11-06 13:55:00,0.920332936979751,1.179548156956002,0,2024,2.5,1.0994226165328964,-1,1,True,2715.13,0.2699999999999818,2.9400000000000546,True,False,False,3,30.53499999999992,2.5,2024-11-06 03:30:00,2024-11-06 05:29:00,2732.96,2732.56,1:2024-11-05T06:30:00
