observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=BTCUSD account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.01 03:00:00,M30:wave:LOW:1704070800,side=LOW price=42045.8300000000 occurred=2024.01.01 01:00:00 confirmed_bar=2024.01.01 02:30:00 wick_bottom=42045.8300000000 wick_top=42149.7300000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.01 06:30:00,M30:wave:HIGH:1704079800,side=HIGH price=42727.0400000000 occurred=2024.01.01 03:30:00 confirmed_bar=2024.01.01 06:00:00 wick_bottom=42571.7200000000 wick_top=42727.0400000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.01 09:30:00,M30:wave:LOW:1704094200,side=LOW price=42156.9000000000 occurred=2024.01.01 07:30:00 confirmed_bar=2024.01.01 09:00:00 wick_bottom=42156.9000000000 wick_top=42208.5100000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 00:00:00,M30:wave:HIGH:1704148200,side=HIGH price=43826.9500000000 occurred=2024.01.01 22:30:00 confirmed_bar=2024.01.01 23:30:00 wick_bottom=43683.9100000000 wick_top=43826.9500000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 02:00:00,M30:wave:LOW:1704153600,side=LOW price=43364.1600000000 occurred=2024.01.02 00:00:00 confirmed_bar=2024.01.02 01:30:00 wick_bottom=43364.1600000000 wick_top=43456.6800000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 13:00:00,M30:wave:HIGH:1704193200,side=HIGH price=45898.4300000000 occurred=2024.01.02 11:00:00 confirmed_bar=2024.01.02 12:30:00 wick_bottom=45849.2300000000 wick_top=45898.4300000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 16:30:00,M30:wave:LOW:1704202200,side=LOW price=45220.9700000000 occurred=2024.01.02 13:30:00 confirmed_bar=2024.01.02 16:00:00 wick_bottom=45220.9700000000 wick_top=45457.0500000000 trend_at_confirmation=BULLISH
