observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=CADCHF account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 02:00:00,M30:wave:LOW:1704155400,side=LOW price=0.6333500000 occurred=2024.01.02 00:30:00 confirmed_bar=2024.01.02 01:30:00 wick_bottom=0.6333500000 wick_top=0.6333500000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 15:30:00,M30:wave:HIGH:1704202200,side=HIGH price=0.6407400000 occurred=2024.01.02 13:30:00 confirmed_bar=2024.01.02 15:00:00 wick_bottom=0.6405400000 wick_top=0.6407400000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 20:00:00,M30:wave:LOW:1704213000,side=LOW price=0.6354200000 occurred=2024.01.02 16:30:00 confirmed_bar=2024.01.02 19:30:00 wick_bottom=0.6354200000 wick_top=0.6356200000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 21:30:00,M30:wave:HIGH:1704223800,side=HIGH price=0.6388700000 occurred=2024.01.02 19:30:00 confirmed_bar=2024.01.02 21:00:00 wick_bottom=0.6387800000 wick_top=0.6388700000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 23:00:00,M30:wave:LOW:1704231000,side=LOW price=0.6368500000 occurred=2024.01.02 21:30:00 confirmed_bar=2024.01.02 22:30:00 wick_bottom=0.6368500000 wick_top=0.6370900000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 19:30:00,M30:wave:HIGH:1704288600,side=HIGH price=0.6409400000 occurred=2024.01.03 13:30:00 confirmed_bar=2024.01.03 19:00:00 wick_bottom=0.6403400000 wick_top=0.6409400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.03 22:00:00,M30:structure:PROTECTED_BREAK:1704317400,direction=SHORT bar_open=2024.01.03 21:30:00 close=0.6366900000 broken_id=M30:wave:LOW:1704231000 broken_kind=WAVE broken_price=0.6368500000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 02:30:00,M30:wave:LOW:1704326400,side=LOW price=0.6348100000 occurred=2024.01.04 00:00:00 confirmed_bar=2024.01.04 02:00:00 wick_bottom=0.6348100000 wick_top=0.6348100000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 14:30:00,M30:wave:HIGH:1704364200,side=HIGH price=0.6385900000 occurred=2024.01.04 10:30:00 confirmed_bar=2024.01.04 14:00:00 wick_bottom=0.6377700000 wick_top=0.6385900000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 19:00:00,M30:wave:LOW:1704389400,side=LOW price=0.6356000000 occurred=2024.01.04 17:30:00 confirmed_bar=2024.01.04 18:30:00 wick_bottom=0.6356000000 wick_top=0.6360200000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 22:00:00,M30:wave:HIGH:1704398400,side=HIGH price=0.6380000000 occurred=2024.01.04 20:00:00 confirmed_bar=2024.01.04 21:30:00 wick_bottom=0.6380000000 wick_top=0.6380000000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 06:30:00,M30:wave:LOW:1704412800,side=LOW price=0.6354200000 occurred=2024.01.05 00:00:00 confirmed_bar=2024.01.05 06:00:00 wick_bottom=0.6354200000 wick_top=0.6363200000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 08:00:00,M30:wave:HIGH:1704414600,side=HIGH price=0.6367100000 occurred=2024.01.05 00:30:00 confirmed_bar=2024.01.05 07:30:00 wick_bottom=0.6363200000 wick_top=0.6367100000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 09:30:00,M30:wave:LOW:1704425400,side=LOW price=0.6354900000 occurred=2024.01.05 03:30:00 confirmed_bar=2024.01.05 09:00:00 wick_bottom=0.6354900000 wick_top=0.6358300000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 18:30:00,M30:wave:HIGH:1704468600,side=HIGH price=0.6402200000 occurred=2024.01.05 15:30:00 confirmed_bar=2024.01.05 18:00:00 wick_bottom=0.6381500000 wick_top=0.6402200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.05 21:30:00,M30:structure:PROTECTED_BREAK:1704488400,direction=SHORT bar_open=2024.01.05 21:00:00 close=0.6353700000 broken_id=M30:wave:LOW:1704412800 broken_kind=WAVE broken_price=0.6354200000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 23:00:00,M30:wave:LOW:1704475800,side=LOW price=0.6346300000 occurred=2024.01.05 17:30:00 confirmed_bar=2024.01.05 22:30:00 wick_bottom=0.6346300000 wick_top=0.6356900000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 04:00:00,M30:wave:HIGH:1704484800,side=HIGH price=0.6370700000 occurred=2024.01.05 20:00:00 confirmed_bar=2024.01.08 03:30:00 wick_bottom=0.6368600000 wick_top=0.6370700000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 05:30:00,M30:wave:LOW:1704672000,side=LOW price=0.6349900000 occurred=2024.01.08 00:00:00 confirmed_bar=2024.01.08 05:00:00 wick_bottom=0.6349900000 wick_top=0.6349900000 trend_at_confirmation=TRANSITION
