observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=CHFJPY account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 07:00:00,M30:wave:HIGH:1704166200,side=HIGH price=167.9100000000 occurred=2024.01.02 03:30:00 confirmed_bar=2024.01.02 06:30:00 wick_bottom=167.8590000000 wick_top=167.9100000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 08:30:00,M30:wave:LOW:1704178800,side=LOW price=167.3730000000 occurred=2024.01.02 07:00:00 confirmed_bar=2024.01.02 08:00:00 wick_bottom=167.3730000000 wick_top=167.4360000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 12:30:00,M30:wave:HIGH:1704184200,side=HIGH price=167.7070000000 occurred=2024.01.02 08:30:00 confirmed_bar=2024.01.02 12:00:00 wick_bottom=167.5310000000 wick_top=167.7070000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 19:00:00,M30:wave:LOW:1704202200,side=LOW price=166.7750000000 occurred=2024.01.02 13:30:00 confirmed_bar=2024.01.02 18:30:00 wick_bottom=166.7750000000 wick_top=166.8270000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 20:30:00,M30:wave:HIGH:1704205800,side=HIGH price=167.4870000000 occurred=2024.01.02 14:30:00 confirmed_bar=2024.01.02 20:00:00 wick_bottom=167.3130000000 wick_top=167.4870000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 01:30:00,M30:wave:LOW:1704240000,side=LOW price=166.8460000000 occurred=2024.01.03 00:00:00 confirmed_bar=2024.01.03 01:00:00 wick_bottom=166.8460000000 wick_top=166.8460000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 13:30:00,M30:wave:HIGH:1704279600,side=HIGH price=167.7860000000 occurred=2024.01.03 11:00:00 confirmed_bar=2024.01.03 13:00:00 wick_bottom=167.5760000000 wick_top=167.7860000000 trend_at_confirmation=BEARISH
