observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=EURCAD account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 02:00:00,M30:wave:HIGH:1704155400,side=HIGH price=1.4630600000 occurred=2024.01.02 00:30:00 confirmed_bar=2024.01.02 01:30:00 wick_bottom=1.4628200000 wick_top=1.4630600000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 11:30:00,M30:wave:LOW:1704189600,side=LOW price=1.4585200000 occurred=2024.01.02 10:00:00 confirmed_bar=2024.01.02 11:00:00 wick_bottom=1.4585200000 wick_top=1.4595100000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 13:00:00,M30:wave:HIGH:1704193200,side=HIGH price=1.4620000000 occurred=2024.01.02 11:00:00 confirmed_bar=2024.01.02 12:30:00 wick_bottom=1.4612100000 wick_top=1.4620000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 01:30:00,M30:wave:LOW:1704202200,side=LOW price=1.4547600000 occurred=2024.01.02 13:30:00 confirmed_bar=2024.01.03 01:00:00 wick_bottom=1.4547600000 wick_top=1.4551300000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 11:00:00,M30:wave:HIGH:1704276000,side=HIGH price=1.4610700000 occurred=2024.01.03 10:00:00 confirmed_bar=2024.01.03 10:30:00 wick_bottom=1.4602200000 wick_top=1.4610700000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 02:00:00,M30:wave:LOW:1704303000,side=LOW price=1.4551700000 occurred=2024.01.03 17:30:00 confirmed_bar=2024.01.04 01:30:00 wick_bottom=1.4551700000 wick_top=1.4556600000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 04:00:00,M30:wave:HIGH:1704322800,side=HIGH price=1.4587800000 occurred=2024.01.03 23:00:00 confirmed_bar=2024.01.04 03:30:00 wick_bottom=1.4586400000 wick_top=1.4587800000 trend_at_confirmation=BEARISH
