observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=EURCHF account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 01:30:00,M30:wave:LOW:1704153600,side=LOW price=0.9263600000 occurred=2024.01.02 00:00:00 confirmed_bar=2024.01.02 01:00:00 wick_bottom=0.9263600000 wick_top=0.9268100000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 04:30:00,M30:wave:HIGH:1704162600,side=HIGH price=0.9299700000 occurred=2024.01.02 02:30:00 confirmed_bar=2024.01.02 04:00:00 wick_bottom=0.9298700000 wick_top=0.9299700000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 07:00:00,M30:wave:LOW:1704168000,side=LOW price=0.9295200000 occurred=2024.01.02 04:00:00 confirmed_bar=2024.01.02 06:30:00 wick_bottom=0.9295200000 wick_top=0.9295800000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 08:30:00,M30:wave:HIGH:1704178800,side=HIGH price=0.9315400000 occurred=2024.01.02 07:00:00 confirmed_bar=2024.01.02 08:00:00 wick_bottom=0.9314700000 wick_top=0.9315400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 10:00:00,M30:wave:LOW:1704184200,side=LOW price=0.9304400000 occurred=2024.01.02 08:30:00 confirmed_bar=2024.01.02 09:30:00 wick_bottom=0.9304400000 wick_top=0.9309000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 15:30:00,M30:wave:HIGH:1704196800,side=HIGH price=0.9338300000 occurred=2024.01.02 12:00:00 confirmed_bar=2024.01.02 15:00:00 wick_bottom=0.9324800000 wick_top=0.9338300000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 19:30:00,M30:wave:LOW:1704213000,side=LOW price=0.9280000000 occurred=2024.01.02 16:30:00 confirmed_bar=2024.01.02 19:00:00 wick_bottom=0.9280000000 wick_top=0.9281600000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 15:30:00,M30:wave:HIGH:1704288600,side=HIGH price=0.9339200000 occurred=2024.01.03 13:30:00 confirmed_bar=2024.01.03 15:00:00 wick_bottom=0.9331700000 wick_top=0.9339200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 02:30:00,M30:wave:LOW:1704328200,side=LOW price=0.9268100000 occurred=2024.01.04 00:30:00 confirmed_bar=2024.01.04 02:00:00 wick_bottom=0.9268100000 wick_top=0.9271000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 22:00:00,M30:wave:HIGH:1704382200,side=HIGH price=0.9330000000 occurred=2024.01.04 15:30:00 confirmed_bar=2024.01.04 21:30:00 wick_bottom=0.9318500000 wick_top=0.9330000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 14:00:00,M30:wave:LOW:1704450600,side=LOW price=0.9286400000 occurred=2024.01.05 10:30:00 confirmed_bar=2024.01.05 13:30:00 wick_bottom=0.9286400000 wick_top=0.9293400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 18:30:00,M30:wave:HIGH:1704468600,side=HIGH price=0.9330100000 occurred=2024.01.05 15:30:00 confirmed_bar=2024.01.05 18:00:00 wick_bottom=0.9312200000 wick_top=0.9330100000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 20:00:00,M30:wave:LOW:1704479400,side=LOW price=0.9290200000 occurred=2024.01.05 18:30:00 confirmed_bar=2024.01.05 19:30:00 wick_bottom=0.9290200000 wick_top=0.9293000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 10:00:00,M30:wave:HIGH:1704702600,side=HIGH price=0.9317000000 occurred=2024.01.08 08:30:00 confirmed_bar=2024.01.08 09:30:00 wick_bottom=0.9315900000 wick_top=0.9317000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 12:00:00,M30:wave:LOW:1704706200,side=LOW price=0.9287400000 occurred=2024.01.08 09:30:00 confirmed_bar=2024.01.08 11:30:00 wick_bottom=0.9287400000 wick_top=0.9303500000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 03:30:00,M30:wave:HIGH:1704724200,side=HIGH price=0.9315200000 occurred=2024.01.08 14:30:00 confirmed_bar=2024.01.09 03:00:00 wick_bottom=0.9313800000 wick_top=0.9315200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 05:00:00,M30:wave:LOW:1704760200,side=LOW price=0.9276700000 occurred=2024.01.09 00:30:00 confirmed_bar=2024.01.09 04:30:00 wick_bottom=0.9276700000 wick_top=0.9282300000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 04:00:00,M30:wave:HIGH:1704841200,side=HIGH price=0.9319400000 occurred=2024.01.09 23:00:00 confirmed_bar=2024.01.10 03:30:00 wick_bottom=0.9318400000 wick_top=0.9319400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 08:30:00,M30:wave:LOW:1704844800,side=LOW price=0.9305600000 occurred=2024.01.10 00:00:00 confirmed_bar=2024.01.10 08:00:00 wick_bottom=0.9305600000 wick_top=0.9314300000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 16:30:00,M30:wave:HIGH:1704897000,side=HIGH price=0.9337000000 occurred=2024.01.10 14:30:00 confirmed_bar=2024.01.10 16:00:00 wick_bottom=0.9332600000 wick_top=0.9337000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 08:30:00,M30:wave:LOW:1704907800,side=LOW price=0.9319100000 occurred=2024.01.10 17:30:00 confirmed_bar=2024.01.11 08:00:00 wick_bottom=0.9319100000 wick_top=0.9322100000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 22:30:00,M30:wave:HIGH:1705005000,side=HIGH price=0.9372700000 occurred=2024.01.11 20:30:00 confirmed_bar=2024.01.11 22:00:00 wick_bottom=0.9371900000 wick_top=0.9372700000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.12 19:00:00,M30:wave:LOW:1705078800,side=LOW price=0.9323100000 occurred=2024.01.12 17:00:00 confirmed_bar=2024.01.12 18:30:00 wick_bottom=0.9323100000 wick_top=0.9324800000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.15 11:00:00,M30:wave:HIGH:1705311000,side=HIGH price=0.9357200000 occurred=2024.01.15 09:30:00 confirmed_bar=2024.01.15 10:30:00 wick_bottom=0.9355800000 wick_top=0.9357200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.15 14:30:00,M30:wave:LOW:1705323600,side=LOW price=0.9338400000 occurred=2024.01.15 13:00:00 confirmed_bar=2024.01.15 14:00:00 wick_bottom=0.9338400000 wick_top=0.9341500000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.15 23:00:00,M30:wave:HIGH:1705352400,side=HIGH price=0.9373700000 occurred=2024.01.15 21:00:00 confirmed_bar=2024.01.15 22:30:00 wick_bottom=0.9373300000 wick_top=0.9373700000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.16 13:30:00,M30:wave:LOW:1705375800,side=LOW price=0.9356900000 occurred=2024.01.16 03:30:00 confirmed_bar=2024.01.16 13:00:00 wick_bottom=0.9356900000 wick_top=0.9360100000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.16 15:00:00,M30:wave:HIGH:1705397400,side=HIGH price=0.9387600000 occurred=2024.01.16 09:30:00 confirmed_bar=2024.01.16 14:30:00 wick_bottom=0.9381000000 wick_top=0.9387600000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.17 00:30:00,M30:wave:LOW:1705424400,side=LOW price=0.9349400000 occurred=2024.01.16 17:00:00 confirmed_bar=2024.01.17 00:00:00 wick_bottom=0.9349400000 wick_top=0.9355400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.17 23:30:00,M30:wave:HIGH:1705510800,side=HIGH price=0.9420700000 occurred=2024.01.17 17:00:00 confirmed_bar=2024.01.17 23:00:00 wick_bottom=0.9419200000 wick_top=0.9420700000 trend_at_confirmation=BULLISH
