observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=EURGBP account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 03:00:00,M30:wave:LOW:1704157200,side=LOW price=0.8667700000 occurred=2024.01.02 01:00:00 confirmed_bar=2024.01.02 02:30:00 wick_bottom=0.8667700000 wick_top=0.8668600000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 14:30:00,M30:wave:HIGH:1704200400,side=HIGH price=0.8677700000 occurred=2024.01.02 13:00:00 confirmed_bar=2024.01.02 14:00:00 wick_bottom=0.8669400000 wick_top=0.8677700000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 16:00:00,M30:wave:LOW:1704204000,side=LOW price=0.8660100000 occurred=2024.01.02 14:00:00 confirmed_bar=2024.01.02 15:30:00 wick_bottom=0.8660100000 wick_top=0.8661200000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.02 17:00:00,M30:structure:PROTECTED_BREAK:1704213000,direction=LONG bar_open=2024.01.02 16:30:00 close=0.8680000000 broken_id=M30:wave:HIGH:1704200400 broken_kind=WAVE broken_price=0.8677700000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 20:00:00,M30:wave:HIGH:1704214800,side=HIGH price=0.8681500000 occurred=2024.01.02 17:00:00 confirmed_bar=2024.01.02 19:30:00 wick_bottom=0.8680100000 wick_top=0.8681500000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 23:00:00,M30:wave:LOW:1704315600,side=LOW price=0.8616300000 occurred=2024.01.03 21:00:00 confirmed_bar=2024.01.03 22:30:00 wick_bottom=0.8616300000 wick_top=0.8617700000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 06:30:00,M30:wave:HIGH:1704344400,side=HIGH price=0.8625500000 occurred=2024.01.04 05:00:00 confirmed_bar=2024.01.04 06:00:00 wick_bottom=0.8624100000 wick_top=0.8625500000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.04 10:00:00,M30:structure:PROTECTED_BREAK:1704360600,direction=SHORT bar_open=2024.01.04 09:30:00 close=0.8616000000 broken_id=M30:wave:LOW:1704315600 broken_kind=WAVE broken_price=0.8616300000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 14:00:00,M30:wave:LOW:1704369600,side=LOW price=0.8609400000 occurred=2024.01.04 12:00:00 confirmed_bar=2024.01.04 13:30:00 wick_bottom=0.8609400000 wick_top=0.8613000000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 18:00:00,M30:wave:HIGH:1704384000,side=HIGH price=0.8638500000 occurred=2024.01.04 16:00:00 confirmed_bar=2024.01.04 17:30:00 wick_bottom=0.8636900000 wick_top=0.8638500000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 14:00:00,M30:wave:LOW:1704450600,side=LOW price=0.8606300000 occurred=2024.01.05 10:30:00 confirmed_bar=2024.01.05 13:30:00 wick_bottom=0.8606300000 wick_top=0.8610900000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 17:30:00,M30:wave:HIGH:1704470400,side=HIGH price=0.8633200000 occurred=2024.01.05 16:00:00 confirmed_bar=2024.01.05 17:00:00 wick_bottom=0.8626900000 wick_top=0.8633200000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 06:30:00,M30:wave:LOW:1704672000,side=LOW price=0.8597600000 occurred=2024.01.08 00:00:00 confirmed_bar=2024.01.08 06:00:00 wick_bottom=0.8597600000 wick_top=0.8597600000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 13:00:00,M30:wave:HIGH:1704713400,side=HIGH price=0.8620000000 occurred=2024.01.08 11:30:00 confirmed_bar=2024.01.08 12:30:00 wick_bottom=0.8616800000 wick_top=0.8620000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 16:00:00,M30:wave:LOW:1704722400,side=LOW price=0.8605200000 occurred=2024.01.08 14:00:00 confirmed_bar=2024.01.08 15:30:00 wick_bottom=0.8605200000 wick_top=0.8609200000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 17:30:00,M30:wave:HIGH:1704729600,side=HIGH price=0.8616800000 occurred=2024.01.08 16:00:00 confirmed_bar=2024.01.08 17:00:00 wick_bottom=0.8614000000 wick_top=0.8616800000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 07:00:00,M30:wave:LOW:1704771000,side=LOW price=0.8585300000 occurred=2024.01.09 03:30:00 confirmed_bar=2024.01.09 06:30:00 wick_bottom=0.8585300000 wick_top=0.8585400000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 15:00:00,M30:wave:HIGH:1704807000,side=HIGH price=0.8599700000 occurred=2024.01.09 13:30:00 confirmed_bar=2024.01.09 14:30:00 wick_bottom=0.8598300000 wick_top=0.8599700000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 21:30:00,M30:wave:LOW:1704810600,side=LOW price=0.8591100000 occurred=2024.01.09 14:30:00 confirmed_bar=2024.01.09 21:00:00 wick_bottom=0.8591100000 wick_top=0.8594500000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 00:30:00,M30:wave:HIGH:1704819600,side=HIGH price=0.8606600000 occurred=2024.01.09 17:00:00 confirmed_bar=2024.01.10 00:00:00 wick_bottom=0.8604400000 wick_top=0.8606600000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 05:00:00,M30:wave:LOW:1704823200,side=LOW price=0.8592800000 occurred=2024.01.09 18:00:00 confirmed_bar=2024.01.10 04:30:00 wick_bottom=0.8592800000 wick_top=0.8593400000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 12:00:00,M30:wave:HIGH:1704879000,side=HIGH price=0.8615500000 occurred=2024.01.10 09:30:00 confirmed_bar=2024.01.10 11:30:00 wick_bottom=0.8608700000 wick_top=0.8615500000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 18:00:00,M30:wave:LOW:1704900600,side=LOW price=0.8594500000 occurred=2024.01.10 15:30:00 confirmed_bar=2024.01.10 17:30:00 wick_bottom=0.8594500000 wick_top=0.8596800000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 04:30:00,M30:wave:HIGH:1704915000,side=HIGH price=0.8619900000 occurred=2024.01.10 19:30:00 confirmed_bar=2024.01.11 04:00:00 wick_bottom=0.8618700000 wick_top=0.8619900000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 08:30:00,M30:wave:LOW:1704949200,side=LOW price=0.8597700000 occurred=2024.01.11 05:00:00 confirmed_bar=2024.01.11 08:00:00 wick_bottom=0.8597700000 wick_top=0.8598700000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 14:00:00,M30:wave:HIGH:1704976200,side=HIGH price=0.8607300000 occurred=2024.01.11 12:30:00 confirmed_bar=2024.01.11 13:30:00 wick_bottom=0.8605600000 wick_top=0.8607300000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 15:30:00,M30:wave:LOW:1704979800,side=LOW price=0.8598600000 occurred=2024.01.11 13:30:00 confirmed_bar=2024.01.11 15:00:00 wick_bottom=0.8598600000 wick_top=0.8599200000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 21:00:00,M30:wave:HIGH:1704996000,side=HIGH price=0.8616300000 occurred=2024.01.11 18:00:00 confirmed_bar=2024.01.11 20:30:00 wick_bottom=0.8615500000 wick_top=0.8616300000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.12 07:30:00,M30:wave:LOW:1705017600,side=LOW price=0.8588300000 occurred=2024.01.12 00:00:00 confirmed_bar=2024.01.12 07:00:00 wick_bottom=0.8588300000 wick_top=0.8596200000 trend_at_confirmation=BEARISH
