observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=EURJPY account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 09:30:00,M30:wave:LOW:1704157200,side=LOW price=155.4280000000 occurred=2024.01.02 01:00:00 confirmed_bar=2024.01.02 09:00:00 wick_bottom=155.4280000000 wick_top=155.5540000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 22:00:00,M30:wave:HIGH:1704310200,side=HIGH price=156.7750000000 occurred=2024.01.03 19:30:00 confirmed_bar=2024.01.03 21:30:00 wick_bottom=156.6150000000 wick_top=156.7750000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 23:30:00,M30:wave:LOW:1704319200,side=LOW price=156.3030000000 occurred=2024.01.03 22:00:00 confirmed_bar=2024.01.03 23:00:00 wick_bottom=156.3030000000 wick_top=156.3730000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 01:30:00,M30:wave:HIGH:1704324600,side=HIGH price=156.5030000000 occurred=2024.01.03 23:30:00 confirmed_bar=2024.01.04 01:00:00 wick_bottom=156.4830000000 wick_top=156.5030000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 03:30:00,M30:wave:LOW:1704333600,side=LOW price=156.0600000000 occurred=2024.01.04 02:00:00 confirmed_bar=2024.01.04 03:00:00 wick_bottom=156.0600000000 wick_top=156.2290000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.04 07:00:00,M30:structure:PROTECTED_BREAK:1704349800,direction=LONG bar_open=2024.01.04 06:30:00 close=156.8530000000 broken_id=M30:wave:HIGH:1704310200 broken_kind=WAVE broken_price=156.7750000000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 09:30:00,M30:wave:HIGH:1704355200,side=HIGH price=157.1750000000 occurred=2024.01.04 08:00:00 confirmed_bar=2024.01.04 09:00:00 wick_bottom=157.0940000000 wick_top=157.1750000000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 11:00:00,M30:wave:LOW:1704360600,side=LOW price=156.6150000000 occurred=2024.01.04 09:30:00 confirmed_bar=2024.01.04 10:30:00 wick_bottom=156.6150000000 wick_top=156.7510000000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 07:00:00,M30:wave:HIGH:1704421800,side=HIGH price=158.6640000000 occurred=2024.01.05 02:30:00 confirmed_bar=2024.01.05 06:30:00 wick_bottom=158.5620000000 wick_top=158.6640000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 09:00:00,M30:wave:LOW:1704439800,side=LOW price=158.1960000000 occurred=2024.01.05 07:30:00 confirmed_bar=2024.01.05 08:30:00 wick_bottom=158.1960000000 wick_top=158.2230000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 10:30:00,M30:wave:HIGH:1704443400,side=HIGH price=158.8220000000 occurred=2024.01.05 08:30:00 confirmed_bar=2024.01.05 10:00:00 wick_bottom=158.7070000000 wick_top=158.8220000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 19:00:00,M30:wave:LOW:1704474000,side=LOW price=158.0340000000 occurred=2024.01.05 17:00:00 confirmed_bar=2024.01.05 18:30:00 wick_bottom=158.0340000000 wick_top=158.0610000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 22:00:00,M30:wave:HIGH:1704486600,side=HIGH price=158.5690000000 occurred=2024.01.05 20:30:00 confirmed_bar=2024.01.05 21:30:00 wick_bottom=158.4760000000 wick_top=158.5690000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 01:30:00,M30:wave:LOW:1704497400,side=LOW price=158.0830000000 occurred=2024.01.05 23:30:00 confirmed_bar=2024.01.08 01:00:00 wick_bottom=158.0830000000 wick_top=158.1570000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 04:00:00,M30:wave:HIGH:1704681000,side=HIGH price=158.4690000000 occurred=2024.01.08 02:30:00 confirmed_bar=2024.01.08 03:30:00 wick_bottom=158.3620000000 wick_top=158.4690000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 10:00:00,M30:wave:LOW:1704704400,side=LOW price=157.7130000000 occurred=2024.01.08 09:00:00 confirmed_bar=2024.01.08 09:30:00 wick_bottom=157.7130000000 wick_top=157.8060000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 11:30:00,M30:wave:HIGH:1704706200,side=HIGH price=158.1320000000 occurred=2024.01.08 09:30:00 confirmed_bar=2024.01.08 11:00:00 wick_bottom=158.0550000000 wick_top=158.1320000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 13:30:00,M30:wave:LOW:1704715200,side=LOW price=157.7030000000 occurred=2024.01.08 12:00:00 confirmed_bar=2024.01.08 13:00:00 wick_bottom=157.7030000000 wick_top=157.7430000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 23:30:00,M30:wave:HIGH:1704722400,side=HIGH price=158.3600000000 occurred=2024.01.08 14:00:00 confirmed_bar=2024.01.08 23:00:00 wick_bottom=158.2480000000 wick_top=158.3600000000 trend_at_confirmation=BULLISH
