observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=GBPCHF account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 07:00:00,M30:wave:LOW:1704153600,side=LOW price=1.0688400000 occurred=2024.01.02 00:00:00 confirmed_bar=2024.01.02 06:30:00 wick_bottom=1.0688400000 wick_top=1.0688400000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 15:30:00,M30:wave:HIGH:1704196800,side=HIGH price=1.0785600000 occurred=2024.01.02 12:00:00 confirmed_bar=2024.01.02 15:00:00 wick_bottom=1.0769400000 wick_top=1.0785600000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 20:00:00,M30:wave:LOW:1704214800,side=LOW price=1.0688800000 occurred=2024.01.02 17:00:00 confirmed_bar=2024.01.02 19:30:00 wick_bottom=1.0688800000 wick_top=1.0690200000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 21:30:00,M30:wave:HIGH:1704227400,side=HIGH price=1.0739700000 occurred=2024.01.02 20:30:00 confirmed_bar=2024.01.02 21:00:00 wick_bottom=1.0734100000 wick_top=1.0739700000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 23:30:00,M30:wave:LOW:1704231000,side=LOW price=1.0715000000 occurred=2024.01.02 21:30:00 confirmed_bar=2024.01.02 23:00:00 wick_bottom=1.0715000000 wick_top=1.0718800000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 18:00:00,M30:wave:HIGH:1704288600,side=HIGH price=1.0798000000 occurred=2024.01.03 13:30:00 confirmed_bar=2024.01.03 17:30:00 wick_bottom=1.0790500000 wick_top=1.0798000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 02:30:00,M30:wave:LOW:1704326400,side=LOW price=1.0744300000 occurred=2024.01.04 00:00:00 confirmed_bar=2024.01.04 02:00:00 wick_bottom=1.0744300000 wick_top=1.0750000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 09:00:00,M30:wave:HIGH:1704339000,side=HIGH price=1.0768400000 occurred=2024.01.04 03:30:00 confirmed_bar=2024.01.04 08:30:00 wick_bottom=1.0765600000 wick_top=1.0768400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 10:30:00,M30:wave:LOW:1704346200,side=LOW price=1.0746600000 occurred=2024.01.04 05:30:00 confirmed_bar=2024.01.04 10:00:00 wick_bottom=1.0746600000 wick_top=1.0753400000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 14:00:00,M30:wave:HIGH:1704369600,side=HIGH price=1.0812200000 occurred=2024.01.04 12:00:00 confirmed_bar=2024.01.04 13:30:00 wick_bottom=1.0809000000 wick_top=1.0812200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 01:30:00,M30:wave:LOW:1704414600,side=LOW price=1.0766300000 occurred=2024.01.05 00:30:00 confirmed_bar=2024.01.05 01:00:00 wick_bottom=1.0766300000 wick_top=1.0777800000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 08:00:00,M30:wave:HIGH:1704436200,side=HIGH price=1.0788100000 occurred=2024.01.05 06:30:00 confirmed_bar=2024.01.05 07:30:00 wick_bottom=1.0787000000 wick_top=1.0788100000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 09:30:00,M30:wave:LOW:1704441600,side=LOW price=1.0777000000 occurred=2024.01.05 08:00:00 confirmed_bar=2024.01.05 09:00:00 wick_bottom=1.0777000000 wick_top=1.0777500000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 10:00:00,M30:wave:HIGH:1704702600,side=HIGH price=1.0822600000 occurred=2024.01.08 08:30:00 confirmed_bar=2024.01.08 09:30:00 wick_bottom=1.0820800000 wick_top=1.0822600000 trend_at_confirmation=BULLISH
