observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=GBPUSD account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 01:30:00,M30:wave:LOW:1704155400,side=LOW price=1.2716200000 occurred=2024.01.02 00:30:00 confirmed_bar=2024.01.02 01:00:00 wick_bottom=1.2716200000 wick_top=1.2726400000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 12:30:00,M30:wave:HIGH:1704189600,side=HIGH price=1.2758900000 occurred=2024.01.02 10:00:00 confirmed_bar=2024.01.02 12:00:00 wick_bottom=1.2748300000 wick_top=1.2758900000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 20:00:00,M30:wave:LOW:1704220200,side=LOW price=1.2609900000 occurred=2024.01.02 18:30:00 confirmed_bar=2024.01.02 19:30:00 wick_bottom=1.2609900000 wick_top=1.2622900000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 04:30:00,M30:wave:HIGH:1704223800,side=HIGH price=1.2636200000 occurred=2024.01.02 19:30:00 confirmed_bar=2024.01.03 04:00:00 wick_bottom=1.2631800000 wick_top=1.2636200000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 06:00:00,M30:wave:LOW:1704240000,side=LOW price=1.2608700000 occurred=2024.01.03 00:00:00 confirmed_bar=2024.01.03 05:30:00 wick_bottom=1.2608700000 wick_top=1.2613400000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 12:00:00,M30:wave:HIGH:1704276000,side=HIGH price=1.2651400000 occurred=2024.01.03 10:00:00 confirmed_bar=2024.01.03 11:30:00 wick_bottom=1.2642800000 wick_top=1.2651400000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 01:30:00,M30:wave:LOW:1704303000,side=LOW price=1.2614600000 occurred=2024.01.03 17:30:00 confirmed_bar=2024.01.04 01:00:00 wick_bottom=1.2614600000 wick_top=1.2627000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 03:30:00,M30:wave:HIGH:1704317400,side=HIGH price=1.2675600000 occurred=2024.01.03 21:30:00 confirmed_bar=2024.01.04 03:00:00 wick_bottom=1.2673300000 wick_top=1.2675600000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 09:30:00,M30:wave:LOW:1704319200,side=LOW price=1.2653400000 occurred=2024.01.03 22:00:00 confirmed_bar=2024.01.04 09:00:00 wick_bottom=1.2653400000 wick_top=1.2659300000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 14:00:00,M30:wave:HIGH:1704369600,side=HIGH price=1.2728700000 occurred=2024.01.04 12:00:00 confirmed_bar=2024.01.04 13:30:00 wick_bottom=1.2723400000 wick_top=1.2728700000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 17:30:00,M30:wave:LOW:1704468600,side=LOW price=1.2610200000 occurred=2024.01.05 15:30:00 confirmed_bar=2024.01.05 17:00:00 wick_bottom=1.2610200000 wick_top=1.2656500000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 05:00:00,M30:wave:HIGH:1704475800,side=HIGH price=1.2769900000 occurred=2024.01.05 17:30:00 confirmed_bar=2024.01.08 04:30:00 wick_bottom=1.2757500000 wick_top=1.2769900000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 08:30:00,M30:wave:LOW:1704693600,side=LOW price=1.2697000000 occurred=2024.01.08 06:00:00 confirmed_bar=2024.01.08 08:00:00 wick_bottom=1.2697000000 wick_top=1.2700600000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 10:30:00,M30:wave:HIGH:1704704400,side=HIGH price=1.2719200000 occurred=2024.01.08 09:00:00 confirmed_bar=2024.01.08 10:00:00 wick_bottom=1.2714300000 wick_top=1.2719200000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 13:00:00,M30:wave:LOW:1704713400,side=LOW price=1.2672200000 occurred=2024.01.08 11:30:00 confirmed_bar=2024.01.08 12:30:00 wick_bottom=1.2672200000 wick_top=1.2678100000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.08 19:00:00,M30:structure:PROTECTED_BREAK:1704738600,direction=LONG bar_open=2024.01.08 18:30:00 close=1.2761800000 broken_id=M30:wave:HIGH:1704189600 broken_kind=WAVE broken_price=1.2758900000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 02:00:00,M30:wave:HIGH:1704740400,side=HIGH price=1.2766200000 occurred=2024.01.08 19:00:00 confirmed_bar=2024.01.09 01:30:00 wick_bottom=1.2761800000 wick_top=1.2766200000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 03:30:00,M30:wave:LOW:1704745800,side=LOW price=1.2738900000 occurred=2024.01.08 20:30:00 confirmed_bar=2024.01.09 03:00:00 wick_bottom=1.2738900000 wick_top=1.2747200000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.09 14:00:00,M30:wave:HIGH:1704772800,side=HIGH price=1.2764100000 occurred=2024.01.09 04:00:00 confirmed_bar=2024.01.09 13:30:00 wick_bottom=1.2759700000 wick_top=1.2764100000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 00:30:00,M30:wave:LOW:1704823200,side=LOW price=1.2688400000 occurred=2024.01.09 18:00:00 confirmed_bar=2024.01.10 00:00:00 wick_bottom=1.2688400000 wick_top=1.2702300000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 04:00:00,M30:wave:HIGH:1704826800,side=HIGH price=1.2717900000 occurred=2024.01.09 19:00:00 confirmed_bar=2024.01.10 03:30:00 wick_bottom=1.2716700000 wick_top=1.2717900000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.10 11:30:00,M30:structure:PROTECTED_BREAK:1704884400,direction=LONG bar_open=2024.01.10 11:00:00 close=1.2723300000 broken_id=M30:wave:HIGH:1704826800 broken_kind=WAVE broken_price=1.2717900000 protected_id=NA protected_price=NA
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 11:30:00,M30:wave:LOW:1704875400,side=LOW price=1.2685200000 occurred=2024.01.10 08:30:00 confirmed_bar=2024.01.10 11:00:00 wick_bottom=1.2685200000 wick_top=1.2686400000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.10 17:00:00,M30:wave:HIGH:1704898800,side=HIGH price=1.2735500000 occurred=2024.01.10 15:00:00 confirmed_bar=2024.01.10 16:30:00 wick_bottom=1.2730100000 wick_top=1.2735500000 trend_at_confirmation=TRANSITION
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 00:00:00,M30:wave:LOW:1704904200,side=LOW price=1.2712200000 occurred=2024.01.10 16:30:00 confirmed_bar=2024.01.10 23:30:00 wick_bottom=1.2712200000 wick_top=1.2720800000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 12:00:00,M30:wave:HIGH:1704961800,side=HIGH price=1.2773200000 occurred=2024.01.11 08:30:00 confirmed_bar=2024.01.11 11:30:00 wick_bottom=1.2769100000 wick_top=1.2773200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 13:30:00,M30:wave:LOW:1704974400,side=LOW price=1.2733000000 occurred=2024.01.11 12:00:00 confirmed_bar=2024.01.11 13:00:00 wick_bottom=1.2733000000 wick_top=1.2738700000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 15:30:00,M30:wave:HIGH:1704983400,side=HIGH price=1.2769700000 occurred=2024.01.11 14:30:00 confirmed_bar=2024.01.11 15:00:00 wick_bottom=1.2763200000 wick_top=1.2769700000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.11 20:00:00,M30:wave:LOW:1704992400,side=LOW price=1.2689100000 occurred=2024.01.11 17:00:00 confirmed_bar=2024.01.11 19:30:00 wick_bottom=1.2689100000 wick_top=1.2713200000 trend_at_confirmation=BULLISH
