observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=GOLD account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 05:30:00,M30:wave:LOW:1704160800,side=LOW price=2062.2000000000 occurred=2024.01.02 02:00:00 confirmed_bar=2024.01.02 05:00:00 wick_bottom=2062.2000000000 wick_top=2063.2600000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 14:30:00,M30:wave:HIGH:1704195000,side=HIGH price=2078.8200000000 occurred=2024.01.02 11:30:00 confirmed_bar=2024.01.02 14:00:00 wick_bottom=2076.9500000000 wick_top=2078.8200000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 01:30:00,M30:wave:LOW:1704216600,side=LOW price=2055.7200000000 occurred=2024.01.02 17:30:00 confirmed_bar=2024.01.03 01:00:00 wick_bottom=2055.7200000000 wick_top=2059.2200000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 07:30:00,M30:wave:HIGH:1704218400,side=HIGH price=2067.5000000000 occurred=2024.01.02 18:00:00 confirmed_bar=2024.01.03 07:00:00 wick_bottom=2065.3100000000 wick_top=2067.5000000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 20:30:00,M30:wave:LOW:1704310200,side=LOW price=2030.5600000000 occurred=2024.01.03 19:30:00 confirmed_bar=2024.01.03 20:00:00 wick_bottom=2030.5600000000 wick_top=2032.6300000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 07:00:00,M30:wave:HIGH:1704346200,side=HIGH price=2046.8500000000 occurred=2024.01.04 05:30:00 confirmed_bar=2024.01.04 06:30:00 wick_bottom=2046.4000000000 wick_top=2046.8500000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 08:30:00,M30:wave:LOW:1704353400,side=LOW price=2042.2800000000 occurred=2024.01.04 07:30:00 confirmed_bar=2024.01.04 08:00:00 wick_bottom=2042.2800000000 wick_top=2043.3700000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 11:00:00,M30:wave:HIGH:1704360600,side=HIGH price=2049.4100000000 occurred=2024.01.04 09:30:00 confirmed_bar=2024.01.04 10:30:00 wick_bottom=2048.1900000000 wick_top=2049.4100000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 12:30:00,M30:wave:LOW:1704364200,side=LOW price=2045.2700000000 occurred=2024.01.04 10:30:00 confirmed_bar=2024.01.04 12:00:00 wick_bottom=2045.2700000000 wick_top=2046.6100000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 14:00:00,M30:wave:HIGH:1704367800,side=HIGH price=2050.8000000000 occurred=2024.01.04 11:30:00 confirmed_bar=2024.01.04 13:30:00 wick_bottom=2047.9400000000 wick_top=2050.8000000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 17:00:00,M30:wave:LOW:1704468600,side=LOW price=2024.3500000000 occurred=2024.01.05 15:30:00 confirmed_bar=2024.01.05 16:30:00 wick_bottom=2024.3500000000 wick_top=2035.1200000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 19:00:00,M30:wave:HIGH:1704474000,side=HIGH price=2063.8900000000 occurred=2024.01.05 17:00:00 confirmed_bar=2024.01.05 18:30:00 wick_bottom=2059.5900000000 wick_top=2063.8900000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 21:00:00,M30:wave:LOW:1704483000,side=LOW price=2040.3400000000 occurred=2024.01.05 19:30:00 confirmed_bar=2024.01.05 20:30:00 wick_bottom=2040.3400000000 wick_top=2041.4600000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 22:30:00,M30:wave:HIGH:1704488400,side=HIGH price=2050.2500000000 occurred=2024.01.05 21:00:00 confirmed_bar=2024.01.05 22:00:00 wick_bottom=2048.0900000000 wick_top=2050.2500000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.08 01:30:00,M30:wave:LOW:1704493800,side=LOW price=2042.7800000000 occurred=2024.01.05 22:30:00 confirmed_bar=2024.01.08 01:00:00 wick_bottom=2042.7800000000 wick_top=2043.5100000000 trend_at_confirmation=BEARISH
