observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=SILVER account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 05:30:00,M30:wave:LOW:1704162600,side=LOW price=23.7600000000 occurred=2024.01.02 02:30:00 confirmed_bar=2024.01.02 05:00:00 wick_bottom=23.7600000000 wick_top=23.7670000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 14:30:00,M30:wave:HIGH:1704187800,side=HIGH price=24.0750000000 occurred=2024.01.02 09:30:00 confirmed_bar=2024.01.02 14:00:00 wick_bottom=24.0680000000 wick_top=24.0750000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 21:30:00,M30:wave:LOW:1704303000,side=LOW price=22.8210000000 occurred=2024.01.03 17:30:00 confirmed_bar=2024.01.03 21:00:00 wick_bottom=22.8210000000 wick_top=22.8510000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 00:00:00,M30:wave:HIGH:1704317400,side=HIGH price=23.0980000000 occurred=2024.01.03 21:30:00 confirmed_bar=2024.01.03 23:30:00 wick_bottom=23.0380000000 wick_top=23.0980000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 08:30:00,M30:wave:LOW:1704342600,side=LOW price=22.9070000000 occurred=2024.01.04 04:30:00 confirmed_bar=2024.01.04 08:00:00 wick_bottom=22.9070000000 wick_top=22.9160000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 14:00:00,M30:wave:HIGH:1704367800,side=HIGH price=23.0580000000 occurred=2024.01.04 11:30:00 confirmed_bar=2024.01.04 13:30:00 wick_bottom=23.0010000000 wick_top=23.0580000000 trend_at_confirmation=BEARISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 21:00:00,M30:wave:LOW:1704385800,side=LOW price=22.6710000000 occurred=2024.01.04 16:30:00 confirmed_bar=2024.01.04 20:30:00 wick_bottom=22.6710000000 wick_top=22.7270000000 trend_at_confirmation=BEARISH
