observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=USDCAD account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 05:00:00,M30:wave:LOW:1704164400,side=LOW price=1.3227700000 occurred=2024.01.02 03:00:00 confirmed_bar=2024.01.02 04:30:00 wick_bottom=1.3227700000 wick_top=1.3231300000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 08:00:00,M30:wave:HIGH:1704175200,side=HIGH price=1.3256400000 occurred=2024.01.02 06:00:00 confirmed_bar=2024.01.02 07:30:00 wick_bottom=1.3255900000 wick_top=1.3256400000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 12:00:00,M30:wave:LOW:1704189600,side=LOW price=1.3227600000 occurred=2024.01.02 10:00:00 confirmed_bar=2024.01.02 11:30:00 wick_bottom=1.3227600000 wick_top=1.3238900000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 20:00:00,M30:wave:HIGH:1704213000,side=HIGH price=1.3327900000 occurred=2024.01.02 16:30:00 confirmed_bar=2024.01.02 19:30:00 wick_bottom=1.3317100000 wick_top=1.3327900000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 23:00:00,M30:wave:LOW:1704218400,side=LOW price=1.3299400000 occurred=2024.01.02 18:00:00 confirmed_bar=2024.01.02 22:30:00 wick_bottom=1.3299400000 wick_top=1.3311600000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 00:30:00,M30:wave:HIGH:1704234600,side=HIGH price=1.3332900000 occurred=2024.01.02 22:30:00 confirmed_bar=2024.01.03 00:00:00 wick_bottom=1.3329300000 wick_top=1.3332900000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 07:30:00,M30:wave:LOW:1704240000,side=LOW price=1.3314500000 occurred=2024.01.03 00:00:00 confirmed_bar=2024.01.03 07:00:00 wick_bottom=1.3314500000 wick_top=1.3317600000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 00:30:00,M30:wave:HIGH:1704315600,side=HIGH price=1.3370900000 occurred=2024.01.03 21:00:00 confirmed_bar=2024.01.04 00:00:00 wick_bottom=1.3359200000 wick_top=1.3370900000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 03:30:00,M30:wave:LOW:1704328200,side=LOW price=1.3345300000 occurred=2024.01.04 00:30:00 confirmed_bar=2024.01.04 03:00:00 wick_bottom=1.3345300000 wick_top=1.3345500000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 09:30:00,M30:wave:HIGH:1704342600,side=HIGH price=1.3354100000 occurred=2024.01.04 04:30:00 confirmed_bar=2024.01.04 09:00:00 wick_bottom=1.3350300000 wick_top=1.3354100000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 11:30:00,M30:wave:LOW:1704362400,side=LOW price=1.3316300000 occurred=2024.01.04 10:00:00 confirmed_bar=2024.01.04 11:00:00 wick_bottom=1.3316300000 wick_top=1.3318800000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 23:00:00,M30:wave:HIGH:1704385800,side=HIGH price=1.3364700000 occurred=2024.01.04 16:30:00 confirmed_bar=2024.01.04 22:30:00 wick_bottom=1.3355800000 wick_top=1.3364700000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 02:00:00,M30:wave:LOW:1704412800,side=LOW price=1.3338500000 occurred=2024.01.05 00:00:00 confirmed_bar=2024.01.05 01:30:00 wick_bottom=1.3338500000 wick_top=1.3347200000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 16:30:00,M30:wave:HIGH:1704468600,side=HIGH price=1.3397900000 occurred=2024.01.05 15:30:00 confirmed_bar=2024.01.05 16:00:00 wick_bottom=1.3369500000 wick_top=1.3397900000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,STRUCTURE_PROTECTED_BREAK,M30,2024.01.05 17:30:00,M30:structure:PROTECTED_BREAK:1704474000,direction=SHORT bar_open=2024.01.05 17:00:00 close=1.3308100000 broken_id=M30:wave:LOW:1704362400 broken_kind=WAVE broken_price=1.3316300000 protected_id=NA protected_price=NA
