observed_at,event,timeframe,available_at,object_id,detail
2025.01.01 00:00:00,EA_START,,2025.01.01 00:00:00,,build=1.92R1L3 property_version=1.00 magic=26081601 phase=REGIME_RESEARCH_V1_MULTI_SYMBOL_RISK_SIZING strategy_semantics=D134_EXECUTION_CORE_UNCHANGED fvg_origin_ob_baseline=true symbol=USDJPY account_currency=USD sl_model=ROOT_OB_DISTAL_20 regime_mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 same_entry_root_merge=true same_direction_addons=true opposite_direction_coexistence=false hedging_account_required=true account_margin_mode=2 tester_execution_only=true live_execution=false
2025.01.01 00:00:00,REGIME_RESEARCH_VARIANT_START,M30,2025.01.01 00:00:00,,mode=BASELINE_NO_REGIME_GATE event_log_mode=RESEARCH_COMPACT position_sizing_mode=FIXED_RISK_MONEY fixed_risk_money=100.00000000 equity_risk_pct=1.00000000 regime_gate_enabled=false gate_scope=NONE plan_snapshot=true wave_count=12 progression_required=2/3 protected_break_max=1 expansion_required_gt=1.0 expansion_required_only_in_v1_mode=true thresholds_are_not_inputs=true baseline_no_gate_available=true pending_cancel_retry_change=false strategy_core_change=false sizing_layer_only=true
2025.01.01 00:00:00,INIT_STATE,,2025.01.01 00:00:00,,INIT_H4_INDEX
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 02:30:00,M30:wave:LOW:1704157200,side=LOW price=140.7990000000 occurred=2024.01.02 01:00:00 confirmed_bar=2024.01.02 02:00:00 wick_bottom=140.7990000000 wick_top=140.8640000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 08:00:00,M30:wave:HIGH:1704169800,side=HIGH price=141.6600000000 occurred=2024.01.02 04:30:00 confirmed_bar=2024.01.02 07:30:00 wick_bottom=141.5520000000 wick_top=141.6600000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.02 13:00:00,M30:wave:LOW:1704189600,side=LOW price=141.2810000000 occurred=2024.01.02 10:00:00 confirmed_bar=2024.01.02 12:30:00 wick_bottom=141.2810000000 wick_top=141.3970000000 trend_at_confirmation=NEUTRAL
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.03 21:30:00,M30:wave:HIGH:1704315600,side=HIGH price=143.7190000000 occurred=2024.01.03 21:00:00 confirmed_bar=2024.01.03 21:00:00 wick_bottom=143.5540000000 wick_top=143.7190000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 03:30:00,M30:wave:LOW:1704333600,side=LOW price=142.8420000000 occurred=2024.01.04 02:00:00 confirmed_bar=2024.01.04 03:00:00 wick_bottom=142.8420000000 wick_top=142.9860000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 09:30:00,M30:wave:HIGH:1704353400,side=HIGH price=143.8840000000 occurred=2024.01.04 07:30:00 confirmed_bar=2024.01.04 09:00:00 wick_bottom=143.7670000000 wick_top=143.8840000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.04 11:30:00,M30:wave:LOW:1704360600,side=LOW price=143.1690000000 occurred=2024.01.04 09:30:00 confirmed_bar=2024.01.04 11:00:00 wick_bottom=143.1690000000 wick_top=143.3640000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 01:00:00,M30:wave:HIGH:1704385800,side=HIGH price=144.8400000000 occurred=2024.01.04 16:30:00 confirmed_bar=2024.01.05 00:30:00 wick_bottom=144.7740000000 wick_top=144.8400000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 06:00:00,M30:wave:LOW:1704393000,side=LOW price=144.4500000000 occurred=2024.01.04 18:30:00 confirmed_bar=2024.01.05 05:30:00 wick_bottom=144.4500000000 wick_top=144.5060000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 15:00:00,M30:wave:HIGH:1704456000,side=HIGH price=145.3670000000 occurred=2024.01.05 12:00:00 confirmed_bar=2024.01.05 14:30:00 wick_bottom=145.3330000000 wick_top=145.3670000000 trend_at_confirmation=BULLISH
2025.01.01 00:00:00,WAVE_CONFIRMED,M30,2024.01.05 19:00:00,M30:wave:LOW:1704474000,side=LOW price=143.7960000000 occurred=2024.01.05 17:00:00 confirmed_bar=2024.01.05 18:30:00 wick_bottom=143.7960000000 wick_top=143.9330000000 trend_at_confirmation=BULLISH
