row,time,deal,symbol,type,io,volume,price,order,commission,swap,profit,balance,comment
2038,2025.01.03 12:00:00,2,GOLD#,sell,in,0.01,2653.52,2,0.0,0.0,0.0,10000.0,V10_0
2039,2025.01.03 16:00:00,3,GOLD#,sell,in,0.01,2649.77,3,0.0,0.0,0.0,10000.0,V10_1
2040,2025.01.07 04:00:00,4,GOLD#,buy,in,0.01,2639.14,4,0.0,0.0,0.0,10000.0,V10_3
2041,2025.01.07 08:00:00,5,GOLD#,buy,in,0.01,2644.55,5,0.0,0.0,0.0,10000.0,V10_4
2042,2025.01.07 15:20:11,6,GOLD#,buy,out,0.01,2659.29,6,0.0,0.0,-9.52,9990.48,sl 2659.29
2043,2025.01.08 04:00:00,7,GOLD#,sell,in,0.01,2648.77,7,0.0,0.0,0.0,9990.48,V10_6
2044,2025.01.08 12:00:00,8,GOLD#,buy,out,0.01,2653.74,8,0.0,0.0,-4.97,9985.51,
2045,2025.01.08 12:00:00,9,GOLD#,buy,out,0.01,2653.74,9,0.0,0.0,-0.22,9985.29,
2046,2025.01.08 12:00:00,10,GOLD#,buy,in,0.03,2653.76,10,0.0,0.0,0.0,9985.29,V10_7
2047,2025.01.08 16:00:00,11,GOLD#,buy,in,0.03,2660.34,11,0.0,0.0,0.0,9985.29,V10_8
2048,2025.01.09 08:00:00,12,GOLD#,sell,out,0.03,2658.32,12,0.0,0.0,-6.06,9979.23,
2049,2025.01.09 08:00:00,13,GOLD#,sell,out,0.03,2658.31,13,0.0,0.0,13.65,9992.88,
2050,2025.01.09 08:00:01,14,GOLD#,sell,out,0.01,2658.31,14,0.0,0.0,13.76,10006.64,
2051,2025.01.09 08:00:01,15,GOLD#,sell,out,0.01,2658.32,15,0.0,0.0,19.18,10025.82,
2052,2025.01.09 08:00:01,16,GOLD#,sell,in,0.03,2658.32,16,0.0,0.0,0.0,10025.82,V10_9
2053,2025.01.09 08:33:18,17,GOLD#,buy,out,0.03,2662.19,17,0.0,0.0,-11.61,10014.21,sl 2662.15
2054,2025.01.13 04:00:00,18,GOLD#,sell,in,0.01,2685.49,18,0.0,0.0,0.0,10014.21,V10_10
2055,2025.01.14 04:00:00,19,GOLD#,buy,out,0.01,2670.9,19,0.0,0.0,14.59,10028.8,
2056,2025.01.14 04:00:00,20,GOLD#,buy,in,0.03,2670.91,20,0.0,0.0,0.0,10028.8,V10_11
2057,2025.01.14 08:00:00,21,GOLD#,buy,in,0.01,2668.9,21,0.0,0.0,0.0,10028.8,V10_12
2058,2025.01.14 12:00:00,22,GOLD#,sell,out,0.01,2667.3,22,0.0,0.0,-1.6,10027.2,
2059,2025.01.14 12:00:00,23,GOLD#,sell,out,0.03,2667.29,23,0.0,0.0,-10.86,10016.34,
2060,2025.01.14 12:00:00,24,GOLD#,sell,in,0.01,2667.29,24,0.0,0.0,0.0,10016.34,V10_13
2061,2025.01.14 16:00:00,25,GOLD#,sell,in,0.01,2662.86,25,0.0,0.0,0.0,10016.34,V10_14
2062,2025.01.14 20:00:00,26,GOLD#,buy,out,0.01,2669.11,26,0.0,0.0,-6.25,10010.09,
2063,2025.01.14 20:00:00,27,GOLD#,buy,out,0.01,2669.12,27,0.0,0.0,-1.83,10008.26,
2064,2025.01.14 20:00:00,28,GOLD#,buy,in,0.03,2669.13,28,0.0,0.0,0.0,10008.26,V10_15
2065,2025.01.15 08:00:00,29,GOLD#,buy,in,0.01,2679.47,29,0.0,0.0,0.0,10008.26,V10_17
2066,2025.01.16 08:00:00,30,GOLD#,sell,out,0.01,2694.74,30,0.0,0.0,15.27,10023.53,
2067,2025.01.16 08:00:00,31,GOLD#,sell,out,0.03,2694.74,31,0.0,0.0,76.83,10100.36,
2068,2025.01.16 08:00:00,32,GOLD#,sell,in,0.03,2694.68,32,0.0,0.0,0.0,10100.36,V10_18
2069,2025.01.16 10:18:57,33,GOLD#,buy,out,0.03,2702.31,33,0.0,0.0,-22.89,10077.47,sl 2702.21
2070,2025.01.17 04:00:00,34,GOLD#,sell,in,0.01,2714.59,34,0.0,0.0,0.0,10077.47,V10_19
2071,2025.01.17 12:00:00,35,GOLD#,sell,in,0.01,2704.68,35,0.0,0.0,0.0,10077.47,V10_20
2072,2025.01.17 18:51:13,36,GOLD#,buy,out,0.01,2717.32,36,0.0,0.0,-12.64,10064.83,sl 2717.29
2073,2025.01.17 20:00:00,37,GOLD#,buy,out,0.01,2712.71,37,0.0,0.0,1.88,10066.71,
2074,2025.01.17 20:00:00,38,GOLD#,buy,in,0.03,2712.7,38,0.0,0.0,0.0,10066.71,V10_21
2075,2025.01.17 22:00:41,39,GOLD#,sell,out,0.03,2702.67,39,0.0,0.0,-30.09,10036.62,sl 2702.69
2076,2025.01.20 04:00:00,40,GOLD#,sell,in,0.01,2693.64,40,0.0,0.0,0.0,10036.62,V10_23
2077,2025.01.20 08:00:00,41,GOLD#,buy,out,0.01,2707.53,41,0.0,0.0,-13.89,10022.73,
2078,2025.01.20 08:00:00,42,GOLD#,buy,in,0.03,2707.41,42,0.0,0.0,0.0,10022.73,V10_24
2079,2025.01.20 12:00:00,43,GOLD#,buy,in,0.01,2706.43,43,0.0,0.0,0.0,10022.73,V10_25
2080,2025.01.20 15:36:12,44,GOLD#,sell,out,0.01,2702.71,44,0.0,0.0,-3.72,10019.01,sl 2702.77
2081,2025.01.20 16:00:00,45,GOLD#,buy,in,0.01,2705.43,45,0.0,0.0,0.0,10019.01,V10_26
2082,2025.01.22 20:00:00,46,GOLD#,sell,out,0.01,2756.47,46,0.0,0.0,51.04,10070.05,
2083,2025.01.22 20:00:00,47,GOLD#,sell,out,0.03,2756.47,47,0.0,0.0,147.18,10217.23,
2084,2025.01.22 20:00:00,48,GOLD#,sell,in,0.03,2756.47,48,0.0,0.0,0.0,10217.23,V10_27
2085,2025.01.23 04:00:00,49,GOLD#,sell,in,0.01,2752.6,49,0.0,0.0,0.0,10217.23,V10_28
2086,2025.01.23 20:00:00,50,GOLD#,buy,out,0.01,2757.82,50,0.0,0.0,-5.22,10212.01,
2087,2025.01.23 20:00:00,51,GOLD#,buy,out,0.03,2757.76,51,0.0,0.0,-3.87,10208.14,
2088,2025.01.23 20:00:00,52,GOLD#,buy,in,0.03,2757.75,52,0.0,0.0,0.0,10208.14,V10_29
2089,2025.01.24 04:00:00,53,GOLD#,buy,in,0.01,2762.51,53,0.0,0.0,0.0,10208.14,V10_31
2090,2025.01.24 20:00:00,54,GOLD#,sell,out,0.01,2773.34,54,0.0,0.0,10.83,10218.97,
2091,2025.01.24 20:00:00,55,GOLD#,sell,out,0.03,2773.34,55,0.0,0.0,46.77,10265.74,
2092,2025.01.24 20:00:01,56,GOLD#,sell,in,0.03,2773.09,56,0.0,0.0,0.0,10265.74,V10_32
2093,2025.01.27 16:00:00,57,GOLD#,buy,out,0.03,2757.23,57,0.0,0.0,47.58,10313.32,
2094,2025.01.27 16:00:00,58,GOLD#,buy,in,0.01,2757.24,58,0.0,0.0,0.0,10313.32,V10_34
2095,2025.01.27 16:31:04,59,GOLD#,sell,out,0.01,2746.56,59,0.0,0.0,-10.68,10302.64,sl 2747.27
2096,2025.01.27 20:00:00,60,GOLD#,sell,in,0.03,2733.6,60,0.0,0.0,0.0,10302.64,V10_35
