event_row_index,time,reject_seq_at_time,detail,direction,volume,units,price,structural_sl
482,2025.01.07 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
483,2025.01.07 01:00:05,2,market closed,SHORT,0.01,1,0.0,0.0
488,2025.01.08 01:00:05,1,market closed,LONG,0.01,1,0.0,0.0
489,2025.01.08 01:00:05,2,market closed,LONG,0.01,1,0.0,0.0
545,2025.01.23 01:00:06,1,market closed,SHORT,0.03,3,0.0,0.0
605,2025.02.06 01:00:06,1,market closed,LONG,0.03,3,0.0,0.0
606,2025.02.06 01:00:06,2,market closed,LONG,0.03,3,0.0,0.0
614,2025.02.07 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
679,2025.02.21 01:00:05,1,market closed,SHORT,0.03,3,0.0,0.0
698,2025.02.25 01:00:05,1,market closed,SHORT,0.03,3,0.0,0.0
714,2025.03.03 01:00:05,1,market closed,SHORT,0.03,3,0.0,0.0
721,2025.03.05 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
804,2025.03.24 00:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
805,2025.03.24 00:00:05,2,market closed,SHORT,0.01,1,0.0,0.0
819,2025.03.26 00:00:05,1,market closed,LONG,0.01,1,0.0,0.0
820,2025.03.26 00:00:05,2,market closed,LONG,0.03,3,0.0,0.0
821,2025.03.26 00:00:05,3,market closed,LONG,0.03,3,0.0,0.0
833,2025.03.27 00:00:05,1,market closed,SHORT,0.03,3,0.0,0.0
844,2025.04.01 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
855,2025.04.04 01:00:06,1,market closed,SHORT,0.01,1,0.0,0.0
886,2025.04.15 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
897,2025.04.16 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
906,2025.04.21 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
926,2025.04.28 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
947,2025.05.01 01:00:05,1,market closed,LONG,0.03,3,0.0,0.0
951,2025.05.02 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
987,2025.05.12 01:00:13,1,market closed,LONG,0.01,1,0.0,0.0
988,2025.05.12 01:00:14,1,market closed,LONG,0.01,1,0.0,0.0
999,2025.05.14 01:00:05,1,market closed,SHORT,0.03,3,0.0,0.0
1015,2025.05.19 01:00:05,1,market closed,SHORT,0.03,3,0.0,0.0
1058,2025.05.28 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
1059,2025.05.28 01:00:05,2,market closed,SHORT,0.01,1,0.0,0.0
1144,2025.06.12 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
1158,2025.06.18 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
1195,2025.06.25 01:00:05,1,market closed,SHORT,0.01,1,0.0,0.0
