time,reject_events,reject_units,directions,affected_positions,affected_units,signal_ids,max_unintended_hold_hours,sum_unintended_hold_hours
2025.01.07 01:00:05,2,2,SHORT,2,2,0|1,34.99861111111111,49.33361111111111
2025.01.08 01:00:05,2,2,LONG,2,2,3|4,30.99888888888889,61.99777777777778
2025.01.23 01:00:06,1,3,SHORT,1,3,27,18.998333333333335,18.998333333333335
2025.02.06 01:00:06,2,6,LONG,2,6,52|53,10.998333333333333,21.996666666666666
2025.02.07 01:00:05,1,1,SHORT,1,1,55,15.447222222222223,15.447222222222223
2025.02.21 01:00:05,1,3,SHORT,1,3,83,14.998611111111112,14.998611111111112
2025.02.25 01:00:05,1,3,SHORT,1,3,92,26.99861111111111,26.99861111111111
2025.03.03 01:00:05,1,3,SHORT,1,3,98,34.492777777777775,34.492777777777775
2025.03.05 01:00:05,1,1,SHORT,1,1,101,6.998611111111111,6.998611111111111
2025.03.24 00:00:05,2,2,SHORT,2,2,135|136,27.99861111111111,55.99722222222222
2025.03.26 00:00:05,3,7,LONG,3,7,140|141|142,11.998888888888889,35.99611111111111
2025.03.27 00:00:05,1,3,SHORT,1,3,146,6.160555555555556,6.160555555555556
2025.04.01 01:00:05,1,1,SHORT,1,1,151,2.8319444444444444,2.8319444444444444
2025.04.04 01:00:06,1,1,SHORT,1,1,156,78.99833333333333,78.99833333333333
2025.04.15 01:00:05,1,1,SHORT,1,1,169,24.656388888888888,24.656388888888888
2025.04.16 01:00:05,1,1,SHORT,0,0,,0,0
2025.04.21 01:00:05,1,1,SHORT,1,1,178,2.2041666666666666,2.2041666666666666
2025.04.28 01:00:05,1,1,SHORT,1,1,186,18.99861111111111,18.99861111111111
2025.05.01 01:00:05,1,3,LONG,1,3,194,2.3325,2.3325
2025.05.02 01:00:05,1,1,SHORT,1,1,196,74.99861111111112,74.99861111111112
2025.05.12 01:00:13,1,1,LONG,2,2,211|212,0.31027777777777776,0.6205555555555555
2025.05.12 01:00:14,1,1,LONG,2,2,211|212,0.31027777777777776,0.6205555555555555
2025.05.14 01:00:05,1,3,SHORT,1,3,217,38.99861111111111,38.99861111111111
2025.05.19 01:00:05,1,3,SHORT,1,3,223,34.99861111111111,34.99861111111111
2025.05.28 01:00:05,2,2,SHORT,2,2,241|242,10.998611111111112,21.997222222222224
2025.06.12 01:00:05,1,1,SHORT,1,1,279,0.17166666666666666,0.17166666666666666
2025.06.18 01:00:05,1,1,SHORT,1,1,285,18.99861111111111,18.99861111111111
2025.06.25 01:00:05,1,1,SHORT,1,1,301,18.99861111111111,18.99861111111111
2025.06.27 01:00:05,1,1,SHORT,1,1,308,78.99861111111112,78.99861111111112
2025.06.30 01:00:05,3,3,SHORT,2,2,310|311,6.998611111111111,13.997222222222222
2025.07.02 01:00:05,1,1,LONG,1,1,316,26.99861111111111,26.99861111111111
2025.07.11 01:00:05,1,1,SHORT,1,1,334,2.515277777777778,2.515277777777778
2025.07.21 01:00:37,2,2,LONG,2,2,354|355,30.99,61.98
2025.07.25 01:00:05,3,5,SHORT,3,5,363|364|365,78.99888888888889,236.99638888888887
2025.08.14 01:00:05,2,6,LONG,2,6,407|408,10.005,19.961666666666666
2025.08.22 01:00:05,1,3,LONG,1,3,428,14.199166666666667,14.199166666666667
2025.09.24 01:00:05,1,1,LONG,1,1,489,14.998611111111112,14.998611111111112
2025.09.26 01:00:00,1,1,SHORT,1,1,496,11.0,11.0
2025.11.04 01:00:01,3,5,LONG,3,5,545|546|547,15.488611111111112,31.199166666666667
2025.11.10 01:00:00,2,4,LONG,2,4,555|556,43.0,86.0
2025.11.17 01:00:00,1,1,SHORT,1,1,566,35.0,35.0
2025.11.24 01:00:00,1,3,LONG,1,3,578,35.000277777777775,35.000277777777775
2025.12.04 01:00:02,2,4,LONG,2,4,603|604,4.039166666666667,8.078333333333333
2025.12.17 01:00:00,2,4,LONG,2,4,633|634,11.000277777777777,22.000555555555554
2025.12.19 01:00:01,2,6,LONG,2,6,640|641,115.00027777777778,230.00055555555556
2026.01.08 01:00:00,1,1,SHORT,2,4,664|665,19.00027777777778,38.00027777777778
2026.01.08 01:00:01,1,3,SHORT,2,4,664|665,19.00027777777778,38.00027777777778
2026.01.19 01:00:01,1,1,SHORT,1,1,686,0.03305555555555555,0.03305555555555555
2026.02.18 01:01:22,1,3,SHORT,1,3,735,30.977777777777778,30.977777777777778
2026.02.20 01:00:00,1,1,SHORT,1,1,741,7.389722222222222,7.389722222222222
2026.02.25 01:00:01,1,3,SHORT,1,3,747,18.99972222222222,18.99972222222222
2026.02.27 01:00:01,2,2,SHORT,2,2,755|756,14.127777777777778,28.255555555555556
2026.03.11 00:00:00,1,1,LONG,2,4,783|784,12.0,24.0
2026.03.11 00:00:01,1,3,LONG,2,4,783|784,12.0,24.0
2026.03.20 00:00:00,1,1,SHORT,1,1,801,88.0,88.0
2026.03.31 01:00:01,3,9,LONG,3,9,823|824|825,55.000277777777775,165.00083333333333
