time,deal,io,type,volume,price,profit,comment,long_lots_after,short_lots_after,gross_lots_after,long_units_after,short_units_after,gross_units_after,state_duration_to_next_deal_hours,opposite_overlap_state
2025.01.03 12:00:00,2,in,sell,0.01,2653.52,0.0,V10_0,0.0,0.01,0.01,0.0,1.0,1.0,4.0,0
2025.01.03 16:00:00,3,in,sell,0.01,2649.77,0.0,V10_1,0.0,0.02,0.02,0.0,2.0,2.0,84.0,0
2025.01.07 04:00:00,4,in,buy,0.01,2639.14,0.0,V10_3,0.01,0.02,0.03,1.0,2.0,3.0,4.0,1
2025.01.07 08:00:00,5,in,buy,0.01,2644.55,0.0,V10_4,0.02,0.02,0.04,2.0,2.0,4.0,7.336388888888889,1
2025.01.07 15:20:11,6,out,buy,0.01,2659.29,-9.52,sl 2659.29,0.02,0.01,0.03,2.0,1.0,3.0,12.663611111111111,1
2025.01.08 04:00:00,7,in,sell,0.01,2648.77,0.0,V10_6,0.02,0.02,0.04,2.0,2.0,4.0,8.0,1
2025.01.08 12:00:00,8,out,buy,0.01,2653.74,-4.97,,0.02,0.01,0.03,2.0,1.0,3.0,0.0,0
2025.01.08 12:00:00,9,out,buy,0.01,2653.74,-0.22,,0.02,0.0,0.02,2.0,0.0,2.0,0.0,0
2025.01.08 12:00:00,10,in,buy,0.03,2653.76,0.0,V10_7,0.05,0.0,0.05,5.0,0.0,5.0,4.0,0
2025.01.08 16:00:00,11,in,buy,0.03,2660.34,0.0,V10_8,0.08,0.0,0.08,8.0,0.0,8.0,16.0,0
2025.01.09 08:00:00,12,out,sell,0.03,2658.32,-6.06,,0.05,0.0,0.05,5.0,0.0,5.0,0.0,0
2025.01.09 08:00:00,13,out,sell,0.03,2658.31,13.65,,0.020000000000000004,0.0,0.020000000000000004,2.0,0.0,2.0,0.0002777777777777778,0
2025.01.09 08:00:01,14,out,sell,0.01,2658.31,13.76,,0.010000000000000004,0.0,0.010000000000000004,1.0,0.0,1.0,0.0,0
2025.01.09 08:00:01,15,out,sell,0.01,2658.32,19.18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025.01.09 08:00:01,16,in,sell,0.03,2658.32,0.0,V10_9,0.0,0.03,0.03,0.0,3.0,3.0,0.5547222222222222,0
2025.01.09 08:33:18,17,out,buy,0.03,2662.19,-11.61,sl 2662.15,0.0,0.0,0.0,0.0,0.0,0.0,91.445,0
2025.01.13 04:00:00,18,in,sell,0.01,2685.49,0.0,V10_10,0.0,0.01,0.01,0.0,1.0,1.0,24.0,0
2025.01.14 04:00:00,19,out,buy,0.01,2670.9,14.59,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025.01.14 04:00:00,20,in,buy,0.03,2670.91,0.0,V10_11,0.03,0.0,0.03,3.0,0.0,3.0,4.0,0
2025.01.14 08:00:00,21,in,buy,0.01,2668.9,0.0,V10_12,0.04,0.0,0.04,4.0,0.0,4.0,4.0,0
2025.01.14 12:00:00,22,out,sell,0.01,2667.3,-1.6,,0.03,0.0,0.03,3.0,0.0,3.0,0.0,0
2025.01.14 12:00:00,23,out,sell,0.03,2667.29,-10.86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025.01.14 12:00:00,24,in,sell,0.01,2667.29,0.0,V10_13,0.0,0.01,0.01,0.0,1.0,1.0,4.0,0
2025.01.14 16:00:00,25,in,sell,0.01,2662.86,0.0,V10_14,0.0,0.02,0.02,0.0,2.0,2.0,4.0,0
2025.01.14 20:00:00,26,out,buy,0.01,2669.11,-6.25,,0.0,0.01,0.01,0.0,1.0,1.0,0.0,0
2025.01.14 20:00:00,27,out,buy,0.01,2669.12,-1.83,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025.01.14 20:00:00,28,in,buy,0.03,2669.13,0.0,V10_15,0.03,0.0,0.03,3.0,0.0,3.0,12.0,0
2025.01.15 08:00:00,29,in,buy,0.01,2679.47,0.0,V10_17,0.04,0.0,0.04,4.0,0.0,4.0,24.0,0
2025.01.16 08:00:00,30,out,sell,0.01,2694.74,15.27,,0.03,0.0,0.03,3.0,0.0,3.0,0.0,0
2025.01.16 08:00:00,31,out,sell,0.03,2694.74,76.83,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025.01.16 08:00:00,32,in,sell,0.03,2694.68,0.0,V10_18,0.0,0.03,0.03,0.0,3.0,3.0,2.3158333333333334,0
2025.01.16 10:18:57,33,out,buy,0.03,2702.31,-22.89,sl 2702.21,0.0,0.0,0.0,0.0,0.0,0.0,17.684166666666666,0
2025.01.17 04:00:00,34,in,sell,0.01,2714.59,0.0,V10_19,0.0,0.01,0.01,0.0,1.0,1.0,8.0,0
