row,time,order,symbol,type,volume,price,sl,tp,done_time,state,comment
67,2025.01.03 12:00:00,2,GOLD#,sell,0.01,0.0,2665.2,,2025.01.03 12:00:00,filled,V10_0
68,2025.01.03 16:00:00,3,GOLD#,sell,0.01,0.0,2659.29,,2025.01.03 16:00:00,filled,V10_1
69,2025.01.07 04:00:00,4,GOLD#,buy,0.01,0.0,2632.88,,2025.01.07 04:00:00,filled,V10_3
70,2025.01.07 08:00:00,5,GOLD#,buy,0.01,0.0,2632.9,,2025.01.07 08:00:00,filled,V10_4
71,2025.01.07 15:20:11,6,GOLD#,buy,0.01,0.0,,,2025.01.07 15:20:11,filled,sl 2659.29
72,2025.01.08 04:00:00,7,GOLD#,sell,0.01,0.0,2656.02,,2025.01.08 04:00:00,filled,V10_6
73,2025.01.08 12:00:00,8,GOLD#,buy,0.01,0.0,,,2025.01.08 12:00:00,filled,
74,2025.01.08 12:00:00,9,GOLD#,buy,0.01,0.0,,,2025.01.08 12:00:00,filled,
75,2025.01.08 12:00:00,10,GOLD#,buy,0.03,0.0,2645.23,,2025.01.08 12:00:00,filled,V10_7
76,2025.01.08 16:00:00,11,GOLD#,buy,0.03,0.0,2645.23,,2025.01.08 16:00:00,filled,V10_8
77,2025.01.09 08:00:00,12,GOLD#,sell,0.03,0.0,,,2025.01.09 08:00:00,filled,
78,2025.01.09 08:00:00,13,GOLD#,sell,0.03,0.0,,,2025.01.09 08:00:00,filled,
79,2025.01.09 08:00:01,14,GOLD#,sell,0.01,0.0,,,2025.01.09 08:00:01,filled,
80,2025.01.09 08:00:01,15,GOLD#,sell,0.01,0.0,,,2025.01.09 08:00:01,filled,
81,2025.01.09 08:00:01,16,GOLD#,sell,0.03,0.0,2662.15,,2025.01.09 08:00:01,filled,V10_9
82,2025.01.09 08:33:18,17,GOLD#,buy,0.03,0.0,,,2025.01.09 08:33:18,filled,sl 2662.15
83,2025.01.13 04:00:00,18,GOLD#,sell,0.01,0.0,2693.2,,2025.01.13 04:00:00,filled,V10_10
84,2025.01.14 04:00:00,19,GOLD#,buy,0.01,0.0,,,2025.01.14 04:00:00,filled,
85,2025.01.14 04:00:00,20,GOLD#,buy,0.03,0.0,2656.75,,2025.01.14 04:00:00,filled,V10_11
86,2025.01.14 08:00:00,21,GOLD#,buy,0.01,0.0,2656.75,,2025.01.14 08:00:00,filled,V10_12
87,2025.01.14 12:00:00,22,GOLD#,sell,0.01,0.0,,,2025.01.14 12:00:00,filled,
88,2025.01.14 12:00:00,23,GOLD#,sell,0.03,0.0,,,2025.01.14 12:00:00,filled,
89,2025.01.14 12:00:00,24,GOLD#,sell,0.01,0.0,2675.22,,2025.01.14 12:00:00,filled,V10_13
90,2025.01.14 16:00:00,25,GOLD#,sell,0.01,0.0,2675.22,,2025.01.14 16:00:00,filled,V10_14
91,2025.01.14 20:00:00,26,GOLD#,buy,0.01,0.0,,,2025.01.14 20:00:00,filled,
92,2025.01.14 20:00:00,27,GOLD#,buy,0.01,0.0,,,2025.01.14 20:00:00,filled,
93,2025.01.14 20:00:00,28,GOLD#,buy,0.03,0.0,2659.81,,2025.01.14 20:00:00,filled,V10_15
94,2025.01.15 08:00:00,29,GOLD#,buy,0.01,0.0,2669.32,,2025.01.15 08:00:00,filled,V10_17
95,2025.01.16 08:00:00,30,GOLD#,sell,0.01,0.0,,,2025.01.16 08:00:00,filled,
96,2025.01.16 08:00:00,31,GOLD#,sell,0.03,0.0,,,2025.01.16 08:00:00,filled,
97,2025.01.16 08:00:00,32,GOLD#,sell,0.03,0.0,2702.21,,2025.01.16 08:00:00,filled,V10_18
98,2025.01.16 10:18:57,33,GOLD#,buy,0.03,0.0,,,2025.01.16 10:18:57,filled,sl 2702.21
99,2025.01.17 04:00:00,34,GOLD#,sell,0.01,0.0,2724.65,,2025.01.17 04:00:00,filled,V10_19
100,2025.01.17 12:00:00,35,GOLD#,sell,0.01,0.0,2717.29,,2025.01.17 12:00:00,filled,V10_20
101,2025.01.17 18:51:13,36,GOLD#,buy,0.01,0.0,,,2025.01.17 18:51:13,filled,sl 2717.29
102,2025.01.17 20:00:00,37,GOLD#,buy,0.01,0.0,,,2025.01.17 20:00:00,filled,
103,2025.01.17 20:00:00,38,GOLD#,buy,0.03,0.0,2702.69,,2025.01.17 20:00:00,filled,V10_21
104,2025.01.17 22:00:41,39,GOLD#,sell,0.03,0.0,,,2025.01.17 22:00:41,filled,sl 2702.69
105,2025.01.20 04:00:00,40,GOLD#,sell,0.01,0.0,2717.34,,2025.01.20 04:00:00,filled,V10_23
106,2025.01.20 08:00:00,41,GOLD#,buy,0.01,0.0,,,2025.01.20 08:00:00,filled,
107,2025.01.20 08:00:00,42,GOLD#,buy,0.03,0.0,2689.31,,2025.01.20 08:00:00,filled,V10_24
108,2025.01.20 12:00:00,43,GOLD#,buy,0.01,0.0,2702.77,,2025.01.20 12:00:00,filled,V10_25
109,2025.01.20 15:36:12,44,GOLD#,sell,0.01,0.0,,,2025.01.20 15:36:12,filled,sl 2702.77
110,2025.01.20 16:00:00,45,GOLD#,buy,0.01,0.0,2689.31,,2025.01.20 16:00:00,filled,V10_26
111,2025.01.22 20:00:00,46,GOLD#,sell,0.01,0.0,,,2025.01.22 20:00:00,filled,
112,2025.01.22 20:00:00,47,GOLD#,sell,0.03,0.0,,,2025.01.22 20:00:00,filled,
113,2025.01.22 20:00:00,48,GOLD#,sell,0.03,0.0,2761.68,,2025.01.22 20:00:00,filled,V10_27
114,2025.01.23 04:00:00,49,GOLD#,sell,0.01,0.0,2761.68,,2025.01.23 04:00:00,filled,V10_28
115,2025.01.23 20:00:00,50,GOLD#,buy,0.01,0.0,,,2025.01.23 20:00:00,filled,
116,2025.01.23 20:00:00,51,GOLD#,buy,0.03,0.0,,,2025.01.23 20:00:00,filled,
117,2025.01.23 20:00:00,52,GOLD#,buy,0.03,0.0,2735.79,,2025.01.23 20:00:00,filled,V10_29
118,2025.01.24 04:00:00,53,GOLD#,buy,0.01,0.0,2751.27,,2025.01.24 04:00:00,filled,V10_31
119,2025.01.24 20:00:00,54,GOLD#,sell,0.01,0.0,,,2025.01.24 20:00:00,filled,
120,2025.01.24 20:00:00,55,GOLD#,sell,0.03,0.0,,,2025.01.24 20:00:00,filled,
121,2025.01.24 20:00:01,56,GOLD#,sell,0.03,0.0,2785.92,,2025.01.24 20:00:01,filled,V10_32
122,2025.01.27 16:00:00,57,GOLD#,buy,0.03,0.0,,,2025.01.27 16:00:00,filled,
123,2025.01.27 16:00:00,58,GOLD#,buy,0.01,0.0,2747.27,,2025.01.27 16:00:00,filled,V10_34
124,2025.01.27 16:31:04,59,GOLD#,sell,0.01,0.0,,,2025.01.27 16:31:04,filled,sl 2747.27
125,2025.01.27 20:00:00,60,GOLD#,sell,0.03,0.0,2771.94,,2025.01.27 20:00:00,filled,V10_35
126,2025.01.28 04:00:00,61,GOLD#,buy,0.03,0.0,,,2025.01.28 04:00:00,filled,
127,2025.01.28 04:00:00,62,GOLD#,buy,0.03,0.0,2730.39,,2025.01.28 04:00:00,filled,V10_36
128,2025.01.28 08:00:00,63,GOLD#,buy,0.03,0.0,2737.84,,2025.01.28 08:00:00,filled,V10_37
129,2025.01.28 10:14:20,64,GOLD#,sell,0.03,0.0,,,2025.01.28 10:14:20,filled,sl 2737.84
130,2025.01.28 12:00:00,65,GOLD#,buy,0.03,0.0,2730.39,,2025.01.28 12:00:00,filled,V10_38
131,2025.01.28 16:00:00,66,GOLD#,buy,0.01,0.0,2734.83,,2025.01.28 16:00:00,filled,V10_39
132,2025.01.28 20:00:00,67,GOLD#,buy,0.01,0.0,2734.83,,2025.01.28 20:00:00,filled,V10_40
133,2025.01.29 08:00:00,68,GOLD#,sell,0.01,0.0,,,2025.01.29 08:00:00,filled,
134,2025.01.29 08:00:00,69,GOLD#,sell,0.01,0.0,,,2025.01.29 08:00:00,filled,
135,2025.01.29 08:00:00,70,GOLD#,sell,0.03,0.0,,,2025.01.29 08:00:00,filled,
136,2025.01.29 08:00:01,71,GOLD#,sell,0.03,0.0,,,2025.01.29 08:00:01,filled,
137,2025.01.29 08:00:01,72,GOLD#,sell,0.03,0.0,2766.25,,2025.01.29 08:00:01,filled,V10_41
138,2025.01.29 10:35:33,73,GOLD#,buy,0.03,0.0,,,2025.01.29 10:35:33,filled,sl 2766.25
139,2025.01.29 12:00:00,74,GOLD#,sell,0.01,0.0,2766.25,,2025.01.29 12:00:00,filled,V10_42
140,2025.01.30 04:00:00,75,GOLD#,buy,0.01,0.0,,,2025.01.30 04:00:00,filled,
