stop,weight,mode,cap,total_R,PF_R,DD_R,risk_alloc_sum,entries,rejected,partial_n,max_committed
h1stop,equal,partial,1,79.44610223274577,1.3000511205369072,14.261811893441877,679.0,679,480,0,1.0
h1stop,equal,partial,2,131.17601867294786,1.3432775544267754,19.319348820166198,1024.0,1024,135,0,2.0
h1stop,equal,partial,3,152.3934064338834,1.361499402065834,22.99889096541243,1140.0,1140,19,0,3.0
h1stop,equal,partial,4,160.6316925629023,1.377143377442061,23.998890965412357,1158.0,1158,1,0,4.0
h1stop,equal,partial,5,160.0197297581775,1.3751675187459074,23.998890965412357,1159.0,1159,0,0,5.0
h1stop,equal,skip,1,79.44610223274577,1.3000511205369072,14.261811893441877,679.0,679,480,0,1.0
h1stop,equal,skip,2,131.17601867294786,1.3432775544267754,19.319348820166198,1024.0,1024,135,0,2.0
h1stop,equal,skip,3,152.3934064338834,1.361499402065834,22.99889096541243,1140.0,1140,19,0,3.0
h1stop,equal,skip,4,160.6316925629023,1.377143377442061,23.998890965412357,1158.0,1158,1,0,4.0
h1stop,equal,skip,5,160.0197297581775,1.3751675187459074,23.998890965412357,1159.0,1159,0,0,5.0
h1stop,sqrtW,partial,2,147.12759174731318,1.339684465831286,20.87958132857478,1133.0755703277628,1024,135,293,2.0
h1stop,sqrtW,partial,3,197.03652427715662,1.3799834457188922,27.451610909354173,1393.5101245041478,1077,82,164,3.0
h1stop,sqrtW,partial,4,226.59068453346316,1.4054964251181903,30.20145155962699,1519.4613391789285,1142,17,72,4.0
h1stop,sqrtW,partial,5,241.14347220571804,1.4223994144625625,30.789374035365952,1566.810013475265,1153,6,25,5.0
h1stop,sqrtW,partial,6,246.85166910549972,1.4303656520320238,30.789374035365952,1579.2164014310024,1159,0,6,6.0
h1stop,sqrtW,partial,8,246.9233773510077,1.4301057501011119,30.789374035365952,1581.393315967242,1159,0,0,6.928203230275509
h1stop,sqrtW,skip,2,134.6400446386828,1.3320791284229674,21.359117512934567,1051.638253715168,731,428,0,2.0
h1stop,sqrtW,skip,3,159.01442738344497,1.32526372606972,26.22011943273486,1289.5664569454436,966,193,0,3.0
h1stop,sqrtW,skip,4,218.16331724486102,1.3983958409373556,29.52257716036594,1478.2881982007266,1072,87,0,3.732050807568877
h1stop,sqrtW,skip,5,226.8398244546766,1.3998787092511253,30.789374035365952,1543.4125538537087,1132,27,0,4.732050807568877
h1stop,sqrtW,skip,6,246.37952128503662,1.4304939423027523,30.789374035365952,1574.6612651596731,1153,6,0,5.464101615137754
h1stop,sqrtW,skip,8,246.9233773510077,1.4301057501011119,30.789374035365952,1581.393315967242,1159,0,0,6.928203230275509
