target_HA,scheme,entries,lot_units,PnL,PF,DD,weighted_hours,PnL_per_1000h,sum_R_weighted,max_units
STD_w1_a50,ALL1,2489,2489.0,4377.33000000002,1.1413691394120178,3016.710000000001,52975.09416666667,82.62996166138676,249.133971716943,1.0
STD_w1_a50,PROB_NORM,2489,2489.0,10005.796455754662,1.316069481479713,2635.025552373253,60615.836151753894,165.06901646468748,371.0235352551698,3.952488696693358
STD_w1_a50,PROB_ROUND,1398,2406.0,8836.220000000016,1.284397259220232,2591.869999999999,58657.52083333333,150.64087050502576,346.8685251065864,4.0
STD_w1_a50,TRUE_EARLY_THIRD,629,629.0,21560.360000000008,8.325880721974544,137.61000000000013,25524.136666666665,844.704770295202,770.8124781744764,1.0
FAST_w2_a25,ALL1,2489,2489.0,10007.269999999984,1.3683857907859278,2034.2799999999943,43033.33944444444,232.54690733261026,253.72258731715573,1.0
FAST_w2_a25,PROB_NORM,2489,2488.9999999999995,11586.764926372129,1.4131474052767325,1635.2824637886051,46437.05934256567,249.51547514877487,266.337372886037,3.891802479809626
FAST_w2_a25,PROB_ROUND,1430,2367.0,10539.589999999995,1.3915689037613252,1637.1000000000013,44092.819444444445,239.03189074310714,232.21807388609363,4.0
FAST_w2_a25,TRUE_EARLY_THIRD,567,567.0,23344.729999999992,15.156643602602696,148.80999999999995,19288.7425,1210.2774455099907,733.1794732418749,1.0
SLOW_w2_a75,ALL1,2489,2489.0,3218.00000000003,1.0848193634857657,6213.969999999987,76636.39222222223,41.99049442031155,254.51161148526046,1.0
SLOW_w2_a75,PROB_NORM,2489,2489.0,11417.097892469325,1.3009606746630438,5960.986233131229,88441.38748853488,129.0922521308181,458.9198524934797,3.356441196182299
SLOW_w2_a75,PROB_ROUND,1511,2411.0,12167.640000000025,1.3325729410780742,5750.079999999989,85874.38611111112,141.69114390240372,502.49952144086024,3.0
SLOW_w2_a75,TRUE_EARLY_THIRD,675,675.0,23252.56000000001,5.51269431560154,470.60999999999694,39171.80666666667,593.604481862891,916.0894985320016,1.0
CLOSE4_FAST_w4_a25,ALL1,2490,2490.0,8171.45999999997,1.3003020859364651,2123.1499999999924,39488.522777777776,206.9325319152853,193.03730647528897,1.0
CLOSE4_FAST_w4_a25,PROB_NORM,2490,2490.0,8095.68934988376,1.2899942382978706,2252.7069907807727,41107.95855250542,196.93727528559916,211.6018919662872,3.87090169831484
CLOSE4_FAST_w4_a25,PROB_ROUND,1505,2438.0,7460.419999999967,1.2726055272957395,2393.7199999999975,40142.56416666666,185.84811794845197,211.96577014606822,4.0
CLOSE4_FAST_w4_a25,TRUE_EARLY_THIRD,540,540.0,22357.419999999984,15.683808510498512,146.27999999999975,16929.013611111113,1320.6569805889937,697.0641699866699,1.0
SMOOTH_STD_w1_a75,ALL1,2489,2489.0,4938.200000000043,1.1311682157595242,5111.35999999998,78231.54888888888,63.12287140081676,308.00190437423777,1.0
SMOOTH_STD_w1_a75,PROB_NORM,2489,2489.0,11549.496193100487,1.3028294401222227,5700.706282215633,88098.65247410169,131.09730817387572,500.23861671757476,3.157137198169166
SMOOTH_STD_w1_a75,PROB_ROUND,1534,2398.0,11080.480000000047,1.3007677660410462,5936.76999999999,84725.20777777777,130.78138479238171,495.11565581526617,3.0
SMOOTH_STD_w1_a75,TRUE_EARLY_THIRD,675,675.0,23222.700000000015,5.244666909156058,470.6099999999933,39476.8975,588.2605136333224,946.9447114498894,1.0
