strategy,entries,lot_units,PnL,PF,DD,weighted_hours,PnL_per_1000h,sum_R_weighted,max_units,sum_R,max_concurrent_units
FAST_ALL1,2489.0,2489.0,10007.269999999984,1.3683857907859278,2034.2799999999943,43033.33944444444,232.54690733261026,253.72258731715573,1.0,,
FAST_TRUE_EARLY_THIRD_ORACLE,567.0,567.0,23344.729999999992,15.156643602602696,148.80999999999995,19288.7425,1210.2774455099907,733.1794732418749,1.0,,
FAST_FORMULA_PROB_ROUND,1430.0,2367.0,10539.589999999995,1.3915689037613252,1637.1000000000013,44092.819444444445,239.03189074310714,232.21807388609363,4.0,,
FAST_STD_PROB_ROUND,1619.0,2384.0,13046.219999999998,1.4854907836082079,1878.8299999999763,44740.51138888889,291.59747162031704,,4.0,300.7811581414154,
P_EARLY_X_P_WIN_ROUND,1242.0,2387.0,15819.03000000002,1.5986406013717362,2927.6600000000017,50232.42333333333,314.9167201237293,,7.0,482.5749838019583,
P_EARLY_X_P_WIN_X_STD_SUPPORT_ROUND,964.0,2407.0,18316.55000000001,1.67560250418366,3440.989999999998,50953.478055555555,359.4759513772372,,12.0,517.1692193592339,
BOUNDED_M2_Q4_0_0_1_3,1099.0,2165.0,15020.830000000014,1.5921858651231267,3777.670000000029,43795.65944444445,342.97531286300637,,3.0,409.33582174549804,13.0
BOUNDED_M3_Q4_0_0_1_3,1159.0,2313.0,14827.570000000005,1.5533951485827708,2638.0400000000354,44596.36388888889,332.4838329183665,,3.0,388.8765423128168,12.0
BOUNDED_M4_Q4_0_0_1_3,1070.0,2052.0,13576.330000000016,1.5615167698184635,2373.4199999999946,39822.02166666667,340.9251823938459,,3.0,365.9870047302815,10.0
EXPECTED_ORACLE_COUNT_CATCHUP_SAME_EXPOSURE,2121.0,2489.0,14011.517692339163,1.4863942950084859,1761.005261553235,48658.01759082805,287.95907408649356,,4.528781800412846,385.13305887307206,11.235727797336008
CUMULATIVE_LADDER_M5_0_TO_1_TO_3,676.0,1451.0,9020.250000000004,1.515541841176363,1327.2599999999984,28367.24722222222,317.9811537347112,,3.0,251.14215524774855,3.0
ALWAYS_INITIAL_1_M4_TO_2_TO_3,754.0,1790.0,9601.909999999994,1.4497444928968553,1548.1500000000042,33744.09916666667,284.55078775624924,,3.0,241.02738687439864,3.0
