period,policy,outcome_convention,rows,entries,units,pnl,gross_profit,gross_loss,pf,R,pf_R,dd_pnl,dd_R,oracle_recall,oracle_precision,weighted_position_hours,max_single_units,max_committed_units,l6_positive_child_retention,ambiguous_selected
2024,R2_DEFAULT,conservative_stop,1496,597,1171.0,629.6505019888625,6679.100000000005,-6049.449498011142,1.104083933950663,199.1216467930292,1.4233114373436306,940.0100494989792,52.406940160939016,0.6832298136645962,0.3685092127303183,21440.816666666666,3.0,7.0,0.3771570914731251,2
2024,R2_DEFAULT,alternative_nha_first,1496,597,1171.0,635.3205019888621,6679.100000000005,-6043.779498011143,1.1051197354565847,199.6505541704173,1.424913611371032,934.3400494989796,52.406940160939016,0.6832298136645962,0.3685092127303183,21440.816666666666,3.0,7.0,0.3771570914731251,2
2024,META_K1STOP_K1_Q0975,conservative_stop,1496,585,1151.0,686.4405019888616,6663.480000000005,-5977.039498011143,1.114846238211622,214.4635671677364,1.4751176707162277,923.5100494989792,45.406940160939016,0.6708074534161491,0.3692307692307692,21354.266666666663,3.0,7.0,0.3746644878992231,2
2024,META_K1STOP_K1_Q0975,alternative_nha_first,1496,585,1151.0,692.1105019888612,6663.480000000005,-5971.369498011143,1.1159048191908707,214.99247454512457,1.4768481369205473,917.8400494989796,45.406940160939016,0.6708074534161491,0.3692307692307692,21354.266666666663,3.0,7.0,0.3746644878992231,2
2025,R2_DEFAULT,conservative_stop,1486,573,1101.0,5569.066429469202,14263.890000000009,-8694.823570530805,1.6405036725925446,208.6577297398382,1.5272818973276503,745.4105094097317,28.471161641658327,0.7248520710059172,0.4275741710296684,23271.51666666667,3.0,6.0,0.4417452823444295,2
2025,R2_DEFAULT,alternative_nha_first,1486,573,1101.0,5573.376429469203,14263.890000000009,-8690.513570530806,1.641317269024043,208.232005427168,1.5256405931605408,745.4105094097317,28.471161641658327,0.7248520710059172,0.4275741710296684,23271.51666666667,3.0,6.0,0.4417452823444295,2
2025,META_K1STOP_K1_Q0975,conservative_stop,1486,568,1090.0,5644.556429469203,14263.890000000009,-8619.333570530805,1.654871560925283,215.8447293389776,1.555532988711528,745.4105094097317,25.471161641658327,0.7130177514792899,0.4242957746478873,23181.216666666667,3.0,6.0,0.4417452823444295,2
2025,META_K1STOP_K1_Q0975,alternative_nha_first,1486,568,1090.0,5648.866429469203,14263.890000000009,-8615.023570530804,1.6556994746702889,215.4190050263074,1.553830436330833,745.4105094097317,25.471161641658327,0.7130177514792899,0.4242957746478873,23181.216666666667,3.0,6.0,0.4417452823444295,2
2026,R2_DEFAULT,conservative_stop,980,403,795.0,6589.803229239928,21126.46000000001,-14536.656770760084,1.453323163170163,124.38349220576274,1.4013893105805044,1165.380000000001,26.964282413056736,0.726027397260274,0.3945409429280397,14903.983333333334,3.0,5.0,0.4442157271931539,3
2026,R2_DEFAULT,alternative_nha_first,980,403,795.0,6471.973229239928,21126.46000000001,-14654.486770760082,1.4416376588604507,121.28716900791164,1.387525256609964,1165.380000000001,28.003957365255587,0.726027397260274,0.3945409429280397,14903.983333333334,3.0,5.0,0.4442157271931539,3
2026,META_K1STOP_K1_Q0975,conservative_stop,980,399,791.0,6592.293229239927,21100.01000000001,-14507.716770760082,1.4543990852183246,125.54562906391716,1.407690482691928,1165.380000000001,26.964282413056736,0.7168949771689498,0.3934837092731829,14864.966666666667,3.0,5.0,0.4442157271931539,3
2026,META_K1STOP_K1_Q0975,alternative_nha_first,980,399,791.0,6474.463229239927,21100.01000000001,-14625.546770760082,1.4426817903439964,122.44930586606606,1.3936772774785375,1165.380000000001,28.003957365255587,0.7168949771689498,0.3934837092731829,14864.966666666667,3.0,5.0,0.4442157271931539,3
POOLED_2024_2026,R2_DEFAULT,conservative_stop,3962,1573,3067.0,12788.520160697994,42069.45000000002,-29280.92983930203,1.4367525290652734,532.1628687386301,1.4525209304556044,1165.380000000001,52.406940160939016,0.7098976109215017,0.396694214876033,59616.31666666667,3.0,7.0,0.4335000904786318,7
POOLED_2024_2026,R2_DEFAULT,alternative_nha_first,3962,1573,3067.0,12680.670160697991,42069.45000000002,-29388.779839302028,1.4314799807966152,529.1697286054971,1.4488333662391968,1165.380000000001,52.406940160939016,0.7098976109215017,0.396694214876033,59616.31666666667,3.0,7.0,0.4335000904786318,7
POOLED_2024_2026,META_K1STOP_K1_Q0975,conservative_stop,3962,1552,3032.0,12923.29016069799,42027.38000000002,-29104.08983930203,1.4440369113775355,555.8539255706312,1.4842480638879645,1165.380000000001,45.406940160939016,0.6985210466439136,0.3956185567010309,59400.45,3.0,7.0,0.4331320497934071,7
POOLED_2024_2026,META_K1STOP_K1_Q0975,alternative_nha_first,3962,1552,3032.0,12815.44016069799,42027.38000000002,-29211.93983930203,1.438705550921886,552.8607854374981,1.480387864102532,1165.380000000001,45.406940160939016,0.6985210466439136,0.3956185567010309,59400.45,3.0,7.0,0.4331320497934071,7
