quarter,stage,direction,n,delta_R,delta_pnl
2024Q4,k1,LONG,18,9.565541015417844,182.85999999999876
2024Q4,k1,SHORT,12,-4.8639488315693304,-64.16000000000167
2024Q4,k2,LONG,8,11.793382046663119,235.3200000000015
2024Q4,k2,SHORT,6,5.095236635651313,97.76000000000113
2024Q4,k3p,SHORT,10,-10.611565499947766,-242.07063700770777
2025Q1,k1,LONG,17,36.45955218829971,221.96
2025Q1,k1,SHORT,9,-0.3983915797960371,-28.860000000001484
2025Q1,k2,LONG,3,0.9612928695371235,14.0600000000004
2025Q1,k2,SHORT,1,-1.3896037056098933,-27.0
2025Q1,k3p,LONG,18,18.212178371816666,246.92000000000098
2025Q1,k3p,SHORT,9,-3.3147852872752726,-54.63999999999851
2025Q2,k1,LONG,13,-5.844431553991021,-254.23999999999884
2025Q2,k1,SHORT,5,-0.17839731367186668,-11.920000000000979
2025Q2,k2,LONG,8,5.213436950704779,382.2305659539425
2025Q2,k2,SHORT,3,-0.3287864751902527,20.579999999999934
2025Q2,k3p,LONG,19,12.482983150848948,641.9643101176916
2025Q2,k3p,SHORT,4,-4.653889197352695,-142.8800000000001
2025Q3,k1,LONG,17,10.592738491829936,107.34000000000104
2025Q3,k2,LONG,7,17.029793886853344,230.4400000000005
2025Q3,k2,SHORT,2,-2.66056208855319,-61.800000000000196
2025Q3,k3p,LONG,16,13.946715033375673,424.51110068184335
2025Q3,k3p,SHORT,5,-3.653323493900451,-70.0806125987956
2025Q4,k1,LONG,15,4.647276644770865,220.180000000004
2025Q4,k1,SHORT,1,-0.685690766909032,-49.97999999999956
2025Q4,k2,LONG,5,5.33677015942951,289.08000000000175
2025Q4,k2,SHORT,2,0.295990436682646,-3.4600000000000364
2025Q4,k3p,LONG,32,43.645935800626255,1305.1839727844545
2025Q4,k3p,SHORT,1,0.49315857373495675,16.5
2026Q1,k1,LONG,38,31.331427388182995,667.100000000004
2026Q1,k1,SHORT,4,14.090050673719587,1310.6000000000022
2026Q1,k2,LONG,6,19.642487379166433,250.18000000000208
2026Q1,k2,SHORT,4,0.28491229364447473,2.2600000000020373
2026Q1,k3p,LONG,13,-4.147494370778672,-497.48451768073755
2026Q1,k3p,SHORT,1,8.53540148759958,1189.84
2026Q2,k1,LONG,4,1.7756520854851736,116.68000000000029
2026Q2,k1,SHORT,1,-1.05606813342796,-59.52000000000044
2026Q2,k2,LONG,1,-0.2691122523844485,-36.68000000000029
2026Q2,k3p,LONG,1,0.021092830268578198,2.320000000001528
2026Q3,k1,LONG,29,20.084706342449557,564.6399999999985
2026Q3,k1,SHORT,2,1.089221556886228,40.060000000001295
2026Q3,k2,LONG,4,5.799266552675048,278.78000000000065
2026Q3,k2,SHORT,2,0.14984894259815906,49.039999999999964
2026Q3,k3p,LONG,14,1.6217845730541662,153.28000000000247
2026Q3,k3p,SHORT,3,-0.20069316447869778,-7.8200000000006185
