block,spec,idx,decision,score,feedback_mean_R,upgrade,actual_R,feedback_n
2024Q4,MEAN_FB180,3932,2024-10-01 08:00:00,-0.532538,0.3253879549488033,0,2.369189907038612,27
2024Q4,MEAN_FB180,3933,2024-10-01 12:00:00,0.67749584,0.3253879549488033,1,0.9054726368159304,27
2024Q4,MEAN_FB180,3934,2024-10-01 16:00:00,0.2148494201750332,0.3253879549488033,1,0.4232868135474186,27
2024Q4,MEAN_FB180,3938,2024-10-02 08:00:00,-0.11636135,0.39456301837967594,0,-1.0,28
2024Q4,MEAN_FB180,3939,2024-10-02 12:00:00,0.8921304331148182,0.39456301837967594,1,-1.0,28
2024Q4,MEAN_FB180,3943,2024-10-03 04:00:00,0.4565217,0.3709219581820114,1,-0.2632075471698101,28
2024Q4,MEAN_FB180,3944,2024-10-03 08:00:00,0.490205540941776,0.3709219581820114,1,-0.638432364096079,28
2024Q4,MEAN_FB180,3946,2024-10-03 16:00:00,0.0309459560662215,0.3490554235147072,1,-1.0,29
2024Q4,MEAN_FB180,3953,2024-10-04 20:00:00,-0.12957472,0.27368306186549773,0,-0.3234438627108742,31
2024Q4,MEAN_FB180,3956,2024-10-07 12:00:00,-0.4163398,0.28416501826481505,0,-1.0,30
2024Q4,MEAN_FB180,3965,2024-10-09 00:00:00,0.0758676,0.3714166043865888,1,0.0095129375951293,27
2024Q4,MEAN_FB180,3966,2024-10-09 04:00:00,-0.24439855,0.3714166043865888,0,-0.329501915708806,27
2024Q4,MEAN_FB180,3968,2024-10-09 12:00:00,0.46111983,0.35849147342975096,1,-0.3240857503152858,28
2024Q4,MEAN_FB180,3969,2024-10-09 16:00:00,-0.31740522,0.35849147342975096,0,-1.0,28
2024Q4,MEAN_FB180,3970,2024-10-09 20:00:00,0.0516066022280111,0.3349543277833704,1,-0.3791848617176215,29
2024Q4,MEAN_FB180,3973,2024-10-10 08:00:00,-0.49221602,0.3349543277833704,0,-1.0,29
2024Q4,MEAN_FB180,3976,2024-10-10 20:00:00,-0.0415017641786812,0.35636174634483175,0,1.5640295959020922,29
2024Q4,MEAN_FB180,3977,2024-10-11 00:00:00,-0.0160379144386197,0.35636174634483175,0,1.134806033763186,29
2024Q4,MEAN_FB180,3982,2024-10-11 20:00:00,-0.3229189815266371,0.38596493273312776,0,-0.5671334431630918,28
2024Q4,MEAN_FB180,3983,2024-10-14 04:00:00,0.0477541267253964,0.38596493273312776,1,-0.8557625948930488,28
2024Q4,MEAN_FB180,3984,2024-10-14 08:00:00,0.07511286,0.38596493273312776,1,-0.5493257629524596,28
2024Q4,MEAN_FB180,3988,2024-10-15 00:00:00,-0.1727243878172998,0.383960059639385,0,-0.4777618364418815,28
2024Q4,MEAN_FB180,3991,2024-10-15 12:00:00,-0.23506196,0.383960059639385,0,1.836512261580444,28
2024Q4,MEAN_FB180,3992,2024-10-15 16:00:00,-0.22155763,0.383960059639385,0,2.542239685658205,28
2024Q4,MEAN_FB180,3997,2024-10-16 12:00:00,-0.185823082493404,0.4113819302258151,0,-0.2653876099121081,27
2024Q4,MEAN_FB180,4001,2024-10-17 04:00:00,1.1004399,0.4113819302258151,1,8.956862745097368,27
2024Q4,MEAN_FB180,4014,2024-10-21 12:00:00,-0.0055923341323383,0.4113819302258151,0,-1.0,27
2024Q4,MEAN_FB180,4016,2024-10-21 20:00:00,0.0020038491732596,0.42542762430411635,1,-0.687154271665633,26
2024Q4,MEAN_FB180,4019,2024-10-22 08:00:00,0.0065423925,0.7839295823418874,1,0.5396627108057749,26
2024Q4,MEAN_FB180,4021,2024-10-22 16:00:00,0.2105112332276754,0.7294449951564237,1,0.7610413132145541,27
2024Q4,MEAN_FB180,4030,2024-10-24 04:00:00,-0.0359654036779648,0.7655834751803505,0,-0.2941329761539371,28
2024Q4,MEAN_FB180,4031,2024-10-24 08:00:00,-0.32215944,0.7655834751803505,0,0.5836768342951247,28
2024Q4,MEAN_FB180,4035,2024-10-25 00:00:00,0.17149036,0.038130904561916965,1,-0.2524344569288325,26
2024Q4,MEAN_FB180,4037,2024-10-25 08:00:00,-0.044828117,0.02736922450670402,0,-0.5633100697906515,27
2024Q4,MEAN_FB180,4039,2024-10-25 16:00:00,0.9335097,0.02736922450670402,1,0.0542452830188353,27
2024Q4,MEAN_FB180,4040,2024-10-25 20:00:00,-0.15107743,0.02736922450670402,0,-0.3136813681368215,27
2024Q4,MEAN_FB180,4042,2024-10-28 08:00:00,-0.24791573,0.02832908373928014,0,-0.6618392469225463,28
2024Q4,MEAN_FB180,4044,2024-10-28 16:00:00,0.16057274,0.0664153460999942,1,2.9789132197891512,27
2024Q4,MEAN_FB180,4047,2024-10-29 04:00:00,0.0199496279825802,0.0664153460999942,1,1.893575754971752,27
2024Q4,MEAN_FB180,4049,2024-10-29 12:00:00,0.2534969422859973,0.0664153460999942,1,2.804738471845276,27
2024Q4,MEAN_FB180,4051,2024-10-29 20:00:00,0.0111869542751702,0.0664153460999942,1,0.3250526315789389,27
