time,year,kind,h_trigger_time,h_outcome,h_R,l_recovery_count,l_recovery_R,episode_R
2023-01-27 16:01:00,2023,H_episode,2023-01-27 16:00:00,TP5,5.0,0,0.0,5.0
2023-01-31 14:36:00,2023,H_episode,2023-01-31 14:35:00,TP5,5.0,0,0.0,5.0
2023-02-06 03:06:00,2023,H_episode,2023-02-06 03:05:00,SL,-1.0,0,0.0,-1.0
2023-03-13 09:49:00,2023,H_episode,2023-03-13 09:35:00,TP5,5.0,0,0.0,5.0
2023-04-26 21:03:00,2023,H_episode,2023-04-26 21:00:00,SL,-1.0,0,0.0,-1.0
2023-05-26 04:04:00,2023,H_episode,2023-05-26 04:00:00,BE,0.0,0,0.0,0.0
2023-06-08 17:46:00,2023,H_episode,2023-06-08 17:45:00,SL,-1.0,0,0.0,-1.0
2023-06-19 16:00:00,2023,H_episode,2023-06-19 12:50:00,TP5,5.0,0,0.0,5.0
2023-06-27 03:43:00,2023,H_episode,2023-06-27 03:30:00,BE,0.0,0,0.0,0.0
2023-06-27 15:54:00,2023,H_episode,2023-06-27 15:50:00,SL,-1.0,1,1.5,0.5
2023-07-06 12:30:00,2023,L_standalone,,,0.0,1,1.5,1.5
2023-07-11 04:45:00,2023,H_episode,2023-07-11 04:40:00,SL,-1.0,1,1.5,0.5
2023-07-27 12:16:00,2023,H_episode,2023-07-27 11:35:00,TP5,5.0,0,0.0,5.0
2023-08-04 15:35:00,2023,L_standalone,,,0.0,1,0.4837630318399502,0.4837630318399502
2023-08-31 15:41:00,2023,H_episode,2023-08-31 15:40:00,SL,-1.0,0,0.0,-1.0
2023-09-28 13:03:00,2023,H_episode,2023-09-28 12:45:00,SL,-1.0,0,0.0,-1.0
2023-10-04 03:52:00,2023,H_episode,2023-10-04 03:40:00,SL,-1.0,1,1.5,0.5
2023-10-20 03:06:00,2023,H_episode,2023-10-20 03:05:00,SL,-1.0,0,0.0,-1.0
2023-11-28 03:40:00,2023,H_episode,2023-11-28 03:20:00,SL,-1.0,0,0.0,-1.0
2024-01-03 17:09:00,2024,H_episode,2024-01-03 17:05:00,SL,-1.0,0,0.0,-1.0
2024-02-02 08:28:00,2024,H_episode,2024-02-02 08:25:00,SL,-1.0,0,0.0,-1.0
2024-04-02 13:28:00,2024,H_episode,2024-04-02 13:05:00,SL,-1.0,0,0.0,-1.0
2024-04-11 12:35:00,2024,L_standalone,,,0.0,1,0.5,0.5
2024-05-01 21:31:00,2024,H_episode,2024-05-01 21:30:00,SL,-1.0,0,0.0,-1.0
2024-05-29 01:46:00,2024,H_episode,2024-05-29 01:45:00,TP5,5.0,0,0.0,5.0
2024-06-27 09:37:00,2024,H_episode,2024-06-27 09:30:00,TP5,5.0,0,0.0,5.0
2024-07-29 16:51:00,2024,H_episode,2024-07-29 16:50:00,BE,0.0,0,0.0,0.0
2024-10-17 16:14:00,2024,H_episode,2024-10-17 16:10:00,TP5,5.0,0,0.0,5.0
2024-10-31 04:02:00,2024,H_episode,2024-10-31 03:45:00,TP5,5.0,0,0.0,5.0
2024-11-06 03:31:00,2024,H_episode,2024-11-06 03:30:00,SL,-1.0,1,0.45384958382876966,-0.5461504161712303
2024-11-07 05:00:00,2024,L_standalone,,,0.0,1,1.5,1.5
2024-12-09 04:40:00,2024,L_standalone,,,0.0,1,0.5,0.5
2024-12-19 12:09:00,2024,H_episode,2024-12-19 12:05:00,SL,-1.0,0,0.0,-1.0
2024-12-20 15:38:00,2024,H_episode,2024-12-20 15:35:00,TP5,5.0,0,0.0,5.0
2025-02-17 17:56:00,2025,H_episode,2025-02-17 17:55:00,SL,-1.0,0,0.0,-1.0
2025-02-24 04:25:00,2025,L_standalone,,,0.0,1,1.5,1.5
2025-02-24 10:29:00,2025,H_episode,2025-02-24 10:20:00,SL,-1.0,0,0.0,-1.0
2025-03-12 16:49:00,2025,H_episode,2025-03-12 16:45:00,TP5,5.0,0,0.0,5.0
2025-04-21 22:31:00,2025,H_episode,2025-04-21 22:30:00,SL,-1.0,0,0.0,-1.0
2025-07-01 16:37:00,2025,H_episode,2025-07-01 16:10:00,SL,-1.0,0,0.0,-1.0
2025-08-26 14:11:00,2025,H_episode,2025-08-26 14:10:00,TP5,5.0,0,0.0,5.0
2025-08-27 12:52:00,2025,H_episode,2025-08-27 10:50:00,SL,-1.0,1,1.5,0.5
2025-08-27 15:02:00,2025,H_episode,2025-08-27 14:50:00,TP5,5.0,0,0.0,5.0
2025-09-24 04:27:00,2025,H_episode,2025-09-24 04:25:00,SL,-1.0,0,0.0,-1.0
2025-10-30 00:51:00,2025,H_episode,2025-10-30 00:50:00,SL,-1.0,0,0.0,-1.0
2025-11-11 16:08:00,2025,H_episode,2025-11-11 16:05:00,TP5,5.0,0,0.0,5.0
