trigger_time,fill_time,dir,outcome,year,source_semantic
2023-02-03 04:15:00,2023-02-03 04:16:00,-1,BE,2023,MENTOR_WAVE
2023-06-29 18:40:00,2023-06-29 18:41:00,-1,SL,2023,ADAPTIVE_K2
2023-06-29 18:40:00,2023-06-29 18:41:00,-1,SL,2023,MENTOR_WAVE
2023-07-27 13:20:00,2023-07-27 13:23:00,1,SL,2023,ADAPTIVE_K2
2023-08-10 09:10:00,2023-08-10 09:12:00,-1,SL,2023,ADAPTIVE_K2
2023-08-22 04:05:00,2023-08-22 04:06:00,1,BE,2023,MENTOR_WAVE
2024-01-31 15:35:00,2024-01-31 15:36:00,1,BE,2024,MENTOR_WAVE
2024-04-11 15:20:00,2024-04-11 15:25:00,-1,SL,2024,MENTOR_WAVE
2024-11-01 13:10:00,2024-11-01 13:11:00,1,SL,2024,ADAPTIVE_K2
2024-11-01 13:10:00,2024-11-01 13:11:00,1,SL,2024,MENTOR_WAVE
