source_k,year,dir,sweep_time,trigger_time,fill_time,outcome,resolved_at_h,limit_entry,sl_exec,risk,liq_price,both_branch,m30_exp,owner_agree,m1body_terminal,m1body_time,m1body_R,m1body_body,m5body_terminal,m5body_time,m5body_R,m5body_body,plus2half_terminal,plus2half_time,plus2half_R,plus2half_hit2,plus2half_hit3
2.0,2023,-1,2023-01-27 15:32:00,2023-01-27 16:00:00,2023-01-27 16:01:00,TP5,2023-01-31 13:31:00,1929.655,1935.1299999999999,5.474999999999909,1934.88,False,1.1024705687282341,False,TP5,2023-01-31 13:31:00,5.0,False,TP5,2023-01-31 13:31:00,5.0,False,TP5,2023-01-31 13:31:00,3.5,True,True
2.0,2023,1,2023-01-31 14:09:00,2023-01-31 14:35:00,2023-01-31 14:36:00,TP5,2023-01-31 15:48:00,1903.5149999999999,1900.83,2.6849999999999454,1900.95,False,1.401454797367494,False,TP5,2023-01-31 15:48:00,5.0,False,TP5,2023-01-31 15:48:00,5.0,False,TP5,2023-01-31 15:48:00,3.5,True,True
2.0,2023,-1,2023-02-06 02:59:00,2023-02-06 03:05:00,2023-02-06 03:06:00,SL,2023-02-06 03:22:00,1865.335,1870.1399999999999,4.804999999999836,1869.99,False,1.4421608925425728,False,SL,2023-02-06 03:22:00,-1.0,False,SL,2023-02-06 03:22:00,-1.0,False,SL,2023-02-06 03:22:00,-1.0,False,False
2.0,2023,1,2023-03-13 09:04:00,2023-03-13 09:35:00,2023-03-13 09:49:00,TP5,2023-03-13 14:26:00,1875.295,1871.53,3.7650000000001,1872.14,False,3.168301170515665,False,TP5,2023-03-13 14:26:00,5.0,False,TP5,2023-03-13 14:26:00,5.0,False,TP5,2023-03-13 14:26:00,3.5,True,True
2.0,2023,1,2023-04-26 20:34:00,2023-04-26 21:00:00,2023-04-26 21:03:00,SL,2023-04-27 15:44:00,1988.375,1983.3,5.0750000000000455,1983.34,False,1.2398172820708102,False,SL,2023-04-27 15:44:00,-1.0,False,SL,2023-04-27 15:44:00,-1.0,False,SL_AFTER_2,2023-04-27 15:44:00,0.5,True,False
2.0,2023,1,2023-05-26 03:50:00,2023-05-26 04:00:00,2023-05-26 04:04:00,BE,2023-05-26 17:44:00,1940.7749999999999,1936.75,4.024999999999864,1937.05,False,1.0022844089091894,False,BE,2023-05-26 17:44:00,0.0,False,BE,2023-05-26 17:44:00,0.0,False,BE,2023-05-26 17:44:00,1.0,True,True
2.0,2023,-1,2023-06-08 17:32:00,2023-06-08 17:45:00,2023-06-08 17:46:00,SL,2023-06-09 15:31:00,1965.7150000000001,1970.62,4.904999999999745,1970.19,False,2.7418465778594627,False,SL,2023-06-09 15:31:00,-1.0,False,SL,2023-06-09 15:31:00,-1.0,False,SL,2023-06-09 15:31:00,-1.0,False,False
2.0,2023,-1,2023-06-19 11:25:00,2023-06-19 12:50:00,2023-06-19 16:00:00,TP5,2023-06-21 16:39:00,1952.5,1958.83,6.329999999999927,1958.68,False,0.583280876243235,True,TP5,2023-06-21 16:39:00,5.0,False,TP5,2023-06-21 16:39:00,5.0,False,TP5,2023-06-21 16:39:00,3.5,True,True
2.0,2023,1,2023-06-27 02:36:00,2023-06-27 03:30:00,2023-06-27 03:43:00,BE,2023-06-27 13:16:00,1923.255,1921.02,2.2350000000001273,1921.51,False,1.3812909260991513,False,BE,2023-06-27 13:16:00,0.0,False,BE,2023-06-27 13:16:00,0.0,False,BE,2023-06-27 13:16:00,1.0,True,True
2.0,2023,-1,2023-06-27 15:38:00,2023-06-27 15:50:00,2023-06-27 15:54:00,SL,2023-06-27 16:36:00,1925.29,1930.58,5.289999999999964,1930.41,False,0.8913707215169497,True,SL,2023-06-27 16:36:00,-1.0,False,SL,2023-06-27 16:36:00,-1.0,False,SL,2023-06-27 16:36:00,-1.0,False,False
