k,f,year,n,positive_rate,avg_positive,EV,totalR
1.5,0.25,2023,32.0,0.375,2.2278135859866626,0.2104300947449984,6.733763031839949
1.5,0.25,2024,31.0,0.41935483870967744,2.7656807372175978,0.5791564381880249,17.95384958382877
1.5,0.25,2025,18.0,0.4444444444444444,3.28125,0.9027777777777778,16.25
1.5,0.5,2023,33.0,0.42424242424242425,2.552411645131425,0.5070837282375742,16.73376303183995
1.5,0.5,2024,29.0,0.41379310344827586,2.621154131985731,0.4984086063389231,14.45384958382877
1.5,0.5,2025,16.0,0.375,3.5,0.6875,11.0
1.5,0.75,2023,33.0,0.42424242424242425,2.552411645131425,0.5070837282375742,16.73376303183995
1.5,0.75,2024,27.0,0.4074074074074074,2.4503499621662517,0.4056981327343989,10.95384958382877
1.5,0.75,2025,15.0,0.4,2.25,0.3,4.5
1.5,1.0,2023,33.0,0.45454545454545453,2.43225086878933,0.5601140312678773,18.48376303183995
1.5,1.0,2024,27.0,0.4074074074074074,2.4503499621662517,0.4056981327343989,10.95384958382877
1.5,1.0,2025,15.0,0.4,2.25,0.3,4.5
2.0,0.25,2023,23.0,0.43478260869565216,2.148376303183995,0.3688592622539109,8.48376303183995
2.0,0.25,2024,18.0,0.5555555555555556,2.620384958382877,1.0113249768793762,18.20384958382877
2.0,0.25,2025,13.0,0.5384615384615384,3.107142857142857,1.2115384615384615,15.75
2.0,0.5,2023,24.0,0.5,2.5403135859866626,0.7701567929933312,18.48376303183995
2.0,0.5,2024,17.0,0.5882352941176471,2.620384958382877,1.129638210813457,19.20384958382877
2.0,0.5,2025,12.0,0.5,3.5,1.25,15.0
2.0,0.75,2023,24.0,0.5,2.5403135859866626,0.7701567929933312,18.48376303183995
2.0,0.75,2024,16.0,0.5625,2.411538842647641,0.9189905989892981,14.70384958382877
2.0,0.75,2025,11.0,0.5454545454545454,2.25,0.7727272727272727,8.5
2.0,1.0,2023,24.0,0.5416666666666666,2.4025971562953807,0.8430734596599979,20.23376303183995
2.0,1.0,2024,16.0,0.5625,2.411538842647641,0.9189905989892981,14.70384958382877
2.0,1.0,2025,11.0,0.5454545454545454,2.25,0.7727272727272727,8.5
2.5,0.25,2023,20.0,0.45,1.8870847813155498,0.2991881515919975,5.98376303183995
2.5,0.25,2024,12.0,0.5833333333333334,1.8148356548326814,0.6419874653190641,7.703849583828769
2.5,0.25,2025,10.0,0.5,3.3,1.15,11.5
2.5,0.5,2023,21.0,0.5238095238095238,2.3621602756218136,0.7611315729447595,15.983763031839949
2.5,0.5,2024,11.0,0.6363636363636364,1.8148356548326814,0.7912590530753427,8.70384958382877
2.5,0.5,2025,10.0,0.5,3.3,1.15,11.5
2.5,0.75,2023,21.0,0.5238095238095238,2.3621602756218136,0.7611315729447595,15.983763031839949
2.5,0.75,2024,11.0,0.6363636363636364,1.8148356548326814,0.7912590530753427,8.70384958382877
2.5,0.75,2025,9.0,0.5555555555555556,1.8,0.5555555555555556,5.0
2.5,1.0,2023,21.0,0.5238095238095238,2.3621602756218136,0.7611315729447595,15.983763031839949
2.5,1.0,2024,11.0,0.6363636363636364,1.8148356548326814,0.7912590530753427,8.70384958382877
2.5,1.0,2025,9.0,0.5555555555555556,1.8,0.5555555555555556,5.0
