sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,entry,sl_exec,risk,win1,resolved_i,resolved_at,mfe_r,mae_r,win1_costless,year,source_k,m30_exp,m30_owner,h1_owner,owner_agree,delivery_state,broken_m5_level,penetration,acceptance_margin,strong_acceptance,m1_clean_path,m1_direct_transfer,m1_change_count,d1_atr
2022-01-04 09:00:00,1,1803.12,2022-01-04 06:15:00,2022-01-04 08:00:00,9,1,1803.07,2022-01-04 09:25:00,1805.99,-1,376,1806.24,1803.07,3.1700000000000728,0,1977,2022-01-04 11:01:00,0.34700315457409586,1.1798107255520263,0,2022,2.0,,1,1,True,True,1804.88,0.049999999999954525,1.1099999999999,True,False,False,3,
2022-01-14 14:59:00,1,1819.62,2022-01-14 13:15:00,2022-01-14 14:15:00,79,1,1819.54,2022-01-14 15:05:00,1823.01,-1,2652,1823.26,1819.54,3.7200000000000273,1,13278,2022-01-14 15:31:00,1.1263440860215117,0.8629032258064551,1,2022,2.0,1.3340006673340128,-1,1,False,True,1822.2,0.07999999999992724,0.8099999999999454,True,True,True,1,
2022-01-21 22:17:00,1,1828.44,2022-01-21 10:45:00,2022-01-21 11:45:00,113,1,1828.37,2022-01-21 23:00:00,1831.78,-1,4097,1832.1399999999999,1828.37,3.769999999999982,1,20551,2022-01-24 01:27:00,1.002652519893957,0.46684350132619945,1,2022,2.0,1.4342313787638752,-1,-1,False,True,1830.06,0.07000000000016371,1.7200000000000273,True,True,True,1,18.929285714285697
2022-01-24 14:50:00,1,1836.4,2022-01-24 09:15:00,2022-01-24 10:15:00,119,1,1836.36,2022-01-24 15:30:00,1841.36,-1,4283,1841.6,1836.36,5.240000000000009,0,21409,2022-01-24 15:45:00,0.25763358778628515,1.1889312977099251,0,2022,2.0,1.3355013550135646,1,1,True,True,1840.87,0.040000000000190994,0.4900000000000091,True,False,False,2,17.597142857142835
2022-01-28 17:11:00,-1,1792.55,2022-01-28 15:15:00,2022-01-28 16:30:00,158,1,1792.95,2022-01-28 17:25:00,1784.8,1,5410,1784.8,1793.19,8.3900000000001,0,28192,2022-01-31 13:54:00,0.32538736591179807,1.078665077473164,0,2022,2.0,0.7096991771212702,-1,-1,True,True,1785.92,0.40000000000009095,1.1200000000001182,True,True,True,1,18.89857142857139
2022-01-31 16:39:00,-1,1799.31,2022-01-28 05:15:00,2022-01-28 08:30:00,156,1,1799.63,2022-01-31 17:05:00,1794.41,1,5682,1794.41,1799.8700000000001,5.460000000000036,0,28620,2022-01-31 21:02:00,0.20695970695972557,1.0402930402930033,0,2022,2.0,1.040866755369708,1,1,False,True,1795.07,0.3200000000001637,0.6599999999998545,True,True,True,1,19.40071428571423
2022-02-08 12:31:00,-1,1820.9,2022-02-08 08:30:00,2022-02-08 09:15:00,210,1,1820.96,2022-02-08 12:55:00,1818.54,1,7288,1818.54,1821.2,2.660000000000082,0,36562,2022-02-08 15:35:00,0.4210526315788934,1.406015037593945,0,2022,2.0,1.3422867513611645,-1,1,False,True,1818.87,0.05999999999994543,0.32999999999992724,True,True,True,1,20.125714285714253
2022-03-02 17:29:00,-1,1934.84,2022-03-02 16:00:00,2022-03-02 16:45:00,322,1,1935.59,2022-03-02 18:10:00,1920.99,1,11737,1920.99,1935.83,14.839999999999918,0,59697,2022-03-03 13:03:00,0.4043126684636141,1.0013477088948775,0,2022,2.0,1.6291751874574,-1,-1,True,True,1922.89,0.75,1.900000000000091,True,False,False,3,34.586428571428556
2022-03-17 21:55:00,1,1935.5,2022-03-17 14:15:00,2022-03-17 16:00:00,403,1,1935.44,2022-03-17 22:35:00,1941.31,-1,14838,1941.54,1935.44,6.099999999999909,0,74399,2022-03-18 04:19:00,0.6163934426229585,1.0721311475409936,0,2022,2.0,1.8064005626868262,1,1,True,True,1937.95,0.05999999999994543,3.3599999999999,True,True,True,1,45.660714285714334
2022-04-04 07:21:00,1,1915.88,2022-03-30 03:00:00,2022-03-30 04:00:00,459,1,1915.45,2022-04-04 08:10:00,1918.53,-1,17965,1918.77,1915.45,3.3199999999999363,1,89809,2022-04-04 09:23:00,1.0421686746988261,0.5271084337349499,1,2022,2.0,1.125723938223945,-1,-1,False,True,1917.91,0.43000000000006366,0.6199999999998909,True,False,False,3,30.399285714285742
2022-04-12 17:55:00,-1,1978.58,2022-03-14 08:45:00,2022-03-14 10:00:00,378,1,1978.62,2022-04-12 18:50:00,1971.64,1,19749,1971.64,1978.8,7.1599999999998545,1,99103,2022-04-13 03:25:00,1.0768156424581274,0.6145251396647979,1,2022,2.0,1.9152173913043533,1,1,False,True,1971.8,0.03999999999996362,0.15999999999985448,True,False,False,5,26.608571428571427
2022-05-03 13:06:00,-1,1860.87,2022-05-03 10:30:00,2022-05-03 11:30:00,640,1,1860.93,2022-05-03 13:35:00,1856.46,1,23550,1856.46,1861.1100000000001,4.650000000000091,0,117696,2022-05-03 14:33:00,0.2709677419354766,1.021505376344066,0,2022,2.0,2.051955154498219,-1,-1,True,True,1857.61,0.060000000000172804,1.1499999999998636,True,True,True,1,27.435714285714262
2022-05-03 15:04:00,-1,1865.41,2022-05-03 05:45:00,2022-05-03 07:45:00,638,1,1865.6,2022-05-03 15:25:00,1860.05,1,23572,1860.05,1865.78,5.730000000000018,0,117794,2022-05-03 16:11:00,0.5340314136125542,1.020942408376984,0,2022,2.0,1.513645224171541,1,-1,False,True,1861.39,0.1899999999998272,1.3400000000001455,True,True,False,2,27.435714285714262
2022-05-10 16:30:00,-1,1864.5,2022-05-10 14:30:00,2022-05-10 15:30:00,670,1,1864.51,2022-05-10 16:35:00,1860.55,1,24966,1860.55,1864.69,4.1400000000001,1,124723,2022-05-10 16:46:00,1.1763285024154042,0.2922705314009679,1,2022,2.0,0.896011884356072,-1,-1,True,True,1861.24,0.009999999999990905,0.6900000000000546,True,True,True,1,28.874285714285683
2022-05-23 13:11:00,-1,1865.43,2022-05-10 09:00:00,2022-05-10 10:00:00,668,1,1865.44,2022-05-23 13:25:00,1861.58,1,27412,1861.58,1865.6200000000001,4.040000000000191,1,137062,2022-05-23 15:36:00,1.0420792079206955,0.7722772277227651,1,2022,2.0,1.4172800560813101,1,1,False,True,1863.44,0.009999999999990905,1.8600000000001273,True,True,False,0,29.514285714285716
2022-05-30 20:59:00,1,1854.18,2022-05-30 17:00:00,2022-05-30 18:00:00,767,1,1854.04,2022-05-31 01:05:00,1856.02,-1,28890,1856.26,1854.04,2.2200000000000273,0,144366,2022-05-31 02:00:00,0.29279279279283016,1.0405405405405033,0,2022,2.0,0.8602262837249782,1,1,True,True,1855.7,0.14000000000010004,0.31999999999993634,True,True,True,1,24.346428571428582
2022-06-08 13:13:00,-1,1851.31,2022-06-08 10:45:00,2022-06-08 11:45:00,814,1,1851.37,2022-06-08 14:05:00,1847.2,1,30702,1847.2,1851.55,4.349999999999909,0,153392,2022-06-08 14:35:00,0.0,1.0344827586207113,0,2022,2.0,2.1901375059270145,-1,-1,True,True,1847.27,0.05999999999994543,0.06999999999993634,True,False,False,5,21.37928571428571
