start,end,year,module,dir,R,source_id,outcome,trigger_time
2022-01-14 15:07:00,2022-01-14 16:34:00,2022,H,1,-1.0,H:2022-01-14 15:05:00,SL,2022-01-14 15:05:00
2022-01-21 23:01:00,2022-01-24 17:10:00,2022,H,1,0.75,H:2022-01-21 23:00:00,BE,2022-01-21 23:00:00
2022-01-28 17:47:00,2022-01-31 13:54:00,2022,H,-1,-1.0,H:2022-01-28 17:25:00,SL,2022-01-28 17:25:00
2022-01-31 17:06:00,2022-01-31 21:02:00,2022,H,-1,-1.0,H:2022-01-31 17:05:00,SL,2022-01-31 17:05:00
2022-01-31 22:00:00,2022-01-31 22:40:00,2022,L,-1,0.5,L:2022-01-31 22:00:00,BE,2022-01-31 22:00:00
2022-02-08 12:56:00,2022-02-08 15:35:00,2022,H,-1,-1.0,H:2022-02-08 12:55:00,SL,2022-02-08 12:55:00
2022-03-18 03:02:00,2022-03-18 04:19:00,2022,H,1,-1.0,H:2022-03-17 22:35:00,SL,2022-03-17 22:35:00
2022-03-18 07:35:00,2022-03-18 15:24:00,2022,L,1,-1.0,L:2022-03-18 07:35:00,SL,2022-03-18 07:35:00
2022-05-03 13:45:00,2022-05-03 14:33:00,2022,H,-1,-1.0,H:2022-05-03 13:35:00,SL,2022-05-03 13:35:00
2022-05-03 15:25:00,2022-05-03 16:11:00,2022,L,-1,-1.0,L:2022-05-03 15:25:00,SL,2022-05-03 15:25:00
2022-05-10 16:36:00,2022-05-10 18:55:00,2022,H,-1,4.5,H:2022-05-10 16:35:00,TP5,2022-05-10 16:35:00
2022-05-31 01:26:00,2022-05-31 02:00:00,2022,H,1,-1.0,H:2022-05-31 01:05:00,SL,2022-05-31 01:05:00
2022-06-08 16:50:00,2022-06-08 17:19:00,2022,L,-1,-1.0,L:2022-06-08 16:50:00,SL,2022-06-08 16:50:00
2022-07-22 10:36:00,2022-07-22 12:12:00,2022,H,-1,-1.0,H:2022-07-22 10:35:00,SL,2022-07-22 10:35:00
2022-08-16 19:25:00,2022-08-17 07:38:00,2022,H,-1,-1.0,H:2022-08-16 18:20:00,SL,2022-08-16 18:20:00
2022-10-05 17:45:00,2022-10-07 15:46:00,2022,H,1,-1.0,H:2022-10-05 17:40:00,SL,2022-10-05 17:40:00
2022-10-31 17:16:00,2022-11-01 07:57:00,2022,H,-1,-1.0,H:2022-10-31 17:15:00,SL,2022-10-31 17:15:00
2022-11-14 03:05:00,2022-11-14 17:14:00,2022,H,-1,-1.0,H:2022-11-14 01:05:00,SL,2022-11-14 01:05:00
2022-11-24 12:30:00,2022-11-25 02:54:00,2022,H,1,-1.0,H:2022-11-24 10:35:00,SL,2022-11-24 10:35:00
2022-11-25 03:10:00,2022-11-25 04:16:00,2022,L,1,1.5,L:2022-11-25 03:10:00,TP2,2022-11-25 03:10:00
2022-11-25 03:11:00,2022-11-25 09:18:00,2022,H,1,0.75,H:2022-11-25 03:10:00,BE,2022-11-25 03:10:00
2022-12-14 03:46:00,2022-12-14 08:45:00,2022,H,-1,-1.0,H:2022-12-14 03:45:00,SL,2022-12-14 03:45:00
2022-12-21 14:07:00,2022-12-21 21:50:00,2022,H,1,0.75,H:2022-12-21 14:05:00,BE,2022-12-21 14:05:00
2022-12-23 15:36:00,2022-12-23 15:39:00,2022,H,-1,-1.0,H:2022-12-23 15:35:00,SL,2022-12-23 15:35:00
