high_high,market,N,prior_mfe_24h_d1_median,prior_mae_24h_d1_median,prior_endpoint_24h_d1_median,prior_endpoint_24h_positive_rate,prior_endpoint_48h_d1_median,prior_endpoint_48h_positive_rate
False,ALL,242,0.37974976155565354,0.38763426918300303,-0.05246569656801535,0.45454545454545453,-0.05170104104456065,0.4669421487603306
False,BTCUSD,81,0.420965138739157,0.3782775154691741,-0.0578688573296117,0.4567901234567901,0.0153247159414692,0.5061728395061729
False,GOLD,57,0.4480879681900725,0.3682905225863538,-0.0142186111463727,0.49122807017543857,-0.1704095601021108,0.3684210526315789
False,USDJPY,49,0.4508345428156613,0.3702220389893261,-0.0525846702317267,0.42857142857142855,-0.0525846702317267,0.46938775510204084
False,XAUEUR,55,0.2723745378674212,0.4636349231500575,-0.0991395119198756,0.43636363636363634,0.0210372145662729,0.509090909090909
True,ALL,79,0.4998183492299585,0.3943461941636034,-0.0444761141296158,0.45569620253164556,0.0128847877158525,0.5063291139240507
True,BTCUSD,31,0.4998183492299585,0.4152474052507676,-0.110999046711156,0.41935483870967744,0.0306852274160051,0.5161290322580645
True,GOLD,19,0.390273438446075,0.4443340988558457,-0.0939762423560876,0.3684210526315789,0.0128847877158525,0.5263157894736842
True,USDJPY,17,0.7446108387616701,0.3532234347186697,0.3260677140960331,0.5882352941176471,-0.0737671373030553,0.4117647058823529
True,XAUEUR,12,0.4585186216537639,0.43429459151610983,-0.10467377446422861,0.5,0.2018877837849698,0.5833333333333334
