market,year,aligned_N,opposed_N,d_hit1_pp,d_hit3_pp,d_hit5_pp,aligned_hit5,opposed_hit5
BTCUSD,2023,3,16,43.75,62.5,75.0,1.0,0.25
BTCUSD,2024,4,15,-21.666666666666668,-1.6666666666666663,4.999999999999999,0.25,0.2
BTCUSD,2025,8,8,12.5,12.5,25.0,0.375,0.125
GOLD,2022,3,6,-16.666666666666668,16.666666666666664,16.666666666666664,0.3333333333333333,0.16666666666666666
GOLD,2023,6,3,-16.666666666666664,33.33333333333333,33.33333333333333,0.3333333333333333,0.0
GOLD,2024,4,9,44.44444444444444,2.777777777777779,2.777777777777779,0.25,0.2222222222222222
GOLD,2025,3,5,40.0,26.66666666666666,46.666666666666664,0.6666666666666666,0.2
USDJPY,2023,1,2,100.0,100.0,100.0,1.0,0.0
USDJPY,2024,5,7,22.857142857142865,31.428571428571427,5.714285714285716,0.2,0.14285714285714285
USDJPY,2025,1,10,70.0,-10.0,-10.0,0.0,0.1
XAUEUR,2023,2,5,-9.999999999999998,9.999999999999998,30.0,0.5,0.2
XAUEUR,2024,4,5,9.999999999999998,30.0,50.0,0.5,0.0
XAUEUR,2025,9,7,-38.0952380952381,-46.03174603174603,-46.03174603174603,0.1111111111111111,0.5714285714285714
