prior,market,year,state,oppN,fillN,h1,h3,h5,mfe24,mae24
p1,BTCUSD,2023,ALIGNED,29,29,0.3448275862068966,0.20689655172413793,0.1724137931034483,0.17592307976048818,0.36697799814282717
p1,BTCUSD,2023,OPPOSED,61,60,0.5166666666666667,0.2,0.15,0.29567579363793617,0.44942808117538113
p1,BTCUSD,2024,ALIGNED,18,18,0.3333333333333333,0.2777777777777778,0.16666666666666666,0.3466199310374508,0.4297630107471139
p1,BTCUSD,2024,OPPOSED,38,37,0.35135135135135137,0.1891891891891892,0.16216216216216217,0.32787637594874347,0.4748978225922447
p1,BTCUSD,2025,ALIGNED,29,28,0.5714285714285714,0.25,0.10714285714285714,0.40439342157595237,0.2913764925664899
p1,BTCUSD,2025,OPPOSED,38,35,0.37142857142857144,0.22857142857142856,0.11428571428571428,0.37367878287579925,0.3806332947922971
p1,GOLD,2022,ALIGNED,15,15,0.4666666666666667,0.2,0.13333333333333333,0.28626038171718365,0.42059790879191006
p1,GOLD,2022,OPPOSED,36,31,0.5161290322580645,0.2903225806451613,0.22580645161290322,0.4409738439981306,0.3396752993427979
p1,GOLD,2023,ALIGNED,14,13,0.6923076923076923,0.38461538461538464,0.3076923076923077,0.326651982378853,0.3517396509813975
p1,GOLD,2023,OPPOSED,28,26,0.5,0.23076923076923078,0.11538461538461539,0.3800707050340053,0.3964863605059169
p1,GOLD,2024,ALIGNED,9,7,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.6028921023359369,0.18242491657396956
p1,GOLD,2024,OPPOSED,34,32,0.5625,0.3125,0.25,0.3320326136864886,0.43057303394450475
p1,GOLD,2025,ALIGNED,11,9,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.2730724276155315,0.4018387423002569
p1,GOLD,2025,OPPOSED,21,20,0.55,0.4,0.35,0.5397324413619,0.19176499829391752
p1,USDJPY,2023,ALIGNED,14,14,0.5,0.21428571428571427,0.21428571428571427,0.4273580591736114,0.29023973560133554
p1,USDJPY,2023,OPPOSED,25,23,0.43478260869565216,0.17391304347826086,0.17391304347826086,0.2511842190643043,0.5460812772133606
p1,USDJPY,2024,ALIGNED,16,14,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.18634185393900987,0.7596549252273881
p1,USDJPY,2024,OPPOSED,21,19,0.5263157894736842,0.2631578947368421,0.10526315789473684,0.4715187854819344,0.666612496952951
p1,USDJPY,2025,ALIGNED,9,9,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.3258017492711173,0.2784256559766792
p1,USDJPY,2025,OPPOSED,30,29,0.41379310344827586,0.2413793103448276,0.06896551724137931,0.3519048058297189,0.5227159261108448
p1,XAUEUR,2023,ALIGNED,14,14,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.3727803051000813,0.46138558518470757
p1,XAUEUR,2023,OPPOSED,31,30,0.5,0.1,0.06666666666666667,0.35452942083096683,0.4075810528470186
p1,XAUEUR,2024,ALIGNED,11,10,0.4,0.2,0.2,0.374438127702173,0.4278923761893392
p1,XAUEUR,2024,OPPOSED,24,23,0.2608695652173913,0.13043478260869565,0.08695652173913043,0.18066475085397352,0.3882463587605764
p1,XAUEUR,2025,ALIGNED,13,12,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3863579519256929,0.3880813784956595
p1,XAUEUR,2025,OPPOSED,31,29,0.5172413793103449,0.3103448275862069,0.2413793103448276,0.3040848821517527,0.4190673157875595
p2,BTCUSD,2023,ALIGNED,30,30,0.4,0.3,0.23333333333333334,0.3002211321166378,0.32844312825656213
p2,BTCUSD,2023,OPPOSED,60,59,0.4915254237288136,0.15254237288135594,0.11864406779661017,0.24596470583395097,0.4656446287423156
p2,BTCUSD,2024,ALIGNED,21,21,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.3365396979671309,0.4980911850836559
p2,BTCUSD,2024,OPPOSED,35,34,0.29411764705882354,0.20588235294117646,0.17647058823529413,0.37971386220238335,0.4726832297413098
p2,BTCUSD,2025,ALIGNED,28,28,0.5357142857142857,0.2857142857142857,0.14285714285714285,0.42618840262403723,0.28175726700209786
p2,BTCUSD,2025,OPPOSED,39,35,0.4,0.2,0.08571428571428572,0.3092499381137065,0.4231789507291333
p2,GOLD,2022,ALIGNED,18,17,0.47058823529411764,0.29411764705882354,0.17647058823529413,0.2964018845842143,0.3804520371910234
p2,GOLD,2022,OPPOSED,33,29,0.5172413793103449,0.2413793103448276,0.20689655172413793,0.4151433910146978,0.34639134092951207
p2,GOLD,2023,ALIGNED,18,16,0.5625,0.25,0.1875,0.31135082240089257,0.3786168584284222
p2,GOLD,2023,OPPOSED,24,23,0.5652173913043478,0.30434782608695654,0.17391304347826086,0.42131844763424686,0.39420520999468184
p2,GOLD,2024,ALIGNED,12,10,0.5,0.1,0.1,0.33831334953776304,0.4352717479726149
p2,GOLD,2024,OPPOSED,31,29,0.5862068965517241,0.41379310344827586,0.3103448275862069,0.4560115973543435,0.2861880140497821
p2,GOLD,2025,ALIGNED,11,10,0.5,0.3,0.3,0.5829887866416025,0.200680843086311
p2,GOLD,2025,OPPOSED,21,19,0.5263157894736842,0.3157894736842105,0.2631578947368421,0.4449048732343065,0.35177405915843724
p2,USDJPY,2023,ALIGNED,15,15,0.6,0.3333333333333333,0.3333333333333333,0.49686020177064794,0.2770743257154646
p2,USDJPY,2023,OPPOSED,24,22,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.21979671522153177,0.6109105547326399
p2,USDJPY,2024,ALIGNED,15,14,0.5714285714285714,0.2857142857142857,0.07142857142857142,0.22375781699526062,0.7596549252273881
p2,USDJPY,2024,OPPOSED,22,19,0.5263157894736842,0.21052631578947367,0.10526315789473684,0.40597147950091644,0.666612496952951
p2,USDJPY,2025,ALIGNED,7,7,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.3258017492711173,0.2466648950305652
