prior,state,oppN,fillN,fill_rate,hit1_rate,hit3_rate,hit5_rate,mfe24_med,mae24_med
p1,ALIGNED,202,192,0.9504950495049505,0.46875,0.24479166666666666,0.16145833333333334,0.3179659612549547,0.38827450036414135
p1,OPPOSED,418,394,0.9425837320574163,0.46446700507614214,0.23096446700507614,0.1598984771573604,0.3612966982311362,0.4144876445882859
p2,ALIGNED,220,210,0.9545454545454546,0.49047619047619045,0.26666666666666666,0.18571428571428572,0.32622686582498517,0.3656557052014294
p2,OPPOSED,400,376,0.94,0.4521276595744681,0.21808510638297873,0.14627659574468085,0.350921453200773,0.4185113211240219
s1,ALIGNED,223,211,0.9461883408071748,0.4976303317535545,0.2559241706161137,0.1848341232227488,0.326651982378853,0.40549406587544684
s1,OPPOSED,397,375,0.9445843828715366,0.448,0.224,0.14666666666666667,0.34756840649780046,0.4042675893886961
s2,ALIGNED,166,155,0.9337349397590361,0.4645161290322581,0.25806451612903225,0.1870967741935484,0.3797756183725848,0.41200230813618344
s2,OPPOSED,454,431,0.9493392070484582,0.46635730858468677,0.2273781902552204,0.15081206496519722,0.33169533169533216,0.4042675893886961
s3,ALIGNED,119,113,0.9495798319327731,0.4778761061946903,0.24778761061946902,0.18584070796460178,0.3409071606923489,0.42032592116882145
s3,NEUTRAL,151,140,0.9271523178807947,0.4928571428571429,0.2714285714285714,0.18571428571428572,0.32119252796488096,0.37699542088190763
s3,OPPOSED,350,333,0.9514285714285714,0.45045045045045046,0.21621621621621623,0.14114114114114115,0.34538733526197113,0.40805081576734953
