prior,agreement,subset,oppN,fillN,acceptedN,WR,avg_pos,EV,totalR,hit1,hit3,hit5
DP1_DMI_H1,ALIGNED,ALL,479,454,444,0.21846846846846846,2.9922680412371134,-0.12781531531531531,-56.75,0.43832599118942733,0.21365638766519823,0.1277533039647577
DP1_DMI_H1,ALIGNED,DIRECT,202,192,190,0.24736842105263157,3.0638297872340425,0.005263157894736842,1.0,0.46875,0.24479166666666666,0.15104166666666666
DP1_DMI_H1,ALIGNED,NON_DIRECT,277,262,257,0.19455252918287938,2.925,-0.23638132295719844,-60.75,0.41603053435114506,0.19083969465648856,0.11068702290076336
DP1_DMI_H1,OPPOSED,ALL,912,856,719,0.22531293463143254,2.8333333333333335,-0.13509749303621169,-97.0,0.47079439252336447,0.23014018691588786,0.13200934579439252
DP1_DMI_H1,OPPOSED,DIRECT,418,394,379,0.22955145118733508,2.9482758620689653,-0.09366754617414248,-35.5,0.46446700507614214,0.23096446700507614,0.13705583756345177
DP1_DMI_H1,OPPOSED,NON_DIRECT,494,462,409,0.2396088019559902,2.816326530612245,-0.08333333333333333,-34.0,0.47619047619047616,0.22943722943722944,0.1277056277056277
DP2_DMI_H1H4,ALIGNED,ALL,355,337,336,0.21726190476190477,3.113013698630137,-0.10639880952380952,-35.75,0.4629080118694362,0.2166172106824926,0.13649851632047477
DP2_DMI_H1H4,ALIGNED,DIRECT,146,139,139,0.2158273381294964,3.125,-0.10971223021582734,-15.25,0.4748201438848921,0.2158273381294964,0.1366906474820144
DP2_DMI_H1H4,ALIGNED,NON_DIRECT,209,198,197,0.2182741116751269,3.104651162790698,-0.10406091370558376,-20.5,0.45454545454545453,0.21717171717171718,0.13636363636363635
DP2_DMI_H1H4,OPPOSED,ALL,623,582,503,0.21272365805168986,2.9228971962616823,-0.16384462151394422,-82.25,0.46048109965635736,0.22336769759450173,0.13402061855670103
DP2_DMI_H1H4,OPPOSED,DIRECT,307,288,282,0.22340425531914893,3.011904761904762,-0.10372340425531915,-29.25,0.4513888888888889,0.2222222222222222,0.13194444444444445
DP2_DMI_H1H4,OPPOSED,NON_DIRECT,316,294,260,0.23076923076923078,3.0625,-0.05888030888030888,-15.25,0.46938775510204084,0.22448979591836735,0.1360544217687075
DP3_MACD_H1H4,ALIGNED,ALL,392,369,364,0.23626373626373626,3.1482558139534884,-0.019917582417582416,-7.25,0.46883468834688347,0.23848238482384823,0.15176151761517614
DP3_MACD_H1H4,ALIGNED,DIRECT,155,146,146,0.2671232876712329,3.1538461538461537,0.1095890410958904,16.0,0.5068493150684932,0.2671232876712329,0.17123287671232876
DP3_MACD_H1H4,ALIGNED,NON_DIRECT,237,223,222,0.22072072072072071,3.122448979591837,-0.09009009009009009,-20.0,0.4439461883408072,0.21973094170403587,0.13901345291479822
DP3_MACD_H1H4,OPPOSED,ALL,571,534,475,0.20421052631578948,2.8762886597938144,-0.20675105485232068,-98.0,0.4400749063670412,0.22284644194756553,0.12921348314606743
DP3_MACD_H1H4,OPPOSED,DIRECT,277,259,257,0.21011673151750973,2.9722222222222223,-0.16536964980544747,-42.5,0.42857142857142855,0.21235521235521235,0.12355212355212356
DP3_MACD_H1H4,OPPOSED,NON_DIRECT,294,275,247,0.22672064777327935,3.0267857142857144,-0.08333333333333333,-20.5,0.4509090909090909,0.23272727272727273,0.13454545454545455
C1_DISP_H1_24,ALIGNED,ALL,500,472,460,0.23478260869565218,3.1458333333333335,-0.026630434782608695,-12.25,0.4724576271186441,0.23516949152542374,0.1483050847457627
C1_DISP_H1_24,ALIGNED,DIRECT,220,210,209,0.2679425837320574,3.2276785714285716,0.13277511961722488,27.75,0.49047619047619045,0.26666666666666666,0.1761904761904762
C1_DISP_H1_24,ALIGNED,NON_DIRECT,280,262,259,0.21235521235521235,3.0,-0.15057915057915058,-39.0,0.4580152671755725,0.2099236641221374,0.12595419847328243
C1_DISP_H1_24,OPPOSED,ALL,891,838,708,0.21610169491525424,2.7598039215686274,-0.18635077793493635,-131.75,0.4522673031026253,0.21837708830548927,0.12052505966587113
C1_DISP_H1_24,OPPOSED,DIRECT,400,376,366,0.2185792349726776,2.859375,-0.1564207650273224,-57.25,0.4521276595744681,0.21808510638297873,0.12234042553191489
C1_DISP_H1_24,OPPOSED,NON_DIRECT,491,462,406,0.229064039408867,2.806451612903226,-0.1259259259259259,-51.0,0.4523809523809524,0.21861471861471862,0.11904761904761904
S1_STRUCT_H1M30,ALIGNED,ALL,286,270,269,0.22676579925650558,3.331967213114754,-0.017657992565055763,-4.75,0.45555555555555555,0.22592592592592592,0.15555555555555556
S1_STRUCT_H1M30,ALIGNED,DIRECT,119,113,113,0.24778761061946902,3.294642857142857,0.06415929203539823,7.25,0.4778761061946903,0.24778761061946902,0.168141592920354
S1_STRUCT_H1M30,ALIGNED,NON_DIRECT,167,157,157,0.21019108280254778,3.3636363636363638,-0.08280254777070063,-13.0,0.4394904458598726,0.21019108280254778,0.1464968152866242
S1_STRUCT_H1M30,OPPOSED,ALL,765,723,627,0.22009569377990432,2.733695652173913,-0.17691693290734825,-110.75,0.47579529737206083,0.22821576763485477,0.12309820193637622
S1_STRUCT_H1M30,OPPOSED,DIRECT,350,333,323,0.21671826625386997,2.8392857142857144,-0.16795665634674922,-54.25,0.45045045045045046,0.21621621621621623,0.11711711711711711
S1_STRUCT_H1M30,OPPOSED,NON_DIRECT,415,390,356,0.23876404494382023,2.7794117647058822,-0.09507042253521127,-33.75,0.49743589743589745,0.23846153846153847,0.1282051282051282
