prior,market,year,oppN,fillN,hit1,hit3,hit5,non_direct_fillN
DP1_DMI_H1,BTCUSD,2023,83,81,0.3950617283950617,0.18518518518518517,0.1111111111111111,52
DP1_DMI_H1,BTCUSD,2024,42,41,0.2682926829268293,0.1951219512195122,0.0975609756097561,23
DP1_DMI_H1,BTCUSD,2025,60,55,0.5636363636363636,0.2,0.07272727272727272,27
DP1_DMI_H1,GOLD,2022,35,35,0.4,0.2,0.11428571428571428,20
DP1_DMI_H1,GOLD,2023,28,26,0.6153846153846154,0.34615384615384615,0.19230769230769232,13
DP1_DMI_H1,GOLD,2024,23,21,0.7142857142857143,0.38095238095238093,0.23809523809523808,14
DP1_DMI_H1,GOLD,2025,27,24,0.4166666666666667,0.125,0.041666666666666664,15
DP1_DMI_H1,USDJPY,2023,31,29,0.3793103448275862,0.20689655172413793,0.1724137931034483,15
DP1_DMI_H1,USDJPY,2024,41,38,0.5263157894736842,0.18421052631578946,0.10526315789473684,24
DP1_DMI_H1,USDJPY,2025,20,20,0.45,0.2,0.1,11
DP1_DMI_H1,XAUEUR,2023,32,30,0.3333333333333333,0.26666666666666666,0.2,16
DP1_DMI_H1,XAUEUR,2024,26,24,0.2916666666666667,0.125,0.125,14
DP1_DMI_H1,XAUEUR,2025,31,30,0.43333333333333335,0.26666666666666666,0.2,18
DP2_DMI_H1H4,BTCUSD,2023,61,61,0.3770491803278688,0.18032786885245902,0.09836065573770492,42
DP2_DMI_H1H4,BTCUSD,2024,29,28,0.2857142857142857,0.21428571428571427,0.10714285714285714,15
DP2_DMI_H1H4,BTCUSD,2025,48,43,0.6511627906976745,0.18604651162790697,0.06976744186046512,21
DP2_DMI_H1H4,GOLD,2022,29,29,0.4482758620689655,0.2413793103448276,0.13793103448275862,15
DP2_DMI_H1H4,GOLD,2023,21,19,0.631578947368421,0.3157894736842105,0.2631578947368421,10
DP2_DMI_H1H4,GOLD,2024,16,15,0.7333333333333333,0.3333333333333333,0.26666666666666666,12
DP2_DMI_H1H4,GOLD,2025,21,19,0.47368421052631576,0.15789473684210525,0.05263157894736842,12
DP2_DMI_H1H4,USDJPY,2023,21,20,0.4,0.2,0.15,10
DP2_DMI_H1H4,USDJPY,2024,31,30,0.5333333333333333,0.2,0.1,19
DP2_DMI_H1H4,USDJPY,2025,15,15,0.4,0.26666666666666666,0.13333333333333333,9
DP2_DMI_H1H4,XAUEUR,2023,21,19,0.3157894736842105,0.2631578947368421,0.2631578947368421,10
DP2_DMI_H1H4,XAUEUR,2024,19,17,0.29411764705882354,0.11764705882352941,0.11764705882352941,11
DP2_DMI_H1H4,XAUEUR,2025,23,22,0.5,0.2727272727272727,0.22727272727272727,12
DP3_MACD_H1H4,BTCUSD,2023,65,63,0.3968253968253968,0.15873015873015872,0.09523809523809523,43
DP3_MACD_H1H4,BTCUSD,2024,28,28,0.32142857142857145,0.17857142857142858,0.10714285714285714,16
DP3_MACD_H1H4,BTCUSD,2025,47,43,0.5116279069767442,0.16279069767441862,0.06976744186046512,26
DP3_MACD_H1H4,GOLD,2022,29,28,0.5,0.35714285714285715,0.17857142857142858,13
DP3_MACD_H1H4,GOLD,2023,21,18,0.5555555555555556,0.2222222222222222,0.16666666666666666,10
DP3_MACD_H1H4,GOLD,2024,24,22,0.5909090909090909,0.22727272727272727,0.18181818181818182,17
DP3_MACD_H1H4,GOLD,2025,21,19,0.42105263157894735,0.2631578947368421,0.15789473684210525,11
DP3_MACD_H1H4,USDJPY,2023,22,20,0.4,0.25,0.2,11
DP3_MACD_H1H4,USDJPY,2024,32,31,0.6129032258064516,0.3870967741935484,0.22580645161290322,18
DP3_MACD_H1H4,USDJPY,2025,23,21,0.42857142857142855,0.23809523809523808,0.09523809523809523,13
DP3_MACD_H1H4,XAUEUR,2023,21,19,0.47368421052631576,0.2631578947368421,0.2631578947368421,11
DP3_MACD_H1H4,XAUEUR,2024,21,20,0.4,0.15,0.15,11
DP3_MACD_H1H4,XAUEUR,2025,38,37,0.5135135135135135,0.32432432432432434,0.21621621621621623,23
C1_DISP_H1_24,BTCUSD,2023,78,75,0.41333333333333333,0.2,0.13333333333333333,45
C1_DISP_H1_24,BTCUSD,2024,42,42,0.35714285714285715,0.19047619047619047,0.09523809523809523,21
C1_DISP_H1_24,BTCUSD,2025,62,58,0.5344827586206896,0.22413793103448276,0.10344827586206896,30
C1_DISP_H1_24,GOLD,2022,38,37,0.4594594594594595,0.24324324324324326,0.10810810810810811,20
C1_DISP_H1_24,GOLD,2023,32,29,0.5862068965517241,0.3103448275862069,0.20689655172413793,13
C1_DISP_H1_24,GOLD,2024,28,26,0.6153846153846154,0.19230769230769232,0.15384615384615385,16
C1_DISP_H1_24,GOLD,2025,27,23,0.43478260869565216,0.21739130434782608,0.13043478260869565,13
C1_DISP_H1_24,USDJPY,2023,29,26,0.4230769230769231,0.2692307692307692,0.23076923076923078,11
C1_DISP_H1_24,USDJPY,2024,40,39,0.5641025641025641,0.28205128205128205,0.1794871794871795,25
C1_DISP_H1_24,USDJPY,2025,19,19,0.5263157894736842,0.2631578947368421,0.15789473684210525,12
C1_DISP_H1_24,XAUEUR,2023,29,27,0.4074074074074074,0.25925925925925924,0.2222222222222222,15
C1_DISP_H1_24,XAUEUR,2024,35,33,0.45454545454545453,0.18181818181818182,0.12121212121212122,20
C1_DISP_H1_24,XAUEUR,2025,41,38,0.4473684210526316,0.2894736842105263,0.18421052631578946,21
S1_STRUCT_H1M30,BTCUSD,2023,47,45,0.4666666666666667,0.13333333333333333,0.1111111111111111,26
S1_STRUCT_H1M30,BTCUSD,2024,22,22,0.3181818181818182,0.18181818181818182,0.13636363636363635,15
S1_STRUCT_H1M30,BTCUSD,2025,24,22,0.4090909090909091,0.22727272727272727,0.13636363636363635,14
S1_STRUCT_H1M30,GOLD,2022,26,25,0.44,0.24,0.16,11
S1_STRUCT_H1M30,GOLD,2023,17,15,0.6,0.2,0.13333333333333333,8
S1_STRUCT_H1M30,GOLD,2024,14,13,0.7692307692307693,0.46153846153846156,0.3076923076923077,9
S1_STRUCT_H1M30,GOLD,2025,16,13,0.38461538461538464,0.23076923076923078,0.15384615384615385,10
S1_STRUCT_H1M30,USDJPY,2023,19,17,0.47058823529411764,0.23529411764705882,0.17647058823529413,9
S1_STRUCT_H1M30,USDJPY,2024,25,23,0.6086956521739131,0.2608695652173913,0.17391304347826086,11
S1_STRUCT_H1M30,USDJPY,2025,23,23,0.5217391304347826,0.30434782608695654,0.21739130434782608,14
S1_STRUCT_H1M30,XAUEUR,2023,17,17,0.47058823529411764,0.35294117647058826,0.23529411764705882,8
S1_STRUCT_H1M30,XAUEUR,2024,19,18,0.2222222222222222,0.1111111111111111,0.05555555555555555,11
S1_STRUCT_H1M30,XAUEUR,2025,17,17,0.29411764705882354,0.17647058823529413,0.11764705882352941,11
