prior,subset,availability,oppN,fillN,hit1,hit3,hit5
DP1_DMI_H1,ALL,1391,479,454,0.43832599118942733,0.21365638766519823,0.1277533039647577
DP1_DMI_H1,DIRECT,1391,479,192,0.46875,0.24479166666666666,0.15104166666666666
DP1_DMI_H1,RECOVERED_NON_DIRECT,1391,479,262,0.41603053435114506,0.19083969465648856,0.11068702290076336
DP2_DMI_H1H4,ALL,978,355,337,0.4629080118694362,0.2166172106824926,0.13649851632047477
DP2_DMI_H1H4,DIRECT,978,355,139,0.4748201438848921,0.2158273381294964,0.1366906474820144
DP2_DMI_H1H4,RECOVERED_NON_DIRECT,978,355,198,0.45454545454545453,0.21717171717171718,0.13636363636363635
DP3_MACD_H1H4,ALL,963,392,369,0.46883468834688347,0.23848238482384823,0.15176151761517614
DP3_MACD_H1H4,DIRECT,963,392,146,0.5068493150684932,0.2671232876712329,0.17123287671232876
DP3_MACD_H1H4,RECOVERED_NON_DIRECT,963,392,223,0.4439461883408072,0.21973094170403587,0.13901345291479822
C1_DISP_H1_24,ALL,1391,500,472,0.4724576271186441,0.23516949152542374,0.1483050847457627
C1_DISP_H1_24,DIRECT,1391,500,210,0.49047619047619045,0.26666666666666666,0.1761904761904762
C1_DISP_H1_24,RECOVERED_NON_DIRECT,1391,500,262,0.4580152671755725,0.2099236641221374,0.12595419847328243
S1_STRUCT_H1M30,ALL,1051,286,270,0.45555555555555555,0.22592592592592592,0.15555555555555556
S1_STRUCT_H1M30,DIRECT,1051,286,113,0.4778761061946903,0.24778761061946902,0.168141592920354
S1_STRUCT_H1M30,RECOVERED_NON_DIRECT,1051,286,157,0.4394904458598726,0.21019108280254778,0.1464968152866242
