prior,market,year,oppN,fillN,hit1,hit3,hit5
AR25_H1H4,BTCUSD,2023,18,18,0.3333333333333333,0.1111111111111111,0.0
AR25_H1H4,BTCUSD,2024,14,14,0.35714285714285715,0.2857142857142857,0.14285714285714285
AR25_H1H4,BTCUSD,2025,19,19,0.5263157894736842,0.15789473684210525,0.0
AR25_H1H4,GOLD,2022,14,12,0.5833333333333334,0.5,0.25
AR25_H1H4,GOLD,2023,12,10,0.6,0.2,0.2
AR25_H1H4,GOLD,2024,7,5,0.4,0.2,0.2
AR25_H1H4,GOLD,2025,7,7,0.5714285714285714,0.42857142857142855,0.2857142857142857
AR25_H1H4,USDJPY,2023,9,9,0.6666666666666666,0.3333333333333333,0.3333333333333333
AR25_H1H4,USDJPY,2024,8,7,0.5714285714285714,0.14285714285714285,0.0
AR25_H1H4,USDJPY,2025,6,5,0.4,0.4,0.0
AR25_H1H4,XAUEUR,2023,11,11,0.36363636363636365,0.18181818181818182,0.18181818181818182
AR25_H1H4,XAUEUR,2024,8,7,0.7142857142857143,0.14285714285714285,0.14285714285714285
AR25_H1H4,XAUEUR,2025,12,11,0.5454545454545454,0.2727272727272727,0.18181818181818182
VI14_H1H4,BTCUSD,2023,16,16,0.4375,0.25,0.1875
VI14_H1H4,BTCUSD,2024,6,6,0.3333333333333333,0.16666666666666666,0.16666666666666666
VI14_H1H4,BTCUSD,2025,12,12,0.5833333333333334,0.3333333333333333,0.0
VI14_H1H4,GOLD,2022,12,12,0.5,0.25,0.16666666666666666
VI14_H1H4,GOLD,2023,6,6,0.6666666666666666,0.16666666666666666,0.16666666666666666
VI14_H1H4,GOLD,2024,8,5,0.2,0.2,0.2
VI14_H1H4,GOLD,2025,5,5,0.4,0.4,0.4
VI14_H1H4,USDJPY,2023,6,6,0.8333333333333334,0.3333333333333333,0.3333333333333333
VI14_H1H4,USDJPY,2024,12,11,0.6363636363636364,0.18181818181818182,0.0
VI14_H1H4,USDJPY,2025,5,5,0.4,0.4,0.2
VI14_H1H4,XAUEUR,2023,7,7,0.5714285714285714,0.42857142857142855,0.2857142857142857
VI14_H1H4,XAUEUR,2024,6,5,0.2,0.0,0.0
VI14_H1H4,XAUEUR,2025,8,8,0.5,0.375,0.25
RSI14_H1H4,BTCUSD,2023,13,13,0.38461538461538464,0.23076923076923078,0.07692307692307693
RSI14_H1H4,BTCUSD,2024,9,9,0.4444444444444444,0.3333333333333333,0.2222222222222222
RSI14_H1H4,BTCUSD,2025,19,18,0.6111111111111112,0.3333333333333333,0.16666666666666666
RSI14_H1H4,GOLD,2022,14,14,0.5714285714285714,0.2857142857142857,0.14285714285714285
RSI14_H1H4,GOLD,2023,8,8,0.5,0.125,0.125
RSI14_H1H4,GOLD,2024,4,2,0.5,0.5,0.5
RSI14_H1H4,GOLD,2025,4,4,0.5,0.5,0.5
RSI14_H1H4,USDJPY,2023,10,10,0.6,0.3,0.3
RSI14_H1H4,USDJPY,2024,12,11,0.6363636363636364,0.36363636363636365,0.09090909090909091
RSI14_H1H4,USDJPY,2025,7,7,0.42857142857142855,0.2857142857142857,0.14285714285714285
RSI14_H1H4,XAUEUR,2023,7,7,0.42857142857142855,0.2857142857142857,0.2857142857142857
RSI14_H1H4,XAUEUR,2024,6,5,0.6,0.2,0.0
RSI14_H1H4,XAUEUR,2025,9,9,0.3333333333333333,0.2222222222222222,0.1111111111111111
DP3_MACD_H1H4,BTCUSD,2023,20,20,0.4,0.2,0.1
DP3_MACD_H1H4,BTCUSD,2024,12,12,0.3333333333333333,0.25,0.16666666666666666
DP3_MACD_H1H4,BTCUSD,2025,17,17,0.5882352941176471,0.23529411764705882,0.11764705882352941
DP3_MACD_H1H4,GOLD,2022,16,15,0.6,0.4,0.26666666666666666
DP3_MACD_H1H4,GOLD,2023,10,8,0.5,0.125,0.125
DP3_MACD_H1H4,GOLD,2024,7,5,0.2,0.2,0.2
DP3_MACD_H1H4,GOLD,2025,8,8,0.625,0.5,0.375
DP3_MACD_H1H4,USDJPY,2023,9,9,0.6666666666666666,0.3333333333333333,0.3333333333333333
DP3_MACD_H1H4,USDJPY,2024,14,13,0.6923076923076923,0.38461538461538464,0.07692307692307693
DP3_MACD_H1H4,USDJPY,2025,9,8,0.375,0.25,0.125
DP3_MACD_H1H4,XAUEUR,2023,8,8,0.625,0.25,0.25
DP3_MACD_H1H4,XAUEUR,2024,10,9,0.4444444444444444,0.1111111111111111,0.1111111111111111
DP3_MACD_H1H4,XAUEUR,2025,15,14,0.42857142857142855,0.21428571428571427,0.14285714285714285
C1_DISP_H1_24,BTCUSD,2023,30,30,0.4,0.3,0.2
C1_DISP_H1_24,BTCUSD,2024,21,21,0.42857142857142855,0.23809523809523808,0.14285714285714285
C1_DISP_H1_24,BTCUSD,2025,28,28,0.5357142857142857,0.2857142857142857,0.14285714285714285
C1_DISP_H1_24,GOLD,2022,18,17,0.47058823529411764,0.29411764705882354,0.17647058823529413
C1_DISP_H1_24,GOLD,2023,18,16,0.5625,0.25,0.1875
C1_DISP_H1_24,GOLD,2024,12,10,0.5,0.1,0.1
C1_DISP_H1_24,GOLD,2025,11,10,0.5,0.3,0.3
C1_DISP_H1_24,USDJPY,2023,15,15,0.6,0.3333333333333333,0.3333333333333333
C1_DISP_H1_24,USDJPY,2024,15,14,0.5714285714285714,0.2857142857142857,0.07142857142857142
C1_DISP_H1_24,USDJPY,2025,7,7,0.7142857142857143,0.2857142857142857,0.14285714285714285
C1_DISP_H1_24,XAUEUR,2023,12,12,0.5,0.3333333333333333,0.25
C1_DISP_H1_24,XAUEUR,2024,14,13,0.46153846153846156,0.23076923076923078,0.15384615384615385
C1_DISP_H1_24,XAUEUR,2025,19,17,0.35294117647058826,0.17647058823529413,0.11764705882352941
