market,year,N,positive_count,WR,avg_win_R,avg_loss_R,EV_R,total_R,TP5,BE,SL
BTCUSD,2023,17,8,0.47058823529411764,3.09375,-1.0,0.9264705882352942,15.75,5,3,9
BTCUSD,2024,18,5,0.2777777777777778,3.75,-1.0,0.3194444444444444,5.75,4,1,13
BTCUSD,2025,14,6,0.42857142857142855,3.25,-1.0,0.8214285714285714,11.5,4,2,8
GOLD,2022,9,2,0.2222222222222222,4.5,-1.0,0.2222222222222222,2.0,2,0,7
GOLD,2023,9,2,0.2222222222222222,4.5,-1.0,0.2222222222222222,2.0,2,0,7
GOLD,2024,13,3,0.23076923076923078,4.5,-1.0,0.2692307692307692,3.5,3,0,10
GOLD,2025,7,4,0.5714285714285714,3.5625,-1.0,1.6071428571428572,11.25,3,1,3
USDJPY,2023,2,1,0.5,4.5,-1.0,1.75,3.5,1,0,1
USDJPY,2024,12,5,0.4166666666666667,2.25,-1.0,0.3541666666666667,4.25,2,3,7
USDJPY,2025,11,1,0.09090909090909091,4.5,-1.0,-0.5,-5.5,1,0,10
XAUEUR,2023,7,3,0.42857142857142855,3.25,-1.0,0.8214285714285714,5.75,2,1,4
XAUEUR,2024,9,3,0.3333333333333333,3.25,-1.0,0.4166666666666667,3.75,2,1,6
XAUEUR,2025,16,5,0.3125,3.75,-1.0,0.484375,7.75,4,1,11
