event_id,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,entry,sl_exec,risk,path
0,2023-01-09 16:48:00,-1,1880.95,2023-01-09 09:15:00,2023-01-09 09:45:00,35,1,1881.47,2023-01-09 17:25:00,1876.13,1,1300,1876.13,1881.59,5.459999999999809,W_GIVEBACK
1,2023-01-10 03:51:00,-1,1875.78,2023-01-09 21:45:00,2023-01-09 22:45:00,39,1,1875.85,2023-01-10 04:30:00,1872.76,1,1421,1872.76,1875.9699999999998,3.209999999999809,L_RECOVER
2,2023-01-10 09:33:00,1,1870.63,2023-01-10 06:15:00,2023-01-10 07:45:00,42,1,1870.55,2023-01-10 10:25:00,1874.33,-1,1492,1874.4499999999998,1870.55,3.8999999999998636,L_RECOVER
3,2023-01-11 18:19:00,1,1867.09,2023-01-09 02:45:00,2023-01-09 03:30:00,32,1,1867.07,2023-01-11 18:55:00,1873.9,-1,1870,1874.02,1867.07,6.9500000000000455,W_CONTINUE
4,2023-01-27 15:32:00,-1,1934.88,2023-01-27 02:45:00,2023-01-27 03:30:00,137,1,1935.01,2023-01-27 16:00:00,1928.81,1,5117,1928.81,1935.1299999999999,6.319999999999936,W_GIVEBACK
5,2023-01-31 14:09:00,1,1900.95,2023-01-19 04:00:00,2023-01-19 04:45:00,94,1,1900.83,2023-01-31 14:35:00,1903.55,-1,5652,1903.6699999999998,1900.83,2.839999999999918,W_CONTINUE
6,2023-01-31 20:31:00,-1,1930.74,2023-01-30 12:45:00,2023-01-30 13:30:00,147,1,1931.11,2023-01-31 22:00:00,1928.74,1,5741,1928.74,1931.2299999999998,2.4899999999997817,W_GIVEBACK
7,2023-02-06 02:59:00,-1,1869.99,2023-02-06 01:15:00,2023-02-06 01:45:00,177,1,1870.02,2023-02-06 03:05:00,1864.92,1,6618,1864.92,1870.1399999999999,5.2199999999998,L_CONTINUE
8,2023-02-07 20:49:00,1,1865.21,2023-02-06 22:00:00,2023-02-07 02:00:00,188,1,1864.99,2023-02-07 21:35:00,1873.22,-1,7116,1873.34,1864.99,8.349999999999909,W_GIVEBACK
9,2023-02-09 12:53:00,-1,1886.12,2023-02-08 11:45:00,2023-02-08 14:00:00,205,1,1886.13,2023-02-09 13:20:00,1880.82,1,7569,1880.82,1886.25,5.430000000000064,L_RECOVER
10,2023-02-09 19:46:00,1,1863.0,2023-02-06 17:45:00,2023-02-06 21:15:00,186,1,1862.98,2023-02-09 20:15:00,1869.32,-1,7652,1869.4399999999998,1862.98,6.459999999999809,L_CONTINUE
11,2023-02-16 08:32:00,1,1834.48,2023-02-16 03:00:00,2023-02-16 03:30:00,246,1,1834.2,2023-02-16 09:05:00,1836.99,-1,8898,1837.11,1834.2,2.9099999999998545,W_CONTINUE
12,2023-02-16 17:05:00,1,1827.65,2023-02-16 15:45:00,2023-02-16 16:15:00,252,1,1827.59,2023-02-16 18:30:00,1836.83,-1,9011,1836.9499999999998,1827.59,9.3599999999999,L_RECOVER
13,2023-02-20 08:05:00,-1,1845.25,2023-02-16 21:00:00,2023-02-16 22:30:00,255,1,1845.59,2023-02-20 09:05:00,1842.96,1,9450,1842.96,1845.7099999999998,2.7499999999997726,L_RECOVER
14,2023-02-20 10:49:00,1,1841.06,2023-02-20 07:15:00,2023-02-20 08:00:00,264,1,1841.04,2023-02-20 12:50:00,1844.14,-1,9495,1844.26,1841.04,3.2200000000000273,L_CONTINUE
15,2023-02-21 16:35:00,-1,1843.73,2023-02-21 02:45:00,2023-02-21 03:15:00,273,1,1843.81,2023-02-21 17:00:00,1834.99,1,9791,1834.99,1843.9299999999998,8.939999999999827,L_RECOVER
16,2023-02-28 10:17:00,1,1806.56,2023-02-27 05:30:00,2023-02-27 09:30:00,296,1,1804.71,2023-02-28 10:55:00,1811.42,-1,11098,1811.54,1804.71,6.829999999999927,W_CONTINUE
17,2023-03-06 06:14:00,-1,1856.36,2023-03-03 22:30:00,2023-03-06 01:30:00,329,1,1856.43,2023-03-06 06:25:00,1854.82,1,12148,1854.82,1856.55,1.7300000000000182,W_GIVEBACK
18,2023-03-13 09:04:00,1,1872.14,2023-03-13 03:45:00,2023-03-13 04:30:00,362,1,1871.53,2023-03-13 09:35:00,1875.94,-1,13578,1876.06,1871.53,4.529999999999973,W_CONTINUE
19,2023-03-14 10:46:00,1,1901.49,2023-03-14 07:15:00,2023-03-14 08:15:00,370,1,1900.75,2023-03-14 14:05:00,1906.43,-1,13908,1906.55,1900.75,5.7999999999999545,L_RECOVER
