voter,year,N,accuracy,long_rate
m1_recent_dir,ALL,2130,0.49577464788732395,0.49765258215962443
m1_recent_dir,2024,783,0.4904214559386973,0.5185185185185185
m1_recent_dir,2025,810,0.4888888888888889,0.47530864197530864
m1_recent_dir,2026,537,0.5139664804469274,0.5009310986964618
m1_pressure,ALL,2137,0.4983621899859616,0.5039775386055217
m1_pressure,2024,788,0.5076142131979695,0.5076142131979695
m1_pressure,2025,813,0.4821648216482165,0.4797047970479705
m1_pressure,2026,536,0.5093283582089553,0.5354477611940298
m1_structure,ALL,1842,0.5152008686210641,0.4500542888165038
m1_structure,2024,704,0.5113636363636364,0.4744318181818182
m1_structure,2025,678,0.528023598820059,0.4365781710914454
m1_structure,2026,460,0.5021739130434782,0.4326086956521739
m1_sweep_reclaim,ALL,2035,0.5051597051597052,0.47174447174447176
m1_sweep_reclaim,2024,772,0.49870466321243523,0.4727979274611399
m1_sweep_reclaim,2025,772,0.4961139896373057,0.4417098445595855
m1_sweep_reclaim,2026,491,0.5295315682281059,0.5173116089613035
m1_stoch_dir,ALL,2149,0.4839460214053048,0.5234993020009306
m1_stoch_dir,2024,797,0.48557089084065247,0.5056461731493099
m1_stoch_dir,2025,814,0.4705159705159705,0.5171990171990172
m1_stoch_dir,2026,538,0.5018587360594795,0.5594795539033457
m1_ma_fastslow,ALL,2149,0.501628664495114,0.4471847370870172
m1_ma_fastslow,2024,797,0.4968632371392723,0.4767879548306148
m1_ma_fastslow,2025,814,0.5073710073710074,0.41646191646191644
m1_ma_fastslow,2026,538,0.5,0.44981412639405205
