H,outer,fold,model,n,auc,brier,logloss
15,2024,2022-07-01,control53,7139,0.8984723726977247,0.0052645232228856,0.0273310686131339
15,2024,2022-07-01,regime_logit,7139,0.9128024557602022,0.0053122924584879,0.0266850634344324
15,2024,2023-01-01,control53,7030,0.9349208621649566,0.0059779112251798,0.027354239844685
15,2024,2023-01-01,regime_logit,7030,0.9369665155491926,0.0058785292948023,0.0270774904940722
15,2024,2023-07-01,control53,7151,0.862078407800708,0.0028076571136123,0.0164124489681373
15,2024,2023-07-01,regime_logit,7151,0.8637948306952514,0.0028964478085185,0.0168343708110298
15,2025,2023-07-01,control53,7151,0.862078407800708,0.0028076571136123,0.0164124489681373
15,2025,2023-07-01,regime_logit,7151,0.8637948306952514,0.0028964478085185,0.0168343708110298
15,2025,2024-01-01,control53,7027,0.8667107114338948,0.0123056838561705,0.0566776955577724
15,2025,2024-01-01,regime_logit,7027,0.8637891808307033,0.0123416408728787,0.0583703322493378
15,2025,2024-07-01,control53,7267,0.8585409714497589,0.0101573478478486,0.0475775672805913
15,2025,2024-07-01,regime_logit,7267,0.8626510938079347,0.0099049522978527,0.0465037956729361
15,2026,2024-07-01,control53,7267,0.8585409714497589,0.0101573478478486,0.0475775672805913
15,2026,2024-07-01,regime_logit,7267,0.8626510938079347,0.0099049522978527,0.0465037956729361
15,2026,2025-01-01,control53,6895,0.8649579439933526,0.0435381998083469,0.1594073405069536
15,2026,2025-01-01,regime_logit,6895,0.8697494780455174,0.0493148938393319,0.177346121911067
15,2026,2025-07-01,control53,7063,0.868143438375815,0.0719798342169206,0.2404413728281566
15,2026,2025-07-01,regime_logit,7063,0.8667680846465771,0.0726462342175365,0.2431931073306007
30,2024,2022-07-01,control53,7139,0.848491498766245,0.0128531840651138,0.0601532130353366
30,2024,2022-07-01,regime_logit,7139,0.8463095670180829,0.013163619545428,0.0612281492179397
30,2024,2023-01-01,control53,7030,0.8889575219617254,0.0181072026880117,0.0752418333750197
30,2024,2023-01-01,regime_logit,7030,0.8912347673184406,0.0178760646928457,0.0744687094366384
30,2024,2023-07-01,control53,7151,0.8529774897393327,0.0087458765821952,0.0434717074609579
30,2024,2023-07-01,regime_logit,7151,0.8581626031334013,0.0089340682800258,0.043633273502982
30,2025,2023-07-01,control53,7151,0.8529774897393327,0.0087458765821952,0.0434717074609579
30,2025,2023-07-01,regime_logit,7151,0.8581626031334013,0.0089340682800258,0.043633273502982
30,2025,2024-01-01,control53,7027,0.846377241700937,0.028262241960913,0.1143505898457082
30,2025,2024-01-01,regime_logit,7027,0.8499488033341427,0.0295142174034184,0.1174561871861269
30,2025,2024-07-01,control53,7267,0.8491791833229329,0.027557346724608,0.1113369168809844
30,2025,2024-07-01,regime_logit,7267,0.8554355549239733,0.0269734087640651,0.1090511000136216
30,2026,2024-07-01,control53,7267,0.8491791833229329,0.027557346724608,0.1113369168809844
30,2026,2024-07-01,regime_logit,7267,0.8554355549239733,0.0269734087640651,0.1090511000136216
30,2026,2025-01-01,control53,6895,0.8358301910486464,0.0869427171825774,0.2918636083221748
30,2026,2025-01-01,regime_logit,6895,0.8413803350488152,0.0912941405340759,0.3055895255922234
30,2026,2025-07-01,control53,7063,0.8589164989855969,0.113336935996015,0.3569660496289172
30,2026,2025-07-01,regime_logit,7063,0.8602402132228083,0.1129727061383609,0.3566624490338805
60,2024,2022-07-01,control53,7139,0.8136607962506643,0.0298138492356031,0.1225480705744187
60,2024,2022-07-01,regime_logit,7139,0.8107274001062956,0.0311242368286539,0.1262581781343591
60,2024,2023-01-01,control53,7030,0.8288717222796511,0.045955384673519,0.1737897920796735
60,2024,2023-01-01,regime_logit,7030,0.8236138661501162,0.0457284724481057,0.1748875662250275
60,2024,2023-07-01,control53,7151,0.8332249344692003,0.0225529122454397,0.0956076138507795
60,2024,2023-07-01,regime_logit,7151,0.8426605504587156,0.022724157053091,0.0947316245961704
60,2025,2023-07-01,control53,7151,0.8332249344692003,0.0225529122454397,0.0956076138507795
60,2025,2023-07-01,regime_logit,7151,0.8426605504587156,0.022724157053091,0.0947316245961704
60,2025,2024-01-01,control53,7027,0.8257981919899432,0.0608777154100891,0.2186294450260449
60,2025,2024-01-01,regime_logit,7027,0.8301743259002544,0.0615885910430119,0.2205104505778284
60,2025,2024-07-01,control53,7267,0.7924080152012438,0.069702055067766,0.2493504249928654
60,2025,2024-07-01,regime_logit,7267,0.7997544007266284,0.0691114995589582,0.2467739005487987
60,2026,2024-07-01,control53,7267,0.7924080152012438,0.069702055067766,0.2493504249928654
60,2026,2024-07-01,regime_logit,7267,0.7997544007266284,0.0691114995589582,0.2467739005487987
60,2026,2025-01-01,control53,6895,0.811028440124266,0.1442993644441735,0.4472695597192373
60,2026,2025-01-01,regime_logit,6895,0.8187052307248431,0.1439818717207571,0.4501899428066321
60,2026,2025-07-01,control53,7063,0.8449947666519385,0.1502748199125544,0.4612550229974646
60,2026,2025-07-01,regime_logit,7063,0.8485053366206255,0.1482708981819711,0.4559462516417466
