H,year,side,train_pct,threshold,n,coverage,precision
15,2024,MOVE,50.0,0.0007639911281273,8893,0.6221491534909752,0.0181041268413358
15,2024,MOVE,25.0,0.0025569058205851,5018,0.3510563872953687,0.0294938222399362
15,2024,MOVE,10.0,0.0096751049237948,2201,0.1539806911991045,0.0504316219900045
15,2024,MOVE,5.0,0.0211734561113411,1246,0.0871694417238002,0.0802568218298555
15,2024,MOVE,2.5,0.0432592278275527,668,0.0467328949209458,0.1092814371257485
15,2024,MOVE,1.0,0.1014103646543113,285,0.0199384357072897,0.1719298245614035
15,2024,NO_MOVE,50.0,0.0007639911281273,5401,0.3778508465090248,0.9990742455100908
15,2024,NO_MOVE,25.0,0.0002452714296475,2434,0.1702812368826081,0.9995891536565324
15,2024,NO_MOVE,10.0,8.441119781557943e-05,888,0.0621239680985028,1.0
15,2024,NO_MOVE,5.0,4.3997280543958e-05,455,0.0318315377081292,1.0
15,2024,NO_MOVE,2.5,2.460299777899701e-05,239,0.0167203022247096,1.0
15,2024,NO_MOVE,1.0,1.1779326304701528e-05,86,0.0060165104239541,1.0
15,2025,MOVE,50.0,0.0014933525419993,12440,0.8912451640636194,0.090032154340836
15,2025,MOVE,25.0,0.0045043665312377,10114,0.7246023785642642,0.109649990112715
15,2025,MOVE,10.0,0.0150465377272627,7286,0.521994555093853,0.1471314850398023
15,2025,MOVE,5.0,0.031196556019024,5590,0.4004871758131537,0.1822898032200357
15,2025,MOVE,2.5,0.0579121556862155,4395,0.3148731910015762,0.2191126279863481
15,2025,MOVE,1.0,0.1182335929951239,3119,0.2234560825333142,0.2734850913754408
15,2025,NO_MOVE,50.0,0.0014933525419993,1518,0.1087548359363805,0.9980237154150198
15,2025,NO_MOVE,25.0,0.0005242143245172,399,0.0285857572718154,1.0
15,2025,NO_MOVE,10.0,0.0001837473489852,66,0.0047284711276687,1.0
15,2025,NO_MOVE,5.0,9.024945249385704e-05,22,0.0015761570425562,1.0
15,2025,NO_MOVE,2.5,4.3994722666478565e-05,6,0.0004298610116062,1.0
15,2025,NO_MOVE,1.0,1.897647987785669e-05,2,0.0001432870038687,1.0
15,2026,MOVE,50.0,0.0025635249603198,9352,1.0,0.2944824636441402
15,2026,MOVE,25.0,0.0118172474447698,9246,0.9886655260906758,0.2978585334198572
15,2026,MOVE,10.0,0.0570168366888773,8092,0.8652694610778443,0.33353929807217
15,2026,MOVE,5.0,0.1370576200544698,6249,0.6681993156544055,0.4013442150744119
15,2026,MOVE,2.5,0.2488341811655234,4416,0.4721984602224123,0.4981884057971014
15,2026,MOVE,1.0,0.4251897701098547,2683,0.286890504704876,0.6295191949310474
15,2026,NO_MOVE,50.0,0.0025635249603198,0,0.0,
15,2026,NO_MOVE,25.0,0.0007657664270061,0,0.0,
15,2026,NO_MOVE,10.0,0.0002417137161426,0,0.0,
15,2026,NO_MOVE,5.0,0.0001056274760695,0,0.0,
15,2026,NO_MOVE,2.5,4.7729537953703085e-05,0,0.0,
15,2026,NO_MOVE,1.0,1.4647454788597084e-05,0,0.0,
30,2024,MOVE,50.0,0.0044735565539836,10241,0.7164544564152792,0.0431598476711258
30,2024,MOVE,25.0,0.0125888783877948,6480,0.4533370645025885,0.0637345679012345
30,2024,MOVE,10.0,0.0370571352442695,2974,0.2080593255911571,0.1136516476126429
30,2024,MOVE,5.0,0.0694013568794961,1754,0.12270882887925,0.1624857468643101
30,2024,MOVE,2.5,0.122682340483455,951,0.0665314117811669,0.2145110410094637
30,2024,MOVE,1.0,0.2429927172356646,396,0.0277039317196026,0.2904040404040404
30,2024,NO_MOVE,50.0,0.0044735565539836,4053,0.2835455435847208,0.9958055761164568
30,2024,NO_MOVE,25.0,0.0015239834181036,1764,0.1234084231145935,0.9988662131519276
30,2024,NO_MOVE,10.0,0.0004514119586174,626,0.0437945991325031,0.9984025559105432
30,2024,NO_MOVE,5.0,0.000193623699379,304,0.0212676647544424,1.0
30,2024,NO_MOVE,2.5,8.169703108148727e-05,164,0.0114733454596334,1.0
30,2024,NO_MOVE,1.0,2.9390327505227587e-05,58,0.0040576465649923,1.0
30,2025,MOVE,50.0,0.0063947617241732,12891,0.9235563834360224,0.1810565510821503
30,2025,MOVE,25.0,0.0173300465733071,10664,0.7640063046281702,0.2155851462865716
30,2025,MOVE,10.0,0.0506833068725701,7743,0.5547356354778622,0.2827069611261785
30,2025,MOVE,5.0,0.0943229899811631,6102,0.4371686488035535,0.3372664700098328
30,2025,MOVE,2.5,0.1587029905539339,4755,0.340664851697951,0.3962145110410094
30,2025,MOVE,1.0,0.2763801276490042,3435,0.2460954291445765,0.4669577874818049
30,2025,NO_MOVE,50.0,0.0063947617241732,1067,0.0764436165639776,0.993439550140581
30,2025,NO_MOVE,25.0,0.0024034152190281,215,0.0154033529158905,1.0
30,2025,NO_MOVE,10.0,0.0008905292387125,32,0.0022925920618999,1.0
30,2025,NO_MOVE,5.0,0.000448067597737,9,0.0006447915174093,1.0
30,2025,NO_MOVE,2.5,0.0002210625198245,3,0.0002149305058031,1.0
30,2025,NO_MOVE,1.0,9.126734298981712e-05,1,7.164350193437455e-05,1.0
30,2026,MOVE,50.0,0.0104432418427106,9351,0.9998930710008554,0.4861512137739279
30,2026,MOVE,25.0,0.0414213961812028,9265,0.9906971770744226,0.4902320561252024
30,2026,MOVE,10.0,0.1611481137613978,8090,0.8650556030795552,0.5414091470951793
30,2026,MOVE,5.0,0.3200821904664245,6247,0.6679854576561164,0.6241395870017609
30,2026,MOVE,2.5,0.4967868740517875,4339,0.4639649272882806,0.7292002765614197
30,2026,MOVE,1.0,0.6903534734103403,2645,0.2828272027373824,0.8393194706994329
