model,scope,n,prev,auc,brier,logloss
M1_Q4_ONLY,2024 pooled,13883,0.01166894763379673,0.808173197612743,0.01205076754036397,0.05788741684887608
M1_Q4_ONLY,2024-01,1197,0.005012531328320802,0.7826756227260006,0.006175384483801524,0.03329657759919722
M1_Q4_ONLY,2024-02,1107,0.0036133694670280035,0.6740707162284678,0.004066020884811743,0.025566416812585528
M1_Q4_ONLY,2024-03,1076,0.013011152416356878,0.8401937046004843,0.013582119389103777,0.06466293495227442
M1_Q4_ONLY,2024-04,1108,0.04061371841155235,0.8007525870178739,0.03792161602170972,0.15929538051726583
M1_Q4_ONLY,2024-05,1262,0.011093502377179081,0.7975045787545787,0.012405983278894424,0.05953220863364964
M1_Q4_ONLY,2024-06,1076,0.0037174721189591076,0.7840485074626866,0.004303839293652943,0.025004042027438767
M1_Q4_ONLY,2024-07,1266,0.008688783570300158,0.6904744657732704,0.009570384333683245,0.05262252829902276
M1_Q4_ONLY,2024-08,1208,0.019867549668874173,0.8090864301801802,0.01816595934110146,0.08399939125951184
M1_Q4_ONLY,2024-09,1151,0.013032145960034752,0.9507042253521127,0.012049950866813798,0.0485188427361564
M1_Q4_ONLY,2024-10,1196,0.004180602006688963,0.744416456759026,0.005523509624766986,0.03137381836937591
M1_Q4_ONLY,2024-11,1099,0.012738853503184714,0.6966425279789336,0.0163683330539025,0.07866816708301728
M1_Q4_ONLY,2024-12,1137,0.005277044854881266,0.5839964633068081,0.00524538081614268,0.03471100204470444
TICK_SIGNLESS,2024 pooled,13883,0.01166894763379673,0.7196803853874524,0.01411408427315578,0.09347506512494647
TICK_SIGNLESS,2024-01,1197,0.005012531328320802,0.7538483067450321,0.00725519203129261,0.04711328452832493
TICK_SIGNLESS,2024-02,1107,0.0036133694670280035,0.6053943789664551,0.0051093255974475876,0.035085945244974576
TICK_SIGNLESS,2024-03,1076,0.013011152416356878,0.7097793919827818,0.012749019518517684,0.08203153933319733
TICK_SIGNLESS,2024-04,1108,0.04061371841155235,0.7114455942301662,0.037156674432289684,0.2178814000256821
TICK_SIGNLESS,2024-05,1262,0.011093502377179081,0.7576121794871795,0.015055694209536155,0.11516599639709327
TICK_SIGNLESS,2024-06,1076,0.0037174721189591076,0.7642257462686568,0.003425139853360833,0.03525160671248065
TICK_SIGNLESS,2024-07,1266,0.008688783570300158,0.7116986599058311,0.012078556870133856,0.0696029757942889
TICK_SIGNLESS,2024-08,1208,0.019867549668874173,0.7820945945945946,0.02057035505114967,0.12272399079201601
TICK_SIGNLESS,2024-09,1151,0.013032145960034752,0.7041666666666666,0.013742291385499662,0.0901103748875622
TICK_SIGNLESS,2024-10,1196,0.004180602006688963,0.7314861460957178,0.009822970673754275,0.06095167044161551
TICK_SIGNLESS,2024-11,1099,0.012738853503184714,0.539894667544437,0.01625790292556635,0.10308066384521752
TICK_SIGNLESS,2024-12,1137,0.005277044854881266,0.6467727674624227,0.016234423301443427,0.143590154084721
M1_PLUS_TICK,2024 pooled,13883,0.01166894763379673,0.7157650568966556,0.015137847683330484,0.09739090294437192
M1_PLUS_TICK,2024-01,1197,0.005012531328320802,0.7814161768821718,0.008445567832023286,0.05058340775206952
M1_PLUS_TICK,2024-02,1107,0.0036133694670280035,0.5757026291931098,0.005139673464333545,0.037152426604549045
M1_PLUS_TICK,2024-03,1076,0.013011152416356878,0.7017083669626043,0.013936501238679554,0.08730803764813974
M1_PLUS_TICK,2024-04,1108,0.04061371841155235,0.7193059475279607,0.03871765873635408,0.23132043060607907
M1_PLUS_TICK,2024-05,1262,0.011093502377179081,0.7787889194139195,0.016965552227848964,0.11723211025064592
M1_PLUS_TICK,2024-06,1076,0.0037174721189591076,0.6961287313432836,0.004140354691263005,0.039208013309572715
M1_PLUS_TICK,2024-07,1266,0.008688783570300158,0.6897500905469033,0.011357281802412461,0.06600173220955537
M1_PLUS_TICK,2024-08,1208,0.019867549668874173,0.7410613738738738,0.022880528975660768,0.13522144123754998
M1_PLUS_TICK,2024-09,1151,0.013032145960034752,0.705575117370892,0.014832740322478536,0.0922889156686772
M1_PLUS_TICK,2024-10,1196,0.004180602006688963,0.6817800167926112,0.009487641773106934,0.06117060397026503
M1_PLUS_TICK,2024-11,1099,0.012738853503184714,0.5472679394338381,0.01805704974562907,0.11102942531544471
M1_PLUS_TICK,2024-12,1137,0.005277044854881266,0.6429413498379016,0.01786894220666375,0.14222425898934649
M1_HISTORY_PLUS_TICK_META,2024 pooled,13883,0.01166894763379673,0.7236604969763388,0.014247998548376644,0.09304881881542498
M1_HISTORY_CONTROL,2024 pooled,13883,0.01166894763379673,0.8577678083787939,0.011375973595587958,0.052447736101838234
