target,barrier_atr,year,horizon,N,base_rate
fixed10,,2022,15,67582,0.005652392648930188
normalized,0.75,2022,15,67582,0.8386996537539582
normalized,1.0,2022,15,67582,0.6557219377940872
normalized,1.25,2022,15,67582,0.48622414252315704
normalized,1.5,2022,15,67582,0.353866414133941
normalized,1.75,2022,15,67582,0.2562812583232222
normalized,2.0,2022,15,67582,0.18410227575389898
normalized,2.5,2022,15,67582,0.09825101358349857
normalized,3.0,2022,15,67582,0.05369773016483679
fixed10,,2022,30,67582,0.01654286644372762
normalized,0.75,2022,30,67582,0.9608919534787369
normalized,1.0,2022,30,67582,0.8710455446716582
normalized,1.25,2022,30,67582,0.7479950282619633
normalized,1.5,2022,30,67582,0.6207274126246634
normalized,1.75,2022,30,67582,0.5064514219762659
normalized,2.0,2022,30,67582,0.40574413305317986
normalized,2.5,2022,30,67582,0.2572282560445089
normalized,3.0,2022,30,67582,0.163431091118937
fixed10,,2022,60,67582,0.04415376875499393
normalized,0.75,2022,60,67582,0.9948802935692936
normalized,1.0,2022,60,67582,0.9701103844218875
normalized,1.25,2022,60,67582,0.9181734781450682
normalized,1.5,2022,60,67582,0.841910567902696
normalized,1.75,2022,60,67582,0.7567695540232606
normalized,2.0,2022,60,67582,0.6681364860465805
normalized,2.5,2022,60,67582,0.5066881714065875
normalized,3.0,2022,60,67582,0.3762836258175254
fixed10,,2023,15,67328,0.0037577233840304183
normalized,0.75,2023,15,67328,0.8266545865019012
normalized,1.0,2023,15,67328,0.6468334125475285
normalized,1.25,2023,15,67328,0.4838403041825095
normalized,1.5,2023,15,67328,0.35575095057034223
normalized,1.75,2023,15,67328,0.2572480988593156
normalized,2.0,2023,15,67328,0.18773764258555134
normalized,2.5,2023,15,67328,0.1034784933460076
normalized,3.0,2023,15,67328,0.05926211977186312
fixed10,,2023,30,67328,0.011941539923954372
normalized,0.75,2023,30,67328,0.9530952946768061
normalized,1.0,2023,30,67328,0.8544439163498099
normalized,1.25,2023,30,67328,0.7325332699619772
normalized,1.5,2023,30,67328,0.6070876901140685
normalized,1.75,2023,30,67328,0.49477186311787075
normalized,2.0,2023,30,67328,0.3999970294676806
normalized,2.5,2023,30,67328,0.26073847433460073
normalized,3.0,2023,30,67328,0.16946886882129278
fixed10,,2023,60,67328,0.036433578897338406
normalized,0.75,2023,60,67328,0.9922320579847909
normalized,1.0,2023,60,67328,0.958813569391635
normalized,1.25,2023,60,67328,0.8982889733840305
normalized,1.5,2023,60,67328,0.8193025190114068
normalized,1.75,2023,60,67328,0.7339591254752852
normalized,2.0,2023,60,67328,0.649135575095057
normalized,2.5,2023,60,67328,0.49707402566539927
normalized,3.0,2023,60,67328,0.3726235741444867
fixed10,,2024,15,67693,0.010414666213640997
normalized,0.75,2024,15,67693,0.8363641735482251
normalized,1.0,2024,15,67693,0.654602396111858
normalized,1.25,2024,15,67693,0.48581094056992596
normalized,1.5,2024,15,67693,0.355206594478011
normalized,1.75,2024,15,67693,0.256555330684118
normalized,2.0,2024,15,67693,0.18607536968371916
normalized,2.5,2024,15,67693,0.099966023074764
normalized,3.0,2024,15,67693,0.05683010060124385
fixed10,,2024,30,67693,0.031037182574269125
normalized,0.75,2024,30,67693,0.9597299573072549
normalized,1.0,2024,30,67693,0.8649491084750269
normalized,1.25,2024,30,67693,0.7381117693114502
normalized,1.5,2024,30,67693,0.6117323800097499
normalized,1.75,2024,30,67693,0.49573811176931143
normalized,2.0,2024,30,67693,0.40035158731331155
normalized,2.5,2024,30,67693,0.25880076226493137
normalized,3.0,2024,30,67693,0.16893918130382757
fixed10,,2024,60,67693,0.08121962389021022
normalized,0.75,2024,60,67693,0.9949477789431699
normalized,1.0,2024,60,67693,0.9661560279497141
normalized,1.25,2024,60,67693,0.9082179841342531
normalized,1.5,2024,60,67693,0.8279585776963645
normalized,1.75,2024,60,67693,0.7387765352399805
normalized,2.0,2024,60,67693,0.6512933390453961
normalized,2.5,2024,60,67693,0.49468925885985254
normalized,3.0,2024,60,67693,0.37225414740076523
fixed10,,2025,15,67326,0.07341888720553724
normalized,0.75,2025,15,67326,0.830377565873511
normalized,1.0,2025,15,67326,0.6475655764489202
normalized,1.25,2025,15,67326,0.48308231589579065
normalized,1.5,2025,15,67326,0.35222648011169533
normalized,1.75,2025,15,67326,0.2537355553575142
normalized,2.0,2025,15,67326,0.1849508362296884
normalized,2.5,2025,15,67326,0.09975343849330125
normalized,3.0,2025,15,67326,0.055312954876273655
fixed10,,2025,30,67326,0.16341383715058075
normalized,0.75,2025,30,67326,0.9585449900484211
normalized,1.0,2025,30,67326,0.8626979175949856
normalized,1.25,2025,30,67326,0.7385705373852598
normalized,1.5,2025,30,67326,0.6108635593975581
normalized,1.75,2025,30,67326,0.4986929269524404
normalized,2.0,2025,30,67326,0.4013456911148739
normalized,2.5,2025,30,67326,0.26080563229658676
normalized,3.0,2025,30,67326,0.1686272762380061
fixed10,,2025,60,67326,0.3104892612066661
normalized,0.75,2025,60,67326,0.9948459733238273
normalized,1.0,2025,60,67326,0.9699670261117548
normalized,1.25,2025,60,67326,0.91380744437513
normalized,1.5,2025,60,67326,0.83682381249443
normalized,1.75,2025,60,67326,0.7523690698987019
normalized,2.0,2025,60,67326,0.6637554585152838
normalized,2.5,2025,60,67326,0.5041885749933162
normalized,3.0,2025,60,67326,0.37636277218310904
fixed10,,2026,15,44440,0.2882763276327633
normalized,0.75,2026,15,44440,0.8282853285328533
normalized,1.0,2026,15,44440,0.643024302430243
normalized,1.25,2026,15,44440,0.4738748874887489
normalized,1.5,2026,15,44440,0.3418991899189919
normalized,1.75,2026,15,44440,0.24601710171017102
normalized,2.0,2026,15,44440,0.18186318631863185
normalized,2.5,2026,15,44440,0.0986048604860486
normalized,3.0,2026,15,44440,0.05567056705670567
fixed10,,2026,30,44440,0.4874662466246625
normalized,0.75,2026,30,44440,0.9607785778577858
normalized,1.0,2026,30,44440,0.8669216921692169
normalized,1.25,2026,30,44440,0.7363411341134113
normalized,1.5,2026,30,44440,0.6065931593159316
normalized,1.75,2026,30,44440,0.48874887488748875
normalized,2.0,2026,30,44440,0.392034203420342
normalized,2.5,2026,30,44440,0.2509000900090009
