year,horizon,quantile,excursion_atr,excursion_dollar
2022,15,0.25,0.8723941159140717,0.9700000000000273
2022,15,0.5,1.2286556613367101,1.4800000000000182
2022,15,0.75,1.7696539724939186,2.3099999999999454
2022,15,0.9,2.486077220329755,3.5299999999999727
2022,15,0.95,3.0594084484381865,4.679999999999836
2022,30,0.25,1.2457629487621718,1.3999999999998636
2022,30,0.5,1.7653699088310717,2.1100000000001273
2022,30,0.75,2.5319409760853295,3.2799999999999727
2022,30,0.9,3.557695688605252,5.029999999999973
2022,30,0.95,4.429153850245634,6.619999999999891
2022,60,0.25,1.7697456477055145,2.0
2022,60,0.5,2.5222637488898405,3.0299999999999727
2022,60,0.75,3.6862872406444915,4.689999999999827
2022,60,0.9,5.222159047654123,7.198999999999856
2022,60,0.95,6.491404305770728,9.509999999999991
2023,15,0.25,0.8586528067581387,0.849999999999909
2023,15,0.5,1.2226835124043545,1.2999999999999545
2023,15,0.75,1.7724783891096003,2.0499999999999545
2023,15,0.9,2.5308783316774965,3.2000000000000455
2023,15,0.95,3.154806131097964,4.240000000000009
2023,30,0.25,1.2141945656123265,1.209999999999809
2023,30,0.5,1.7376697936482675,1.8400000000001455
2023,30,0.75,2.54773181279884,2.9099999999998545
2023,30,0.9,3.651821314546027,4.589999999999918
2023,30,0.95,4.636464155115894,6.139999999999873
2023,60,0.25,1.703084025351225,1.7100000000000364
2023,60,0.5,2.490351961314957,2.6200000000001182
2023,60,0.75,3.708616703673597,4.190000000000055
2023,60,0.9,5.493288536667271,6.689999999999896
2023,60,0.95,7.053401912073408,8.840000000000146
2024,15,0.25,0.8686753237929444,1.2100000000000364
2024,15,0.5,1.2267014410912593,1.8600000000001273
2024,15,0.75,1.7698860962021083,2.9299999999998363
2024,15,0.9,2.4997553926860245,4.4900000000002365
2024,15,0.95,3.115314536202633,5.893999999999993
2024,30,0.25,1.2266726193003903,1.7100000000000364
2024,30,0.5,1.7404840435008389,2.650000000000091
2024,30,0.75,2.539999741418186,4.179999999999836
2024,30,0.9,3.6592246465375955,6.4399999999996
2024,30,0.95,4.592446186439924,8.430000000000291
2024,60,0.25,1.7196624359157815,2.4400000000000546
2024,60,0.5,2.480483013768039,3.7899999999999636
2024,60,0.75,3.717020730184465,6.019999999999982
2024,60,0.9,5.460510968661757,9.199999999999818
2024,60,0.95,6.879949621198933,11.900000000000091
2025,15,0.25,0.8598680493804503,2.130000000000109
2025,15,0.5,1.2218896625823379,3.4299999999998363
2025,15,0.75,1.7611141151583438,5.589999999999691
2025,15,0.9,2.497686835194026,8.829999999999927
2025,15,0.95,3.0901468012441384,11.620000000000346
2025,30,0.25,1.2270695257402562,3.0799999999999272
2025,30,0.5,1.746499721497384,4.899999999999636
2025,30,0.75,2.546382658538022,7.977499999999736
2025,30,0.9,3.6014072991159773,12.519999999999982
2025,30,0.95,4.471315255559001,16.61999999999989
2025,60,0.25,1.7568942928810256,4.440000000000055
2025,60,0.5,2.5141151993878506,7.039999999999964
2025,60,0.75,3.6665053478584766,11.319999999999709
2025,60,0.9,5.233487298883006,17.86500000000001
2025,60,0.95,6.623530937161916,23.47000000000014
2026,15,0.25,0.8572688683794774,4.490000000000691
2026,15,0.5,1.2070450505269639,6.849999999999454
2026,15,0.75,1.7382178082744388,10.890000000000327
2026,15,0.9,2.4878500846150486,17.620999999999807
2026,15,0.95,3.097830959868029,24.210000000000036
2026,30,0.25,1.2249435500374783,6.470000000000255
2026,30,0.5,1.7231167475583256,9.800000000000182
2026,30,0.75,2.5047967627599053,15.63000000000011
2026,30,0.9,3.598093643853798,25.100000000000364
2026,30,0.95,4.5009990066906225,34.43999999999964
2026,60,0.25,1.7357431266100658,9.349999999999454
2026,60,0.5,2.4792275783679756,14.11999999999989
2026,60,0.75,3.623392249181078,22.170000000000073
2026,60,0.9,5.232951237990592,35.36000000000017
2026,60,0.95,6.70326925037493,49.04049999999993
