variant,year,N,WR,avg_win_R,avg_loss_R,EV_R,PF,time_stop_rate,ambig_n,median_hold,family,sl_mult,rr
fixedSL10_RR1.00,2025,342,0.5964912280701754,1.0,-1.0,0.19298245614035087,1.4782608695652173,0.0,0,14.0,fixed_dollar,,1.0
fixedSL10_RR1.00,2026,603,0.5887230514096186,1.0,-1.0,0.17744610281923714,1.4314516129032258,0.0,0,6.0,fixed_dollar,,1.0
fixedSL10_RR1.05,2025,342,0.5789473684210527,1.0500000000000003,-1.0,0.18684210526315792,1.4437499999999999,0.0,0,14.5,fixed_dollar,,1.05
fixedSL10_RR1.05,2026,603,0.582089552238806,1.0500000000000003,-1.0,0.1932835820895522,1.4625,0.0,0,6.0,fixed_dollar,,1.05
fixedSL10_RR1.10,2025,342,0.5555555555555556,1.0999999999999996,-1.0,0.16666666666666674,1.375,0.0,0,15.0,fixed_dollar,,1.1
fixedSL10_RR1.10,2026,603,0.5671641791044776,1.0999999999999996,-1.0,0.19104477611940301,1.4413793103448278,0.0,0,7.0,fixed_dollar,,1.1
fixedSL10_RR1.15,2025,342,0.5467836257309941,1.1500000000000004,-1.0,0.1755847953216375,1.3874193548387097,0.0,0,16.0,fixed_dollar,,1.1500000000000001
fixedSL10_RR1.15,2026,603,0.5572139303482587,1.1500000000000004,-1.0,0.1980099502487563,1.4471910112359552,0.0,0,7.0,fixed_dollar,,1.1500000000000001
fixedSL10_RR1.20,2025,342,0.5409356725146199,1.2,-1.0,0.19005847953216382,1.4140127388535035,0.0,0,17.0,fixed_dollar,,1.2000000000000002
fixedSL10_RR1.20,2026,603,0.5456053067993366,1.2,-1.0,0.20033167495854073,1.4408759124087593,0.0,0,8.0,fixed_dollar,,1.2000000000000002
fixedSL10_RR1.25,2025,342,0.5292397660818714,1.2500000000000002,-1.0,0.19078947368421062,1.4052795031055905,0.0,0,18.0,fixed_dollar,,1.2500000000000002
fixedSL10_RR1.25,2026,603,0.5339966832504146,1.2500000000000002,-1.0,0.20149253731343292,1.432384341637011,0.0,0,8.0,fixed_dollar,,1.2500000000000002
fixedSL10_RR1.30,2025,342,0.5263157894736842,1.2935166666666675,-1.0,0.20711403508771956,1.4372407407407413,0.0029239766081871343,0,19.5,fixed_dollar,,1.3000000000000003
fixedSL10_RR1.30,2026,603,0.5207296849087893,1.3000000000000005,-1.0,0.19767827529021575,1.4124567474048446,0.0,0,8.0,fixed_dollar,,1.3000000000000003
fixedSL10_RR1.35,2025,342,0.5087719298245614,1.3430057471264367,-1.0,0.19205555555555587,1.3909702380952385,0.0029239766081871343,0,22.0,fixed_dollar,,1.3500000000000003
fixedSL10_RR1.35,2026,603,0.5074626865671642,1.3499999999999999,-1.0,0.192537313432836,1.390909090909091,0.0,0,9.0,fixed_dollar,,1.3500000000000003
fixedSL10_RR1.40,2025,342,0.5058479532163743,1.3926763005780354,-1.0,0.21033040935672542,1.4256390532544385,0.0029239766081871343,0,22.5,fixed_dollar,,1.4000000000000004
fixedSL10_RR1.40,2026,603,0.49917081260364843,1.4000000000000004,-1.0,0.19800995024875642,1.3953642384105964,0.0,0,9.0,fixed_dollar,,1.4000000000000004
fixedSL10_RR1.45,2025,342,0.5058479532163743,1.436988439306359,-1.0,0.23274561403508795,1.4710000000000008,0.005847953216374269,0,23.0,fixed_dollar,,1.4500000000000004
fixedSL10_RR1.45,2026,603,0.4892205638474295,1.4500000000000008,-1.0,0.1985903814262025,1.3887987012987018,0.0,0,10.0,fixed_dollar,,1.4500000000000004
fixedSL10_RR1.50,2025,342,0.5,1.4862514619883045,-1.0,0.2431257309941523,1.4862514619883045,0.005847953216374269,0,24.0,fixed_dollar,,1.5000000000000004
fixedSL10_RR1.50,2026,603,0.4792703150912106,1.5000000000000002,-1.0,0.19817578772802671,1.3805732484076436,0.0,0,10.0,fixed_dollar,,1.5000000000000004
fixedSL10_RR1.55,2025,342,0.48830409356725146,1.5353233532934139,-0.9990914285714284,0.23847368421052667,1.4664695351776762,0.008771929824561403,0,26.0,fixed_dollar,,1.5500000000000005
fixedSL10_RR1.55,2026,603,0.47429519071310117,1.5500000000000005,-1.0,0.20945273631840822,1.3984227129337543,0.0,0,11.0,fixed_dollar,,1.5500000000000005
fixedSL10_RR1.60,2025,342,0.47368421052631576,1.5842530864197542,-0.9991166666666665,0.22458479532163786,1.4270883725068262,0.008771929824561403,0,28.0,fixed_dollar,,1.6000000000000005
fixedSL10_RR1.60,2026,603,0.46434494195688225,1.600000000000001,-1.0,0.2072968490878942,1.3869969040247685,0.0,0,11.0,fixed_dollar,,1.6000000000000005
fixedSL10_RR1.65,2025,342,0.4619883040935672,1.6332215189873427,-0.9991358695652173,0.21698245614035133,1.403653156803978,0.008771929824561403,0,30.0,fixed_dollar,,1.6500000000000006
fixedSL10_RR1.65,2026,603,0.4560530679933665,1.6500000000000006,-1.0,0.20854063018242155,1.383384146341464,0.0,0,11.0,fixed_dollar,,1.6500000000000006
fixedSL10_RR1.70,2025,342,0.45321637426900585,1.6822516129032268,-0.9991497326203207,0.2161052631578952,1.395566283631538,0.008771929824561403,0,30.0,fixed_dollar,,1.7000000000000006
fixedSL10_RR1.70,2026,603,0.4461028192371476,1.7000000000000004,-1.0,0.20447761194029881,1.3691616766467072,0.0,0,12.0,fixed_dollar,,1.7000000000000006
fixedSL10_RR1.75,2025,342,0.45321637426900585,1.731606451612904,-0.9991497326203207,0.2384736842105267,1.4365101878067454,0.008771929824561403,0,30.5,fixed_dollar,,1.7500000000000007
fixedSL10_RR1.75,2026,603,0.4361525704809287,1.7500000000000004,-1.0,0.19941956882255418,1.3536764705882358,0.0,0,13.0,fixed_dollar,,1.7500000000000007
fixedSL10_RR1.80,2025,342,0.4415204678362573,1.780456953642385,-0.9991675392670156,0.22809356725146243,1.4087591240875919,0.008771929824561403,0,32.0,fixed_dollar,,1.8000000000000007
fixedSL10_RR1.80,2026,603,0.4311774461028192,1.8000000000000007,-1.0,0.20729684908789417,1.364431486880467,0.0,0,13.0,fixed_dollar,,1.8000000000000007
fixedSL10_RR1.85,2025,342,0.43567251461988304,1.829523489932887,-0.9991761658031088,0.23321052631578992,1.4135946194014766,0.008771929824561403,0,32.5,fixed_dollar,,1.8500000000000008
fixedSL10_RR1.85,2026,603,0.4295190713101161,1.8465907335907348,-1.0,0.2226650082918743,1.3903110465116284,0.001658374792703151,0,13.0,fixed_dollar,,1.8500000000000008
fixedSL10_RR1.90,2025,342,0.4298245614035088,1.878564625850341,-0.9991846153846152,0.23774269005847992,1.4173043661241738,0.008771929824561403,0,33.0,fixed_dollar,,1.9000000000000008
fixedSL10_RR1.90,2026,603,0.417910447761194,1.8962976190476197,-1.0,0.21039303482587096,1.361444444444445,0.001658374792703151,1,14.0,fixed_dollar,,1.9000000000000008
fixedSL10_RR1.95,2025,342,0.4239766081871345,1.9275793103448284,-0.9991928934010151,0.2416900584795326,1.4199226787102288,0.008771929824561403,0,34.0,fixed_dollar,,1.9500000000000008
fixedSL10_RR1.95,2026,603,0.4096185737976783,1.9398744939271257,-1.0,0.20422719734660075,1.3459241573033713,0.003316749585406302,1,14.0,fixed_dollar,,1.9500000000000008
fixedSL10_RR2.00,2025,342,0.42105263157894735,1.9767291666666675,-0.9991969696969696,0.25382456140350923,1.4387765933249435,0.008771929824561403,0,35.0,fixed_dollar,,2.000000000000001
fixedSL10_RR2.00,2026,603,0.3996683250414594,1.9892074688796686,-1.0,0.19469154228855765,1.324306629834255,0.003316749585406302,1,14.0,fixed_dollar,,2.000000000000001
fixedSL10_RR2.05,2025,342,0.4093567251461988,2.0235214285714296,-0.9992128712871287,0.23816374269005872,1.4035453649159495,0.011695906432748537,0,36.0,fixed_dollar,,2.0500000000000007
fixedSL10_RR2.05,2026,603,0.3946932006633499,2.038651260504203,-1.0,0.19933499170812646,1.329312328767124,0.003316749585406302,1,15.0,fixed_dollar,,2.0500000000000007
fixedSL10_RR2.10,2025,342,0.40350877192982454,2.072050724637682,-0.999220588235294,0.24006432748538054,1.402774711662522,0.011695906432748537,0,37.5,fixed_dollar,,2.100000000000001
fixedSL10_RR2.10,2026,603,0.38308457711442784,2.08787445887446,-1.0,0.18291708126036535,1.2965026881720436,0.003316749585406302,1,15.0,fixed_dollar,,2.100000000000001
fixedSL10_RR2.15,2025,342,0.40058479532163743,2.12075182481752,-0.9992243902439023,0.2505906432748543,1.4183830385518537,0.011695906432748537,0,38.0,fixed_dollar,,2.1500000000000012
fixedSL10_RR2.15,2026,603,0.3747927031509121,2.1346725663716835,-1.0,0.17485240464345,1.2796710875331574,0.004975124378109453,1,16.0,fixed_dollar,,2.1500000000000012
fixedSL10_RR2.20,2025,342,0.39766081871345027,2.1617058823529427,-0.9992281553398057,0.25775146198830456,1.428248016673064,0.014619883040935672,0,39.5,fixed_dollar,,2.200000000000001
fixedSL10_RR2.20,2026,603,0.3681592039800995,2.1837207207207223,-1.0,0.17211608623548968,1.2724041994750663,0.004975124378109453,1,16.0,fixed_dollar,,2.200000000000001
fixedSL10_RR2.25,2025,342,0.39766081871345027,2.202794117647059,-0.9992281553398057,0.2740906432748541,1.4553951836611758,0.017543859649122806,0,40.0,fixed_dollar,,2.250000000000001
fixedSL10_RR2.25,2026,603,0.36318407960199006,2.2328127853881283,-1.0,0.1741061359867334,1.2734010416666675,0.004975124378109453,1,17.0,fixed_dollar,,2.250000000000001
fixedSL10_RR2.30,2025,342,0.3888888888888889,2.2498496240601513,-0.9992392344497607,0.26429532163742725,1.432812522445306,0.017543859649122806,0,42.0,fixed_dollar,,2.300000000000001
fixedSL10_RR2.30,2026,603,0.3582089552238806,2.281879629629631,-1.0,0.1755986733001663,1.2736072351421197,0.004975124378109453,1,17.0,fixed_dollar,,2.300000000000001
fixedSL10_RR2.35,2025,342,0.38596491228070173,2.2975757575757583,-0.9992428571428571,0.27321345029239813,1.4452847632254906,0.017543859649122806,0,45.0,fixed_dollar,,2.3500000000000014
fixedSL10_RR2.35,2026,603,0.35323383084577115,2.3309201877934287,-1.0,0.17659369817578832,1.2730410256410265,0.004975124378109453,1,18.0,fixed_dollar,,2.3500000000000014
