H,mult,phase,year,freshN,trainN,resolvedN,first_touch_acc,dominant_acc,terminal_acc,full_time_stop_wr,mean_conf
60,0.5,0,2024,575,6304,434,0.5230414746543779,0.49043478260869566,0.4817391304347826,0.5026086956521739,0.0990120700915591
60,0.5,0,2025,434,9554,320,0.4625,0.4608294930875576,0.47465437788018433,0.4815668202764977,0.0833793507123276
60,0.5,0,2026,196,12789,148,0.527027027027027,0.4489795918367347,0.5357142857142857,0.5357142857142857,0.07804010135811114
60,0.5,2,2024,552,6310,418,0.5382775119617225,0.5217391304347826,0.5072463768115942,0.532608695652174,0.08303075620558122
60,0.5,2,2025,384,9508,289,0.5051903114186851,0.4895833333333333,0.4869791666666667,0.4921875,0.08971418579547957
60,0.5,2,2026,202,12784,155,0.5612903225806452,0.5396039603960396,0.5297029702970297,0.5445544554455446,0.10946565345814784
120,0.75,0,2024,329,5957,247,0.5384615384615384,0.5075987841945289,0.5258358662613982,0.5106382978723404,0.12191170930453589
120,0.75,0,2025,238,8970,164,0.5,0.4789915966386555,0.47478991596638653,0.4789915966386555,0.1094445979200036
120,0.75,0,2026,112,11845,76,0.5,0.5267857142857143,0.5446428571428571,0.5357142857142857,0.11398822060999558
120,0.75,2,2024,393,5925,291,0.5085910652920962,0.4529262086513995,0.49363867684478374,0.4961832061068702,0.11714199281118495
120,0.75,2,2025,270,8950,184,0.5108695652173914,0.5037037037037037,0.4740740740740741,0.48148148148148145,0.10444308653259703
120,0.75,2,2026,110,11845,75,0.56,0.5454545454545454,0.5636363636363636,0.5545454545454546,0.1324441809530768
240,1.0,0,2024,190,6898,139,0.5539568345323741,0.5263157894736842,0.5421052631578948,0.5473684210526316,0.11034673297935602
240,1.0,0,2025,125,10427,75,0.41333333333333333,0.4,0.432,0.432,0.13848218526848624
240,1.0,0,2026,73,13912,45,0.5555555555555556,0.5616438356164384,0.5753424657534246,0.5616438356164384,0.13054545701372916
240,1.0,2,2024,201,6884,149,0.5973154362416108,0.5422885572139303,0.5323383084577115,0.5621890547263682,0.13284525091972074
240,1.0,2,2025,136,10418,86,0.45348837209302323,0.4264705882352941,0.38235294117647056,0.4264705882352941,0.13082592153347813
240,1.0,2,2026,81,13894,46,0.5217391304347826,0.5185185185185185,0.5308641975308642,0.5185185185185185,0.14500783781380844
