H,mult,phase,year,n_train,N,base,auc,brier,logloss,mean_p,level_n,level_hit,fresh_n,fresh_hit
60,0.5,0,2024,28201,71068,0.22795069510890978,0.7926664769858434,0.13772565150208513,0.43189433848597847,0.2186863944951925,2548,0.8025902668759811,575,0.7565217391304347
60,0.5,0,2025,42415,70684,0.22955690113745686,0.74337301189576,0.15037198581673467,0.46857542271953195,0.21816273958705557,1562,0.7740076824583867,434,0.7373271889400922
60,0.5,0,2026,56552,46632,0.2119788986103963,0.7592695677544324,0.13956402842304755,0.4392623248202023,0.2034173125473628,725,0.8137931034482758,196,0.7551020408163265
60,0.75,0,2024,28201,71068,0.09382563178927225,0.8148853567795759,0.07092804539888098,0.24939254075697292,0.09086557901231565,354,0.7344632768361582,103,0.7184466019417476
60,0.75,0,2025,42415,70684,0.083795484126535,0.7696895706363045,0.06912403955679068,0.24948325450272713,0.07874714377807118,133,0.6165413533834586,45,0.5777777777777777
60,0.75,0,2026,56552,46632,0.08024532509864471,0.7777929358024873,0.06556317727002904,0.23823004800660494,0.07655539305004204,76,0.7894736842105263,34,0.8235294117647058
60,1.0,0,2024,28201,71068,0.043873473293183994,0.8354955323618799,0.03707767677295769,0.14405767653118556,0.03850212266099307,56,0.6964285714285714,18,0.6111111111111112
60,1.0,0,2025,42415,70684,0.03597702450342369,0.7985914601228514,0.03243980471064219,0.13275653077990773,0.03455568168903621,22,0.7727272727272727,7,0.7142857142857143
60,1.0,0,2026,56552,46632,0.03769943386515697,0.7948871680802315,0.033147005536826216,0.1362024904094482,0.03626675287333921,15,0.9333333333333333,7,1.0
120,0.5,0,2024,28201,71068,0.4211178026678674,0.7566372346621684,0.1961234709796229,0.5740619460579405,0.40754952564431096,7528,0.8324920297555791,1348,0.7774480712166172
120,0.5,0,2025,42415,70684,0.4473431045215325,0.6977494197556148,0.22013065344727617,0.6315600988318025,0.41190621707149067,6336,0.8017676767676768,1376,0.7398255813953488
120,0.5,0,2026,56552,46620,0.41445731445731443,0.7088468869001596,0.21087427579556836,0.6106244427356643,0.4098947092653116,3777,0.7924278527932221,822,0.7384428223844283
120,0.75,0,2024,28201,71068,0.21386559351606912,0.7600919474421505,0.1411839176211926,0.44477468496469974,0.19461369414106883,1220,0.759016393442623,329,0.7507598784194529
120,0.75,0,2025,42415,70684,0.2048271178767472,0.7014839652294984,0.14832845314357174,0.46714139773221675,0.19486343972170844,760,0.6644736842105263,238,0.6890756302521008
120,0.75,0,2026,56552,46620,0.18963963963963965,0.7173625953180179,0.13816170022872065,0.4395524149129957,0.1790225846540979,323,0.7275541795665634,112,0.6785714285714286
120,1.0,0,2024,28201,71068,0.11034502166938706,0.7764131824325675,0.08589526335665976,0.29672546601500177,0.10436615405007553,268,0.6753731343283582,91,0.7252747252747253
120,1.0,0,2025,42415,70684,0.10061682983419161,0.716693900636972,0.08468367039972834,0.300887177288502,0.09293241914205345,113,0.5575221238938053,41,0.5609756097560976
120,1.0,0,2026,56552,46620,0.09867009867009867,0.7245390911160318,0.08250670215577124,0.2943706623899331,0.08796071015936585,50,0.68,27,0.6666666666666666
240,0.5,0,2024,28201,71068,0.6506163111386278,0.7608683848822453,0.18313557533053,0.5457893006489382,0.6262862731389136,24804,0.855063699403322,2894,0.7888735314443677
240,0.5,0,2025,42415,70684,0.6938345311527361,0.7031727620616361,0.19167052417241448,0.5687499228630419,0.6508794197517234,26779,0.8299787146644759,3410,0.7794721407624633
240,0.5,0,2026,56552,46596,0.6654004635591038,0.6870967646175404,0.20293990705618045,0.5950927830110883,0.6681697377496114,18426,0.8003907521979811,2121,0.7496463932107497
240,0.75,0,2024,28201,71068,0.4125907581471267,0.7315767369883339,0.2063265372034842,0.6020929808896843,0.37544152615936366,3936,0.7794715447154471,937,0.7481323372465315
240,0.75,0,2025,42415,70684,0.42097221436251486,0.6645202200532535,0.22835586375789477,0.6513185964996541,0.3889163022714073,3262,0.7035561005518087,868,0.6900921658986175
240,0.75,0,2026,56552,46596,0.38378830800927116,0.6614182744186057,0.22098455880465706,0.6359345705147961,0.38017354292823796,1648,0.7135922330097088,456,0.668859649122807
240,1.0,0,2024,28201,71068,0.24870546518827039,0.7385403089487412,0.16262428606984886,0.49743858833214877,0.22175676106228154,585,0.7743589743589744,190,0.7315789473684211
240,1.0,0,2025,42415,70684,0.24510497425159866,0.6609465590788329,0.17655572774429049,0.5381283054437594,0.21485046026350516,392,0.5943877551020408,125,0.6
240,1.0,0,2026,56552,46596,0.21903167653875869,0.6653681320607521,0.1620875656015101,0.5043276414597883,0.205435750547146,221,0.6561085972850679,73,0.6164383561643836
