horizon_min,mult,quarter,N,either_hit,both_hit,median_target
60,0.5,2024Q1,17327,0.21902233508397298,0.011138685288855543,4.36618089716764
60,0.5,2024Q2,17880,0.22746085011185682,0.004642058165548099,6.81043117169167
60,0.5,2024Q3,18156,0.23634060365719323,0.010079312623925975,6.156783504134007
60,0.5,2024Q4,17705,0.22857949731714206,0.004010166619598983,6.658305446251189
60,0.5,2025Q1,17243,0.24659282027489415,0.0048715420750449455,6.91295021906135
60,0.5,2025Q2,17603,0.2166108049764245,0.0024995739362608646,13.190177631726348
60,0.5,2025Q3,18138,0.2319439850038593,0.0043554967471606575,8.180144525102754
60,0.5,2025Q4,17700,0.22338983050847458,0.0033333333333333335,15.613576304173574
60,0.5,2026Q1,17242,0.21592622665584038,0.005219812086764876,27.39310495680147
60,0.5,2026Q2,17584,0.20780254777070065,0.0030141037306642402,19.94769594974557
60,0.5,2026Q3,11806,0.2124343554125021,0.004743350838556666,17.854192047839536
60,0.75,2024Q1,17327,0.09742021123102672,0.004155364460091187,6.5492713457514595
60,0.75,2024Q2,17880,0.09468680089485458,0.00044742729306487697,10.215646757537506
60,0.75,2024Q3,18156,0.1012888301387971,0.001762502753910553,9.23517525620101
60,0.75,2024Q4,17705,0.08178480655182152,0.0010731431798926857,9.987458169376783
60,0.75,2025Q1,17243,0.09099344661601809,0.0009279127761990373,10.369425328592024
60,0.75,2025Q2,17603,0.08061125944441289,0.0005680849855138328,19.78526644758952
60,0.75,2025Q3,18138,0.08358143124931083,0.0011577902745616936,12.270216787654132
60,0.75,2025Q4,17700,0.08016949152542373,0.0005084745762711864,23.42036445626036
60,0.75,2026Q1,17242,0.08867880756292773,0.0005799791207516529,41.089657435202206
60,0.75,2026Q2,17584,0.07484076433121019,0.0006255686988171065,29.921543924618355
60,0.75,2026Q3,11806,0.07597831611045232,0.0009317296290022023,26.781288071759306
60,1.0,2024Q1,17327,0.051076354821954176,0.0014428348819761066,8.73236179433528
60,1.0,2024Q2,17880,0.04524608501118568,0.00011185682326621924,13.62086234338334
60,1.0,2024Q3,18156,0.04345670852610707,0.0009363295880149813,12.313567008268015
60,1.0,2024Q4,17705,0.035865574696413445,0.00011296243998870376,13.316610892502379
60,1.0,2025Q1,17243,0.035086701850026096,5.799454851243983e-05,13.8259004381227
60,1.0,2025Q2,17603,0.03482360961199796,0.00011361699710276657,26.380355263452696
60,1.0,2025Q3,18138,0.03660822582423641,0.0006615944426066821,16.36028905020551
60,1.0,2025Q4,17700,0.037344632768361585,0.0002824858757062147,31.227152608347147
60,1.0,2026Q1,17242,0.04477438812202761,0.00011599582415033058,54.78620991360294
60,1.0,2026Q2,17584,0.035543676069153776,0.00017060964513193814,39.89539189949114
60,1.0,2026Q3,11806,0.030577672369981365,8.470269354565475e-05,35.70838409567907
120,0.5,2024Q1,17327,0.4038206267674727,0.032146361170427656,4.36618089716764
120,0.5,2024Q2,17880,0.42472035794183444,0.021420581655480983,6.81043117169167
120,0.5,2024Q3,18156,0.4288389513108614,0.03189028420356907,6.156783504134007
120,0.5,2024Q4,17705,0.42648969217735105,0.017848065518215193,6.658305446251189
120,0.5,2025Q1,17243,0.46540625181232964,0.023197819404975933,6.91295021906135
120,0.5,2025Q2,17603,0.4330511844571948,0.01141850820882804,13.190177631726348
120,0.5,2025Q3,18138,0.44376447237843203,0.018800308744073218,8.180144525102754
120,0.5,2025Q4,17700,0.4476271186440678,0.014067796610169492,15.613576304173574
120,0.5,2026Q1,17242,0.40198352859297065,0.017631365270850248,27.39310495680147
120,0.5,2026Q2,17584,0.4142970882620564,0.012909463148316652,19.94769594974557
120,0.5,2026Q3,11794,0.432931999321689,0.01432931999321689,17.854192047839536
120,0.75,2024Q1,17327,0.21100017314018585,0.012754660356668782,6.5492713457514595
120,0.75,2024Q2,17880,0.21476510067114093,0.005984340044742729,10.215646757537506
120,0.75,2024Q3,18156,0.2291804362194316,0.007105089226701917,9.23517525620101
120,0.75,2024Q4,17705,0.20005648121999436,0.0024851736797514828,9.987458169376783
120,0.75,2025Q1,17243,0.2176535405671867,0.005335498463144465,10.369425328592024
120,0.75,2025Q2,17603,0.20382889280236324,0.002329148440606715,19.78526644758952
120,0.75,2025Q3,18138,0.19842319991178742,0.0034182379534678574,12.270216787654132
120,0.75,2025Q4,17700,0.1998870056497175,0.002542372881355932,23.42036445626036
120,0.75,2026Q1,17242,0.19382902215520242,0.003595870548660248,41.089657435202206
120,0.75,2026Q2,17584,0.18277979981801637,0.0022747952684258415,29.921543924618355
120,0.75,2026Q3,11794,0.1937425809733763,0.003985077157876887,26.781288071759306
120,1.0,2024Q1,17327,0.12154441045766723,0.0040976510648121425,8.73236179433528
120,1.0,2024Q2,17880,0.10967561521252796,0.0021252796420581656,13.62086234338334
120,1.0,2024Q3,18156,0.11434236615994713,0.0036351619299405157,12.313567008268015
120,1.0,2024Q4,17705,0.09596159277040384,0.00016944365998305564,13.316610892502379
120,1.0,2025Q1,17243,0.10537609464710317,0.0013918691642985559,13.8259004381227
120,1.0,2025Q2,17603,0.10191444640118162,0.0005680849855138328,26.380355263452696
120,1.0,2025Q3,18138,0.09675818723122726,0.00203991619803727,16.36028905020551
120,1.0,2025Q4,17700,0.09864406779661017,0.000847457627118644,31.227152608347147
120,1.0,2026Q1,17242,0.10689015195452964,0.0005219812086764877,54.78620991360294
120,1.0,2026Q2,17584,0.09463148316651501,0.00045495905368516835,39.89539189949114
120,1.0,2026Q3,11794,0.09267424113956249,0.0011870442597931151,35.70838409567907
240,0.5,2024Q1,17327,0.617937323252727,0.0861660991516131,4.36618089716764
240,0.5,2024Q2,17880,0.6549776286353468,0.06940715883668903,6.81043117169167
240,0.5,2024Q3,18156,0.6591209517514871,0.09170522141440846,6.156783504134007
240,0.5,2024Q4,17705,0.6694719005930528,0.06546173397345383,6.658305446251189
240,0.5,2025Q1,17243,0.6988343095749,0.08113437336890332,6.91295021906135
240,0.5,2025Q2,17603,0.6911890018746805,0.048457649264329945,13.190177631726348
240,0.5,2025Q3,18138,0.6828205976403131,0.0593229683537325,8.180144525102754
240,0.5,2025Q4,17700,0.7028813559322034,0.05152542372881356,15.613576304173574
240,0.5,2026Q1,17242,0.6379770328268183,0.049472219000115995,27.39310495680147
240,0.5,2026Q2,17584,0.671917652411283,0.04640582347588717,19.94769594974557
240,0.5,2026Q3,11770,0.6958368734069669,0.05157179269328802,17.854192047839536
240,0.75,2024Q1,17327,0.402839499047729,0.032146361170427656,6.5492713457514595
240,0.75,2024Q2,17880,0.4185682326621924,0.019854586129753916,10.215646757537506
240,0.75,2024Q3,18156,0.42834324741132407,0.026988323419255344,9.23517525620101
240,0.75,2024Q4,17705,0.39994351878000567,0.01236938717876306,9.987458169376783
240,0.75,2025Q1,17243,0.4291016644435423,0.02041408107637882,10.369425328592024
240,0.75,2025Q2,17603,0.426859058115094,0.00897574277111856,19.78526644758952
240,0.75,2025Q3,18138,0.4124490020950491,0.01461021060756423,12.270216787654132
240,0.75,2025Q4,17700,0.4159322033898305,0.010338983050847458,23.42036445626036
240,0.75,2026Q1,17242,0.37234659552256116,0.008467695162974133,41.089657435202206
240,0.75,2026Q2,17584,0.37534121929026387,0.006085077343039126,29.921543924618355
240,0.75,2026Q3,11770,0.41316907391673746,0.009005947323704333,26.781288071759306
240,1.0,2024Q1,17327,0.26051826628960584,0.013043227333064004,8.73236179433528
240,1.0,2024Q2,17880,0.25676733780760624,0.007214765100671141,13.62086234338334
240,1.0,2024Q3,18156,0.25545274289491077,0.01096056400088125,12.313567008268015
240,1.0,2024Q4,17705,0.22208415701779158,0.0019203614798079637,13.316610892502379
240,1.0,2025Q1,17243,0.25152235689845154,0.005219509366119585,13.8259004381227
240,1.0,2025Q2,17603,0.25171845708117935,0.004090211895699597,26.380355263452696
240,1.0,2025Q3,18138,0.23922152387253282,0.006505678685632374,16.36028905020551
240,1.0,2025Q4,17700,0.2383050847457627,0.0030508474576271187,31.227152608347147
240,1.0,2026Q1,17242,0.21656420368866722,0.001391949889803967,54.78620991360294
240,1.0,2026Q2,17584,0.21383075523202913,0.0009099181073703367,39.89539189949114
240,1.0,2026Q3,11770,0.23041631265930332,0.001954120645709431,35.70838409567907
