event,censored,base,hedge_pnl,total,triggered,outcome
0,0,0.03,0,0.03,0,0
1,0,0,0,0,0,0
2,0,0.04,0,0.04,0,0
3,0,8.78,0,8.78,0,0
4,0,0.02,-2.11,-2.09,1,1
5,0,0.05,0,0.05,0,0
6,0,4.54747e-13,0,4.54747e-13,0,0
7,0,8.68,0,8.68,0,0
8,0,0.3,-2.18,-1.88,1,1
9,0,0.01,0,0.01,0,0
10,0,1.9,0,1.9,0,0
11,0,-23.17,1.79,-21.38,1,2
12,0,2.27374e-13,0,2.27374e-13,0,0
13,0,0.19,0,0.19,0,0
14,0,0,0,0,0,0
15,0,0.01,0,0.01,0,0
16,0,0.19,0,0.19,0,0
17,0,-22.9,1.73,-21.17,1,2
18,0,-23.11,1.74,-21.37,1,2
19,0,-20.68,-3.07,-23.75,1,1
20,1,0,0,0,1,0
21,0,0.05,0,0.05,0,0
22,0,0.03,0,0.03,0,0
23,0,9.45,0,9.45,0,0
24,0,0.02,0,0.02,0,0
25,0,-20.96,1.68,-19.28,1,2
26,0,-20.98,1.6,-19.38,1,2
27,0,0.48,0,0.48,0,0
28,0,-2.27374e-13,0,-2.27374e-13,0,0
29,0,8.87,0,8.87,0,0
30,0,0.05,0,0.05,0,0
31,0,9.32,0,9.32,0,0
32,0,9.2,0,9.2,0,0
33,0,0.11,0,0.11,0,0
34,0,0.05,0,0.05,0,0
35,0,-20.36,1.48,-18.88,1,2
36,1,0,0,0,0,0
37,0,0.11,-1.94,-1.83,1,1
38,0,2.27374e-13,0,2.27374e-13,0,0
39,1,0,0,0,0,0
40,1,0,0,0,0,0
41,0,0.27,0,0.27,0,0
42,0,7.76,0,7.76,0,0
43,0,0.14,0,0.14,0,0
44,0,0.01,0,0.01,0,0
45,0,0.01,0,0.01,0,0
46,1,0,0,0,0,0
47,0,0.06,0,0.06,0,0
48,0,0.05,0,0.05,0,0
49,0,0.01,-1.92,-1.91,1,1
50,0,0.04,0,0.04,0,0
51,0,-20.07,1.4,-18.67,1,2
52,0,8.33,0,8.33,0,0
53,1,0,0,0,0,0
54,1,0,0,0,0,0
