phase,year,targetS,N,mae_med,mae_p75,mae_p90,mae<=.10,mae<=.25,mae<=.50
0,2024,0.25,218,0.16244314493540676,0.35569883743402114,0.6078199884726583,0.3532110091743119,0.6284403669724771,0.8394495412844036
0,2024,0.5,157,0.2074052467762521,0.42021967630853696,0.6357825937046657,0.25477707006369427,0.5477707006369427,0.821656050955414
0,2024,0.75,108,0.2183369757142697,0.3848752331497111,0.71766321038314,0.24074074074074073,0.5277777777777778,0.8240740740740741
0,2025,0.25,185,0.1335084724897581,0.27949544769188717,0.5288793805471155,0.41081081081081083,0.7243243243243244,0.8648648648648649
0,2025,0.5,122,0.15004855228769542,0.3306179048042228,0.5802784817869004,0.36065573770491804,0.7049180327868853,0.8688524590163934
0,2025,0.75,90,0.15746053712364017,0.3306179048042228,0.6436816069314825,0.32222222222222224,0.7,0.8555555555555555
0,2026,0.25,126,0.16169626237601553,0.34620782262793687,0.640467930009936,0.35714285714285715,0.6507936507936508,0.8650793650793651
0,2026,0.5,91,0.2110190435953285,0.41567849197810647,0.8333689547437051,0.3076923076923077,0.5604395604395604,0.8021978021978022
0,2026,0.75,65,0.2110190435953285,0.3996462509090739,0.6812948163235699,0.2923076923076923,0.5692307692307692,0.8461538461538461
2,2024,0.25,253,0.13987431926447552,0.34492521119645086,0.5830484727091962,0.38735177865612647,0.6363636363636364,0.849802371541502
2,2024,0.5,189,0.2074052467762521,0.42247612225443376,0.6648007435701754,0.2857142857142857,0.544973544973545,0.8042328042328042
2,2024,0.75,130,0.2183369757142697,0.392929992260641,0.6890150807056368,0.2692307692307692,0.5384615384615384,0.8
2,2025,0.25,194,0.14264293174187073,0.324468828902022,0.6185759457120155,0.36597938144329895,0.6907216494845361,0.8402061855670103
2,2025,0.5,136,0.15439029740881355,0.3391044463559282,0.6063817412223488,0.3161764705882353,0.6691176470588235,0.8602941176470589
2,2025,0.75,99,0.15679651120739874,0.33658749211964223,0.6737025352880945,0.2727272727272727,0.6666666666666666,0.8484848484848485
2,2026,0.25,115,0.16166923182835902,0.34729417395052287,0.6272845608303397,0.34782608695652173,0.6521739130434783,0.8521739130434782
2,2026,0.5,83,0.21147749435968902,0.4359271985539719,0.8462486863063048,0.30120481927710846,0.5542168674698795,0.7710843373493976
2,2026,0.75,56,0.21124826897750876,0.4028890832410384,0.6740081303306488,0.32142857142857145,0.5535714285714286,0.8214285714285714
