horizon_min,phase,year,N,mfe_med,mfeS_med,mfeS_p75,mfeS_p90,dispS_med,giveS_med,pristine,damaged,closebroken,hit5,hit10,hit15
15,0,2024,285,2.300000000000182,0.19270111757193856,0.36083287982161955,0.6327436759125035,-0.03458837813418737,0.2618952192155767,0.30526315789473685,0.08421052631578947,0.6105263157894737,0.17543859649122806,0.06666666666666667,0.017543859649122806
15,0,2025,243,3.8599999999996726,0.21513024525548288,0.366601057472291,0.5901469225385847,0.003714633879825976,0.21299363303493665,0.3662551440329218,0.08641975308641975,0.5473251028806584,0.4074074074074074,0.1934156378600823,0.0823045267489712
15,0,2026,163,8.63000000000011,0.18510824516138172,0.3532614849551263,0.6324560037057775,-0.030859271290589182,0.20915668060630566,0.3496932515337423,0.06134969325153374,0.588957055214724,0.6748466257668712,0.43558282208588955,0.3067484662576687
15,2,2024,324,2.4050000000002,0.20888560739768014,0.35768195282508075,0.6328958783009,-0.0132224550665613,0.23682086446854286,0.3271604938271605,0.10493827160493827,0.5679012345679012,0.18518518518518517,0.06790123456790123,0.018518518518518517
15,2,2025,247,4.079999999999927,0.20999604575885653,0.3721654724211082,0.6074236675320575,-0.015701747175366744,0.21788055062298756,0.3684210526315789,0.07692307692307693,0.5546558704453441,0.41295546558704455,0.20242914979757085,0.08502024291497975
15,2,2026,152,8.470000000000255,0.17928405191522995,0.3530992640320445,0.6253071582477207,-0.05134286429753846,0.20789587609391275,0.34868421052631576,0.06578947368421052,0.5855263157894737,0.6842105263157895,0.4144736842105263,0.29605263157894735
30,0,2024,285,3.0900000000001455,0.2684790886563965,0.46345463534483916,0.8337479362790916,-0.0580851187253866,0.34369750928420323,0.21403508771929824,0.06315789473684211,0.7228070175438597,0.2912280701754386,0.10877192982456141,0.0456140350877193
30,0,2025,243,5.139999999999873,0.2736577318636799,0.4985431564229502,0.7744737672366884,-0.0048497932045882,0.29172820740067934,0.2839506172839506,0.08641975308641975,0.6296296296296297,0.5185185185185185,0.2757201646090535,0.16049382716049382
30,0,2026,162,11.659999999999854,0.2717584817577481,0.5111959817023118,0.7995897870168925,0.03322570509627184,0.3064370898631515,0.2716049382716049,0.05555555555555555,0.6728395061728395,0.7716049382716049,0.5617283950617284,0.3950617283950617
30,2,2024,324,3.1900000000000546,0.27373275702779776,0.4777666545436347,0.8350114550281071,-0.019570624372596136,0.3238419632154875,0.2222222222222222,0.08024691358024691,0.6975308641975309,0.2993827160493827,0.11419753086419752,0.043209876543209874
30,2,2025,247,5.329999999999927,0.2775393468770145,0.5192384064166004,0.7945703135048184,-0.007902161318613132,0.3007381571032333,0.27530364372469635,0.08906882591093117,0.6356275303643725,0.5222672064777328,0.2874493927125506,0.1659919028340081
30,2,2026,151,11.3100000000004,0.2638675567837069,0.5124060334590473,0.7952546828191741,-0.0005968822591433273,0.31533530363877205,0.2781456953642384,0.059602649006622516,0.6622516556291391,0.7682119205298014,0.5364238410596026,0.3973509933774834
60,0,2024,285,4.210000000000036,0.37298755993954846,0.6277352041138915,1.0257488250790465,-0.04123257496538833,0.4045648538340787,0.16140350877192983,0.042105263157894736,0.7964912280701755,0.41403508771929826,0.1543859649122807,0.07017543859649122
