level,phase,year,Nall,Nmilestone,coverage,median_time,future_med,future25,future50,future75
0.25,0,2024,285,96,0.3368421052631579,7.5,0.3214690270503181,0.5729166666666666,0.34375,0.21875
0.25,0,2025,244,100,0.4098360655737705,8.0,0.29727684802254406,0.55,0.31,0.17
0.25,0,2026,164,53,0.3231707317073171,10.0,0.3310240722934981,0.6037735849056604,0.39622641509433965,0.22641509433962265
0.25,2,2024,324,118,0.36419753086419754,8.0,0.3252858235988382,0.5847457627118644,0.3813559322033898,0.22033898305084745
0.25,2,2025,248,101,0.40725806451612906,8.0,0.31424848083036017,0.5841584158415841,0.33663366336633666,0.16831683168316833
0.25,2,2026,153,52,0.33986928104575165,10.0,0.31165162217002407,0.5961538461538461,0.38461538461538464,0.23076923076923078
0.5,0,2024,285,55,0.19298245614035087,22.0,0.37944832742336326,0.6181818181818182,0.4,0.2727272727272727
0.5,0,2025,244,60,0.2459016393442623,23.0,0.31309052871972565,0.6333333333333333,0.36666666666666664,0.23333333333333334
0.5,0,2026,164,36,0.21951219512195122,19.0,0.25682351788882773,0.5277777777777778,0.3888888888888889,0.19444444444444445
0.5,2,2024,324,70,0.21604938271604937,19.0,0.38214709300042893,0.6285714285714286,0.4142857142857143,0.2571428571428571
0.5,2,2025,248,64,0.25806451612903225,20.0,0.38104169340253624,0.625,0.359375,0.1875
0.5,2,2026,153,34,0.2222222222222222,23.0,0.28494258403237055,0.5294117647058824,0.4117647058823529,0.17647058823529413
