target,t,phase,year,N,base,auc
0.25,5,0,2025,158,0.6075949367088608,0.5581317204301075
0.25,5,0,2026,100,0.54,0.5628019323671498
0.25,5,2,2025,162,0.6358024691358025,0.5492841862761231
0.25,5,2,2026,92,0.5652173913043478,0.4807692307692308
0.25,10,0,2025,127,0.6299212598425197,0.5702127659574469
0.25,10,0,2026,76,0.618421052631579,0.6280264123257521
0.25,10,2,2025,126,0.5952380952380952,0.5775163398692811
0.25,10,2,2026,70,0.6428571428571429,0.5831111111111111
0.25,15,0,2025,110,0.6181818181818182,0.5945378151260504
0.25,15,0,2026,67,0.5373134328358209,0.6388888888888888
0.25,15,2,2025,110,0.6181818181818182,0.6523109243697479
0.25,15,2,2026,63,0.5714285714285714,0.5833333333333334
0.5,5,0,2025,158,0.31645569620253167,0.5725925925925927
0.5,5,0,2026,100,0.22,0.657925407925408
0.5,5,2,2025,162,0.3333333333333333,0.5632716049382717
0.5,5,2,2026,92,0.22826086956521738,0.6257545271629779
0.5,10,0,2025,127,0.31496062992125984,0.5836206896551723
0.5,10,0,2026,76,0.25,0.6915974145891043
0.5,10,2,2025,126,0.3333333333333333,0.6105442176870748
0.5,10,2,2026,70,0.2571428571428571,0.6666666666666666
0.5,15,0,2025,110,0.2818181818181818,0.6774193548387096
0.5,15,0,2026,67,0.2537313432835821,0.7164705882352941
0.5,15,2,2025,110,0.3,0.6572215663124754
0.5,15,2,2026,63,0.2698412698412698,0.6790281329923273
0.75,5,0,2025,158,0.17088607594936708,0.6858919988690981
0.75,5,0,2026,100,0.1,0.5977777777777779
0.75,5,2,2025,162,0.19753086419753085,0.6408653846153846
0.75,5,2,2026,92,0.10869565217391304,0.6134146341463415
0.75,10,0,2025,127,0.15748031496062992,0.7046728971962618
0.75,10,0,2026,76,0.11842105263157894,0.6865671641791045
0.75,10,2,2025,126,0.15079365079365079,0.7388096409247418
0.75,10,2,2026,70,0.12857142857142856,0.6703096539162112
0.75,15,0,2025,110,0.13636363636363635,0.7635087719298246
0.75,15,0,2026,67,0.13432835820895522,0.8199233716475096
0.75,15,2,2025,110,0.12727272727272726,0.7447916666666666
0.75,15,2,2026,63,0.14285714285714285,0.7860082304526749
