phase,quarter,N,base,auc
0,2024Q1,22,0.22727272727272727,0.5529411764705882
0,2024Q2,35,0.3142857142857143,0.6666666666666666
0,2024Q3,30,0.2,0.2708333333333333
0,2024Q4,24,0.3333333333333333,0.5859375
0,2025Q1,23,0.34782608695652173,0.6666666666666666
0,2025Q2,32,0.1875,0.7371794871794872
0,2025Q3,25,0.36,0.6666666666666667
0,2025Q4,30,0.26666666666666666,0.6306818181818182
0,2026Q1,38,0.2631578947368421,0.7035714285714286
0,2026Q2,21,0.2857142857142857,0.7444444444444445
2,2024Q1,30,0.23333333333333334,0.5093167701863354
2,2024Q2,38,0.2894736842105263,0.6734006734006734
2,2024Q3,37,0.13513513513513514,0.31875000000000003
2,2024Q4,35,0.3142857142857143,0.696969696969697
2,2025Q1,23,0.5217391304347826,0.6742424242424243
2,2025Q2,28,0.10714285714285714,0.6799999999999999
2,2025Q3,28,0.35714285714285715,0.6222222222222222
2,2025Q4,31,0.25806451612903225,0.6793478260869565
2,2026Q1,37,0.2702702702702703,0.662962962962963
2,2026Q2,20,0.3,0.7023809523809524
