year,source_m5,decision,p15,S,origin_close,dc0p125_mode,dc0p125_age,dc0p125_progress,dc0p125_extprog,dc0p125_retrace,dc0p125_n_events,dc0p125_last2,dc0p25_mode,dc0p25_age,dc0p25_progress,dc0p25_extprog,dc0p25_retrace,dc0p25_n_events,dc0p25_last2,dc0p5_mode,dc0p5_age,dc0p5_progress,dc0p5_extprog,dc0p5_retrace,dc0p5_n_events,dc0p5_last2,align3,align3_dir,align_fast,align_fast_dir,small_counter_large,large_dir,small_dir,small_recent,med_recent,ft25_15,ft25_15_bar,ft50_30,ft50_30_bar,existing_module
2024,2024-01-02 15:30:00,2024-01-02 15:35:00,0.7983344547693874,8.502601473729385,2069.45,-1,0.0,-0.0,-0.0,-0.0,32,1|-1,1,11.0,0.5786464313541533,1.1572928627083066,0.5786464313541533,13,-1|1,1,2.0,-0.18112103745637434,0.10820217822070229,0.28932321567707664,5,-1|1,0,0,0,0,1,1,-1,1,1,0,,-1,18.0,0
2024,2024-01-02 15:50:00,2024-01-02 15:55:00,0.7621271208642855,8.502601473729385,2066.94,1,0.0,0.0,0.0,0.0,36,-1|1,-1,5.0,0.42810427035137194,1.0679084546129252,0.6398041842615532,16,1|-1,-1,3.0,-0.16935993112810224,0.15054216100267437,0.3199020921307766,5,1|-1,0,0,0,0,1,-1,1,1,1,0,,0,,0
2024,2024-01-02 16:35:00,2024-01-02 16:40:00,0.802962500983935,8.818844225605845,2066.94,-1,0.0,-0.0,-0.0,-0.0,39,1|-1,-1,0.0,-0.0,-0.0,-0.0,16,1|-1,-1,48.0,-0.16328670324161246,0.25853728013243277,0.4218239833740452,4,1|-1,1,-1,1,-1,0,-1,-1,1,1,-1,3.0,-1,3.0,0
2024,2024-01-02 17:15:00,2024-01-02 17:20:00,0.7940413335241467,8.818844225605845,2065.09,-1,16.0,2.8575173067268773,3.038946976995519,0.18142967026864162,43,1|-1,-1,15.0,1.3062936259322808,1.3970084610666016,0.09071483513432081,17,1|-1,-1,3.0,-0.011339354391815885,0.034018063175344525,0.045357417567160406,6,1|-1,1,-1,1,-1,0,-1,-1,0,1,0,,-1,18.0,0
2024,2024-01-02 17:35:00,2024-01-02 17:40:00,0.8998168000447507,8.818844225605845,2057.45,-1,36.0,9.78813071097983,10.25077637016402,0.4626456591841905,43,1|-1,-1,35.0,4.771600328058757,5.002923157650852,0.23132282959209524,17,1|-1,-1,23.0,1.7213139966714222,1.83697541146747,0.11566141479604762,6,1|-1,1,-1,1,-1,0,-1,-1,0,0,1,4.0,1,26.0,1
2024,2024-01-02 18:05:00,2024-01-02 18:10:00,0.7856895348728925,8.818844225605845,2065.57,1,10.0,5.687820162914139,5.687820162914139,0.0,45,-1|1,1,26.0,2.5082651914606395,2.5082651914606395,0.0,18,-1|1,1,4.0,0.7552010024922772,0.7552010024922772,0.0,7,-1|1,1,1,1,1,0,1,1,1,1,0,,0,,0
2024,2024-01-03 14:05:00,2024-01-03 14:10:00,0.7663532145008545,8.622699710421738,2044.86,1,1.0,-0.26905726488393,0.0,0.26905726488393,24,-1|1,-1,61.0,4.045136809976434,4.583251339743872,0.538114529767438,6,1|-1,-1,293.0,3.7830379226328055,4.0520951875165245,0.269057264883719,1,-1,0,0,0,0,1,-1,1,1,0,0,,0,,0
2024,2024-01-03 15:30:00,2024-01-03 15:35:00,0.7887089621645358,8.622699710421738,2042.94,1,3.0,-0.35255779536480775,0.009277836720120967,0.3618356320849287,34,-1|1,-1,37.0,1.238591202137204,1.6097046709423593,0.37111346880515517,9,1|-1,-1,13.0,0.11829241818164782,0.3038491525842254,0.18555673440257758,3,1|-1,0,0,0,0,1,-1,1,1,0,-1,13.0,0,,0
2024,2024-01-03 15:45:00,2024-01-03 15:50:00,0.7525488542866139,8.622699710421738,2039.93,-1,8.0,3.033852607482299,3.544133627089374,0.5102810196070752,34,1|-1,-1,7.0,1.1875631001765388,1.4427036099800763,0.2551405098035376,11,1|-1,-1,28.0,0.8164496313713835,0.9440198862731524,0.1275702549017688,3,1|-1,1,-1,1,-1,0,-1,-1,1,1,1,12.0,-1,28.0,0
2024,2024-01-03 16:20:00,2024-01-03 16:25:00,0.7649343898498613,9.326078302534455,2035.92,-1,20.0,3.5942224494179102,4.297626365533279,0.7034039161153691,27,1|-1,-1,41.0,2.719256602542983,3.0709585606006677,0.35170195805768456,11,1|-1,-1,61.0,1.411096880499437,1.5869478595282793,0.17585097902884228,3,1|-1,1,-1,1,-1,0,-1,-1,0,0,-1,12.0,0,,0
2024,2024-01-03 16:30:00,2024-01-03 16:35:00,0.75670852611028,9.326078302534455,2035.68,-1,1.0,-0.4289048268995297,-0.0,0.4289048268995297,29,1|-1,-1,51.0,2.822193760998874,3.0709585606006677,0.2487647996017935,11,1|-1,-1,71.0,1.4625654597273825,1.5869478595282793,0.12438239980089676,3,1|-1,1,-1,1,-1,0,-1,-1,1,0,-1,2.0,1,26.0,0
2024,2024-01-03 17:00:00,2024-01-03 17:05:00,0.9454399785731548,9.326078302534455,2046.84,1,26.0,10.997119761703885,11.571852229749318,0.5747324680454322,30,-1|1,1,22.0,4.9109602679995366,5.198326502022253,0.2873662340227161,12,-1|1,1,14.0,1.9322162451823792,2.0758993621937374,0.14368311701135805,4,-1|1,1,1,1,1,0,1,1,0,1,-1,5.0,-1,8.0,0
2024,2024-01-03 17:50:00,2024-01-03 17:55:00,0.7570254114690724,9.326078302534455,2033.89,1,3.0,-0.09435906191781071,0.6433572403492945,0.7377163022671053,35,-1|1,-1,22.0,1.0122153914828471,1.604104052604245,0.5918886611213977,13,1|-1,-1,44.0,1.865735997012915,2.161680327573614,0.29594433056069885,5,1|-1,0,0,0,0,1,-1,1,1,1,-1,7.0,0,,0
2024,2024-01-03 18:00:00,2024-01-03 18:05:00,0.7765161492843826,9.326078302534455,2035.29,1,2.0,0.45463911651347805,0.45463911651347805,0.0,36,-1|1,1,2.0,0.22731955825673902,0.22731955825673902,0.0,14,-1|1,-1,54.0,1.5655026181832736,2.2260160516085334,0.6605134334252601,5,1|-1,0,0,1,1,0,-1,1,1,1,0,,0,,0
2024,2024-01-04 15:30:00,2024-01-04 15:35:00,0.7953783166926843,9.129116720679852,2041.92,-1,4.0,0.823737961742108,1.8139761497940685,0.9902381880519606,22,1|-1,-1,4.0,0.411868980871054,0.9069880748970343,0.4951190940259803,12,1|-1,-1,101.0,0.8259287541936976,1.0734883012066878,0.24755954701299016,2,1|-1,1,-1,1,-1,0,-1,-1,1,1,-1,8.0,0,,0
2024,2024-01-04 17:10:00,2024-01-04 17:15:00,0.7645971844569497,9.33560838348845,2045.14,1,4.0,2.78503541836494,2.78503541836494,0.0,25,-1|1,1,22.0,2.6007946137654834,2.6007946137654834,0.0,15,-1|1,1,13.0,0.7241092087749078,0.7241092087749078,0.0,3,-1|1,1,1,1,1,0,1,1,1,1,-1,7.0,0,,0
2024,2024-01-05 15:30:00,2024-01-05 15:35:00,0.9829919608701028,8.514385865135397,2029.27,1,2.0,2.4992994605914842,2.5462787737604526,0.04697931316896869,24,-1|1,1,1.0,-0.023489656584484344,0.0,0.023489656584484344,8,-1|1,1,1.0,-0.011744828292242172,0.0,0.011744828292242172,3,-1|1,1,1,1,1,0,1,1,1,1,-1,2.0,-1,4.0,1
2024,2024-01-09 15:35:00,2024-01-09 15:40:00,0.7671772324454316,9.63115925182105,2038.45,1,10.0,4.468828608753709,5.332691388140995,0.8638627793872863,31,-1|1,1,6.0,1.6072831520331814,2.0392145417268246,0.43193138969364314,9,-1|1,1,2.0,0.11005944064308995,0.3260251354899115,0.21596569484682157,5,-1|1,1,1,1,1,0,1,1,1,1,-1,3.0,0,,0
2024,2024-01-09 15:45:00,2024-01-09 15:50:00,0.828823329252781,9.63115925182105,2038.0,1,6.0,0.44854413545107646,1.2791814233234962,0.8306372878724197,32,-1|1,1,2.0,-0.4153186439362099,0.0,0.4153186439362099,11,-1|1,1,12.0,0.016612745757433284,0.3260251354899115,0.30941238973247825,5,-1|1,1,1,1,1,0,1,1,1,1,0,,0,,0
2024,2024-01-11 15:20:00,2024-01-11 15:25:00,0.8312983063154945,8.599796963367135,2038.94,1,23.0,4.837323506264785,4.837323506264785,0.0,23,-1|1,1,18.0,2.2372621216474182,2.2372621216474182,0.0,5,-1|1,1,84.0,0.9767672464573145,0.9767672464573145,0.0,2,-1|1,1,1,1,1,0,1,1,0,1,2,6.0,2,6.0,0
2024,2024-01-11 18:20:00,2024-01-11 18:25:00,0.8005742508902045,9.331954323126634,2019.16,-1,2.0,4.500664978172339,4.500664978172339,-0.0,37,1|-1,-1,34.0,4.612110015727079,4.612110015727079,-0.0,17,1|-1,-1,17.0,1.802409165068034,1.802409165068034,-0.0,8,1|-1,1,-1,1,-1,0,-1,-1,1,0,-1,2.0,-1,12.0,1
2024,2024-01-11 18:35:00,2024-01-11 18:40:00,0.7728775204499679,9.331954323126634,2015.09,-1,7.0,1.3630585362466046,1.8774202480376512,0.5143617117910465,39,1|-1,-1,49.0,6.356653488218713,6.613834344114236,0.25718085589552325,16,1|-1,-1,32.0,2.674680901313851,2.8032713292616127,0.12859042794776163,8,1|-1,1,-1,1,-1,0,-1,-1,1,0,1,8.0,1,10.0,0
2024,2024-01-11 18:45:00,2024-01-11 18:50:00,0.7557892813202771,9.331954323126634,2019.92,1,3.0,2.6489628157244156,2.6489628157244156,0.0,40,-1|1,1,3.0,1.3244814078622078,1.3244814078622078,0.0,17,-1|1,1,0.0,0.0,0.0,0.0,9,-1|1,1,1,1,1,0,1,1,1,1,-1,4.0,0,,0
2024,2024-01-12 15:30:00,2024-01-12 15:35:00,0.8887273930299058,9.642957596716885,2052.25,1,13.0,4.305732923075038,5.168538749664217,0.8628058265891784,21,-1|1,1,11.0,1.7961294370823127,2.227532350376902,0.4314029132945892,9,-1|1,1,4.0,-0.13688746287229617,0.07881399377499843,0.2157014566472946,3,-1|1,1,1,1,1,0,1,1,1,1,1,2.0,1,28.0,1
2024,2024-01-12 16:00:00,2024-01-12 16:05:00,0.8279914822576966,10.283460625522812,2057.39,-1,0.0,-0.0,-0.0,-0.0,23,1|-1,1,41.0,3.683584872779476,4.208699928561109,0.5251150557816329,7,-1|1,1,34.0,0.8713020184821789,1.1338595463729952,0.26255752789081643,3,-1|1,0,0,0,0,1,1,-1,1,0,-1,9.0,0,,0
2024,2024-01-16 15:10:00,2024-01-16 15:15:00,0.7613085536899038,8.472319811778126,2031.9,-1,4.0,5.004532517889094,5.004532517889094,-0.0,31,1|-1,-1,24.0,2.596691400791533,2.596691400791533,-0.0,8,1|-1,-1,282.0,3.4347145346833354,3.4347145346833354,-0.0,1,-1,1,-1,1,-1,0,-1,-1,1,1,0,,1,18.0,0
2024,2024-01-16 15:20:00,2024-01-16 15:25:00,0.7915165180537395,8.472319811778126,2031.94,-1,3.0,0.33048799646429106,0.33048799646429106,-0.0,33,1|-1,-1,34.0,2.5778063724221574,2.596691400791533,0.018885028369375792,8,1|-1,-1,292.0,3.4252720204986473,3.4347145346833354,0.009442514184687896,1,-1,1,-1,1,-1,0,-1,-1,1,0,1,6.0,1,8.0,0
2024,2024-01-16 15:30:00,2024-01-16 15:35:00,0.9011040798815844,8.472319811778126,2039.16,1,4.0,4.466309209361454,4.466309209361454,0.0,33,-1|1,1,4.0,2.233154604680727,2.233154604680727,0.0,9,-1|1,1,2.0,0.4249131383113847,0.4249131383113847,0.0,2,-1|1,1,1,1,1,0,1,1,1,1,1,5.0,1,8.0,0
2024,2024-01-16 18:00:00,2024-01-16 18:05:00,0.8939786310804266,8.842868396651124,2036.02,-1,4.0,0.018093676488552965,0.3166393385498826,0.2985456620613296,35,1|-1,-1,4.0,0.009046838244276482,0.1583196692749413,0.1492728310306648,15,1|-1,-1,4.0,0.004523419122138241,0.07915983463747064,0.0746364155153324,7,1|-1,1,-1,1,-1,0,-1,-1,1,1,1,1.0,0,,0
2024,2024-01-16 18:35:00,2024-01-16 18:40:00,0.7890000494116427,8.842868396651124,2033.26,-1,14.0,4.577700151608014,5.102416769776461,0.5247166181684474,36,1|-1,-1,12.0,2.116960149162651,2.3793184582468747,0.2623583090842237,19,1|-1,-1,4.0,0.4749590078249267,0.6061381623670385,0.13117915454211185,9,1|-1,1,-1,1,-1,0,-1,-1,1,1,1,13.0,-1,28.0,0
2024,2024-01-17 15:30:00,2024-01-17 15:35:00,0.907040736467686,9.236983335808343,2021.66,1,1.0,-0.9093878049380002,0.0,0.9093878049380002,22,-1|1,-1,26.0,2.0049835889823884,2.4769991639264815,0.4720155749440931,7,1|-1,-1,8.0,0.4287113937565083,0.6647191812285549,0.23600778747204654,4,1|-1,0,0,0,0,1,-1,1,1,1,1,5.0,0,,0
2024,2024-01-17 16:10:00,2024-01-17 16:15:00,0.7628322068004677,9.298627383250617,2019.76,1,0.0,0.0,0.0,0.0,25,-1|1,-1,18.0,0.7183855987210335,1.5787276331174434,0.8603420343964098,10,1|-1,-1,48.0,0.834531773364541,1.264702790562746,0.4301710171982049,4,1|-1,0,0,0,0,1,-1,1,1,1,0,,0,,0
2024,2024-01-17 16:55:00,2024-01-17 17:00:00,0.8977382560594573,9.298627383250617,2012.1,-1,1.0,0.9377728174922119,0.9377728174922119,-0.0,28,1|-1,-1,15.0,3.110136454343029,3.110136454343029,-0.0,12,1|-1,-1,93.0,2.482086769233683,2.482086769233683,-0.0,4,1|-1,1,-1,1,-1,0,-1,-1,1,1,0,,0,,0
2024,2024-01-17 17:30:00,2024-01-17 17:35:00,0.7570739791031669,9.298627383250617,2006.29,-1,20.0,4.895346175715619,4.895346175715619,-0.0,32,1|-1,-1,19.0,2.0605191723793856,2.0605191723793856,-0.0,14,1|-1,-1,128.0,3.7317335741944566,3.7317335741944566,-0.0,4,1|-1,1,-1,1,-1,0,-1,-1,0,1,1,3.0,1,6.0,0
2024,2024-01-18 15:30:00,2024-01-18 15:35:00,0.7814772636597728,9.033664129918474,2012.29,1,1.0,0.3896536277392243,0.3896536277392243,0.0,27,-1|1,-1,60.0,1.0538359477491832,1.9349844922957329,0.8811485445465497,8,1|-1,-1,14.0,0.022139410667028837,0.4627136829403037,0.44057427227327484,4,1|-1,0,0,0,0,1,-1,1,1,0,-1,3.0,0,,0
