state,period,target,n,coverage_all,acc,move_target_n
dc_0.125_state,2024,ft25_15,509,1.0,0.5068762278978389,509
dc_0.125_state,2025,ft25_15,427,1.0,0.5058548009367682,427
dc_0.125_state,2026,ft25_15,256,1.0,0.5078125,256
dc_0.125_state,2024H1,ft25_15,252,1.0,0.4642857142857143,252
dc_0.125_state,2024H2,ft25_15,257,1.0,0.5486381322957199,257
dc_0.25_state,2024,ft25_15,508,0.9984567901234568,0.5137795275590551,508
dc_0.25_state,2025,ft25_15,425,0.9963235294117647,0.5152941176470588,425
dc_0.25_state,2026,ft25_15,255,0.9910979228486647,0.48627450980392156,255
dc_0.25_state,2024H1,ft25_15,252,1.0,0.47619047619047616,252
dc_0.25_state,2024H2,ft25_15,256,0.9969418960244648,0.55078125,256
dc_0.5_state,2024,ft25_15,503,0.9876543209876543,0.5168986083499006,503
dc_0.5_state,2025,ft25_15,419,0.9834558823529411,0.5369928400954654,419
dc_0.5_state,2026,ft25_15,248,0.9643916913946587,0.5080645161290323,248
dc_0.5_state,2024H1,ft25_15,249,0.9906542056074766,0.4979919678714859,249
dc_0.5_state,2024H2,ft25_15,254,0.9847094801223242,0.5354330708661418,254
align_fast,2024,ft25_15,417,0.7916666666666666,0.513189448441247,417
align_fast,2025,ft25_15,313,0.7316176470588235,0.5143769968051118,313
align_fast,2026,ft25_15,198,0.7626112759643917,0.494949494949495,198
align_fast,2024H1,ft25_15,217,0.8130841121495327,0.46543778801843316,217
align_fast,2024H2,ft25_15,200,0.7706422018348624,0.565,200
align3,2024,ft25_15,318,0.5925925925925926,0.5157232704402516,318
align3,2025,ft25_15,233,0.5569852941176471,0.5364806866952789,233
align3,2026,ft25_15,150,0.5608308605341247,0.5,150
align3,2024H1,ft25_15,161,0.6012461059190031,0.4782608695652174,161
align3,2024H2,ft25_15,157,0.5840978593272171,0.554140127388535,157
small_counter_large_follow_small,2024,ft25_15,71,0.15895061728395063,0.4507042253521127,71
small_counter_large_follow_small,2025,ft25_15,92,0.2113970588235294,0.4673913043478261,92
small_counter_large_follow_small,2026,ft25_15,47,0.18397626112759644,0.5319148936170213,47
small_counter_large_follow_small,2024H1,ft25_15,28,0.1526479750778816,0.4642857142857143,28
small_counter_large_follow_small,2024H2,ft25_15,43,0.1651376146788991,0.4418604651162791,43
small_counter_large_follow_large,2024,ft25_15,71,0.15895061728395063,0.5492957746478874,71
small_counter_large_follow_large,2025,ft25_15,92,0.2113970588235294,0.532608695652174,92
small_counter_large_follow_large,2026,ft25_15,47,0.18397626112759644,0.46808510638297873,47
small_counter_large_follow_large,2024H1,ft25_15,28,0.1526479750778816,0.5357142857142857,28
small_counter_large_follow_large,2024H2,ft25_15,43,0.1651376146788991,0.5581395348837209,43
align3_nonexisting,2024,ft25_15,281,0.5308641975308642,0.498220640569395,281
align3_nonexisting,2025,ft25_15,214,0.5220588235294118,0.5420560747663551,214
align3_nonexisting,2026,ft25_15,141,0.5252225519287834,0.48226950354609927,141
align3_nonexisting,2024H1,ft25_15,141,0.5358255451713395,0.46099290780141844,141
align3_nonexisting,2024H2,ft25_15,140,0.5259938837920489,0.5357142857142857,140
align3_existing,2024,ft25_15,37,0.06172839506172839,0.6486486486486487,37
align3_existing,2025,ft25_15,19,0.034926470588235295,0.47368421052631576,19
align3_existing,2026,ft25_15,9,0.03560830860534125,0.7777777777777778,9
align3_existing,2024H1,ft25_15,20,0.06542056074766354,0.6,20
align3_existing,2024H2,ft25_15,17,0.0581039755351682,0.7058823529411765,17
