lookback,year,align3_n_all,hit_n,acc
240,2024,382,316,0.5126582278481012
240,2025,303,233,0.5364806866952789
240,2026,189,150,0.5
480,2024,384,318,0.5157232704402516
480,2025,303,233,0.5364806866952789
480,2026,189,150,0.5
960,2024,384,318,0.5157232704402516
960,2025,303,233,0.5364806866952789
960,2026,190,151,0.5033112582781457
agree480_240,2024,648,646,0.9969135802469136
agree480_240,2025,544,544,1.0
agree480_240,2026,337,337,1.0
agree480_960,2024,648,648,1.0
agree480_960,2025,544,544,1.0
agree480_960,2026,337,336,0.9970326409495549
