scale,bin,period,n,acc,mean_extprog
0.125,<0.5,2024,153,0.5620915032679739,0.0886886351556999
0.125,<0.5,2025,162,0.4876543209876543,0.04927101679515238
0.125,<0.5,2026,88,0.5227272727272727,0.06922119774991232
0.125,<0.5,2024H1,64,0.515625,0.09312929203390088
0.125,<0.5,2024H2,89,0.5955056179775281,0.08549535380508348
0.125,0.5-1,2024,41,0.36585365853658536,0.7360768033005672
0.125,0.5-1,2025,31,0.41935483870967744,0.7796420890870488
0.125,0.5-1,2026,21,0.2857142857142857,0.7902111224450983
0.125,0.5-1,2024H1,24,0.2916666666666667,0.7274199287486782
0.125,0.5-1,2024H2,17,0.47058823529411764,0.7482982732561755
0.125,1-2,2024,87,0.4942528735632184,1.4650013079212219
0.125,1-2,2025,54,0.4444444444444444,1.492467866603113
0.125,1-2,2026,40,0.5,1.462317670126705
0.125,1-2,2024H1,46,0.41304347826086957,1.4920958904361015
0.125,1-2,2024H2,41,0.5853658536585366,1.4346025080264788
0.125,>=2,2024,228,0.5,4.521590989703842
0.125,>=2,2025,180,0.5555555555555556,4.4702502099186425
0.125,>=2,2026,107,0.5420560747663551,5.021439591077761
0.125,>=2,2024H1,118,0.4915254237288136,4.696962091000939
0.125,>=2,2024H2,110,0.509090909090909,4.33346562649423
0.25,<0.5,2024,146,0.5205479452054794,0.0928865993594165
0.25,<0.5,2025,125,0.512,0.09447498793425003
0.25,<0.5,2026,70,0.4714285714285714,0.09154646033479398
0.25,<0.5,2024H1,74,0.44594594594594594,0.08288346284472077
0.25,<0.5,2024H2,72,0.5972222222222222,0.10316760077729824
0.25,0.5-1,2024,75,0.4266666666666667,0.7381276183788569
0.25,0.5-1,2025,61,0.4426229508196721,0.7776022782011369
0.25,0.5-1,2026,26,0.46153846153846156,0.7503316834109187
0.25,0.5-1,2024H1,41,0.34146341463414637,0.7451805152801567
0.25,0.5-1,2024H2,34,0.5294117647058824,0.7296226544684659
0.25,1-2,2024,117,0.5641025641025641,1.49118768630969
0.25,1-2,2025,93,0.4946236559139785,1.4903203206231905
0.25,1-2,2026,60,0.6,1.5315095978311197
0.25,1-2,2024H1,53,0.5660377358490566,1.4735452124255828
0.25,1-2,2024H2,64,0.5625,1.5057978599949657
0.25,>=2,2024,170,0.5117647058823529,3.4201076783451465
0.25,>=2,2025,146,0.5616438356164384,3.7031907638511896
0.25,>=2,2026,99,0.43434343434343436,3.844742173946289
0.25,>=2,2024H1,84,0.5119047619047619,3.3787864755398687
0.25,>=2,2024H2,86,0.5116279069767442,3.46046792294565
0.5,<0.5,2024,164,0.5121951219512195,0.1910205152440872
0.5,<0.5,2025,147,0.4557823129251701,0.17106608641727505
0.5,<0.5,2026,69,0.5652173913043478,0.1703284042388393
0.5,<0.5,2024H1,80,0.425,0.17902200193696197
0.5,<0.5,2024H2,84,0.5952380952380952,0.20244767077468262
0.5,0.5-1,2024,109,0.42201834862385323,0.7348669499992156
0.5,0.5-1,2025,76,0.6578947368421053,0.7533481325644132
0.5,0.5-1,2026,47,0.5106382978723404,0.7321256914383325
0.5,0.5-1,2024H1,50,0.52,0.7293363872604637
0.5,0.5-1,2024H2,59,0.3389830508474576,0.7395538675744293
0.5,1-2,2024,139,0.6115107913669064,1.4352542916912385
0.5,1-2,2025,106,0.5,1.4773258148272816
0.5,1-2,2026,52,0.46153846153846156,1.523598196047819
0.5,1-2,2024H1,65,0.5846153846153846,1.438520684469545
0.5,1-2,2024H2,74,0.6351351351351351,1.4323851628994824
0.5,>=2,2024,91,0.4945054945054945,3.3048777769767645
0.5,>=2,2025,90,0.6111111111111112,2.844931642632413
0.5,>=2,2026,80,0.4875,3.193799748004835
0.5,>=2,2024H1,54,0.48148148148148145,3.3196760020045306
0.5,>=2,2024H2,37,0.5135135135135135,3.2832803674767836
