decision,S,dir,entry,cat,pnlR,cp,r2,censored,end_ms
2024-01-25 15:40:00,7.78801,1,2020.19,SL,-1.00154,0,0,0,2130208918
2024-01-31 16:50:00,7.7631,1,0,START_GAP,0,0,0,1,0
2024-03-04 16:05:00,8.52816,1,2092.84,SL,-1.00373,0,0,0,5501189903
2024-05-02 16:15:00,13.8641,-1,2288.83,TIMEOUT15,-0.455855,0,0,0,10600200001
2024-05-13 16:50:00,12.4907,-1,2341.06,SL,-1.05678,0,0,0,11552344701
2024-05-17 16:10:00,10.847,1,2397.84,RUNNER2,1.57278,1,1,0,11895480960
2024-05-20 04:10:00,12.3059,1,2439.2,SL,-1.00115,0,0,0,12111131305
2024-05-20 08:50:00,12.514,1,2450.1,SL,-1.04203,0,0,0,12128659405
2024-05-20 15:15:00,12.9159,-1,2422.21,RUNNER2,1.53764,1,1,0,12151581809
2024-05-21 05:05:00,14.3452,-1,2419.4,TIMEOUT15,-0.0697095,0,0,0,12201600152
2024-05-22 17:15:00,13.6245,-1,2393.71,CP_BE,0.541671,1,0,0,12331333051
2024-05-23 09:00:00,14.5994,-1,2359.99,CP_BE,0.520571,1,0,0,12387844807
2024-06-06 04:20:00,11.6315,1,2365.43,RUNNER2,1.63522,1,1,0,13581062413
2024-06-26 16:15:00,9.92122,-1,2304.27,RUNNER2,1.52401,1,1,0,15351975802
2024-07-03 15:40:00,9.91159,1,2356.14,SL,-1.00892,0,0,0,15954268851
2024-07-12 15:40:00,11.062,-1,2393.87,SL,-1.03055,0,0,0,16732144251
2024-07-15 18:10:00,11.5542,1,2434.39,SL,-1.06628,0,0,0,17000267350
2024-07-19 16:15:00,13.9994,-1,2396.83,TIMEOUT15,0.14572,0,0,0,17339400052
2024-07-25 04:25:00,12.1258,-1,2390.12,RUNNER2,1.57185,1,1,0,17815123352
2024-07-31 21:50:00,11.5421,1,0,START_GAP,0,0,0,1,0
2024-08-01 04:20:00,12.2742,1,0,START_GAP,0,0,0,1,0
2024-08-01 04:30:00,12.2742,1,0,START_GAP,0,0,0,1,0
2024-08-08 17:20:00,17.3944,1,2419.73,CP_BE,0.505911,1,0,0,19071212204
2024-08-16 16:00:00,13.6546,1,2491.85,SL,-1.00479,0,0,0,19756859804
2024-08-21 16:40:00,13.2684,-1,2504.29,RUNNER2,1.83745,1,1,0,20192413867
2024-09-17 18:40:00,10.611,-1,2564.68,CP_BE,0.518329,1,0,0,22531380203
2024-10-16 09:25:00,11.9622,1,2676.1,TIMEOUT15,-0.508268,0,0,0,25004400168
2024-10-18 04:45:00,10.8479,1,2704.93,TIMEOUT15,-0.147494,0,0,0,25160400132
2024-11-01 14:40:00,11.9655,1,0,START_GAP,0,0,0,1,0
2024-11-06 15:10:00,14.0641,-1,2682.59,SL,-1.00398,0,0,0,26838657300
2024-11-07 03:25:00,17.9391,-1,2649.66,TIMEOUT15,0.158313,0,0,0,26883600108
2024-11-11 15:40:00,15.5168,-1,2640.59,CP_BE,0.50397,1,0,0,27272859096
2024-11-13 17:00:00,16.1418,-1,2601.97,RUNNER2,1.51161,1,1,0,27450458638
2024-11-13 17:15:00,16.1418,-1,2596.25,SL,-1.016,0,0,0,27451171654
2024-11-18 03:30:00,15.828,1,2594.11,TIMEOUT15,-0.785949,0,0,0,27834300073
2024-12-05 17:15:00,12.2635,-1,2636.32,SL,-1.00134,0,0,0,29352122125
2024-12-12 16:20:00,14.6764,-1,2689.04,RUNNER2,1.51263,1,1,0,29954177324
