decision,S,dir,entry,cat,pnlR,cp,r2,censored,end_ms
2024-01-02 17:40:00,8.81884,-1,2057.46,SL,-1.04776,0,0,0,150199526
2024-01-11 18:25:00,9.33195,-1,2019.14,CP_BE,0.544366,1,0,0,930547000
2024-01-29 01:15:00,7.58811,1,2024.6,RUNNER2,1.52344,1,1,0,2424545568
2024-01-29 16:45:00,8.0492,-1,2024.39,CP_BE,0.53173,1,0,0,2480115337
2024-03-20 20:05:00,7.53756,1,2170.63,RUNNER2,1.55488,1,1,0,6898023311
2024-03-21 00:20:00,9.29344,1,2210.51,SL,-1.01147,0,0,0,6913215303
2024-04-04 22:40:00,13.4725,-1,2284.85,SL,-1.00055,0,0,0,8203364051
2024-04-08 01:20:00,15.9516,-1,2311.26,CP_BE,0.534116,1,0,0,8472074103
2024-04-15 01:10:00,21.7538,1,2371.28,SL,-1.03338,0,0,0,9076240251
2024-04-23 04:40:00,17.4336,-1,2314.35,RUNNER2,1.51432,1,1,0,9780180901
2024-05-20 04:05:00,12.3059,1,2436.99,CP_BE,0.500574,1,0,0,12111113602
2024-06-06 04:15:00,11.6315,1,2363.89,SL,-1.03512,0,0,0,13580165699
2024-06-07 11:05:00,12.337,-1,2358.26,SL,-1.01159,0,0,0,13691128148
2024-07-19 03:15:00,13.0944,-1,2431,CP_BE,0.540687,1,0,0,17292504850
2024-08-22 16:35:00,12.8974,-1,2486.16,SL,-1.03897,0,0,0,20277450005
2024-08-23 17:05:00,12.1609,1,2511.01,RUNNER2,1.51305,1,1,0,20365828306
2024-09-06 19:05:00,11.2284,-1,2497.86,SL,-1.0509,0,0,0,21582429803
2024-10-28 00:05:00,11.7487,-1,2733.76,CP_BE,0.50729,1,0,0,26007155018
2024-10-28 00:15:00,11.7487,-1,2735.53,TIMEOUT15,0.74221,0,0,0,26008201215
2024-11-06 08:30:00,12.2382,-1,2717.53,SL,-1.00341,0,0,0,26814620992
2024-11-07 03:20:00,17.9391,-1,2650.37,CP_BE,0.505042,1,0,0,26882704765
2024-11-25 05:30:00,15.63,-1,2671.35,CP_BE,0.507998,1,0,0,28445497413
2024-11-26 01:45:00,19.7776,-1,2609.47,TIMEOUT15,-0.273037,0,0,0,28519200088
2024-11-28 03:10:00,16.9404,-1,2625.84,CP_BE,0.515926,1,0,0,28697048870
2024-12-02 02:45:00,13.9722,-1,2632.81,SL,-1.00771,0,0,0,29040575491
2024-12-06 03:10:00,12.9721,-1,2619.09,CP_BE,0.678377,1,0,0,29388070232
2024-12-09 01:05:00,13.8187,1,2643.45,CP_BE,0.512349,1,0,0,29639314947
2024-12-18 21:05:00,10.9331,-1,2625.84,RUNNER2,1.54028,1,1,0,30488861261
